,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,660132,sunfreshmarket&deli,SUN FRESH MARKET & DELI,2021825,Grocery Store,Risk 1 (Lwo),3640 N CENTRAL AVE,"CCHICAGO,IL,60634",,Canvass,Fail
1,1445320,mcdonalds,MCDONALD'S,2397974x,Restaurant,Risk 2 (Medium),23 N WESTERN AVE,"Chicago,IL,60612",,License,Fail
2,1459365,franklin magnet,Franklin Fine Arts Magnet School,29081,School,Risk 1 (Low),225 W Evergreen ST,"Chicago,IL,60610",,Canvass,Fail
3,1770873,kendall college,KENDALL COLLEGE/CULINARY SCHOOL KITCHEN CLASSROOMS,2013962,COLLEGE,Risk 1 (Low),900 N NORTH BRANCH ST,"Chicago,IL,60642",2016-05-16T00:00:00Z,Canvass,Fail
4,1076262,papa ts italiano,,1681036,Mobile Food Dispenser,Risk 3 (Low),2843 W 63RD ST,"INACTIVE,IL,60629",2012-04-27T00:00:00Z,Canvass,Out of Business
5,1300401,tipsycake,TIPSYCAKE,2107949,Bakery,Risk 2 (Medium),1944 N DAMEN AVE,"chicago,IL,60647",2012-11-08T00:00:00Z,Canvass Re-inspection,Pass
6,215218,goodearthmarket,GOOD EARTH MARKET,2017278,Grocery Store,Risk 2 (Medium),6190 S ARCHER AVE,"CHCICAGO,IL,60638",2010-02-18T00:00:00Z,License,Fail
7,2071348,market select,MARKET SELECT,2523569,Grocery Store,Risk 3 (Low),912 N ASHLAND AVE,",IL,60622",2017-07-25T00:00:00Z,License,Pass
8,233751,alissa ice cream,ALISSA ICE CREAM,2032109,Mobile Food Dispenser,Risk 3 (Low),12355 S KEDVALE AVE,"ALSIP,IL,60803",2010-05-12T00:00:00Z,License,Fail
9,1277643,chicagoacademyforthearts,Chicago Academy for the Arts,3200708,School,Risk 3 (Low),1010 W Chicago AVE,"Chicago,IL,60642",,Complaint,Fail
