,index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
0,132,10008,crenshaw community hospital,101 hospital circle,Luverne,al,36049,crenshaw,3343353374,ACUTE CARE HOSPITALS,Government - Federal,yes
1,355,10086,Northwest Medical Center,1530 u s highway 43,WINFIELD,al,35594,marion,2054877736,Acute Care Hospitals,Proprietary,yes
2,983,10050,st vincents blount,150 gilbreath drive,Oneonta,al,35121,blount,2052743000,Acute Care Hospitals,voluntary non-profit - private,yes
3,477,10021,dale medical center,126 hospital ave,ozark,al,36360,dale,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,yes
4,492,10022,Cherokee Medical Center,400 northwood dr,CENTVE,al,35960,cherokee,2569275531,Acute Care Hospitals,VOLUNTARY NON-PROFIT - PRIVATE,yes
5,38,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,ACUTE CARE HOSPITALS,GOVERNMENT - HZSPITAL DISTRICT OR AUTHORITY,yes
6,517,10023,baptist medical center south,2105 east south boulevard,MONTGOMERY,al,36116,montgomery,3342882100,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFITi- CHURCH,yes
7,269,10015,southwest alabama medical center,33700 highway 43,THOMASVILLE,al,36784,clarke,3346366221,ACUTE CARE HOSPPTALS,government - federal,yes
8,597,10027,elba general hospital,987 drayton street,EyBA,al,36323,coffee,3348972257,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - OTHER,yes
9,682,10033,University of Alabama Hospital,619 south 19th street,BIRMINGHAM,al,35233,jefferson,2059344011,ACUTE CARE HOSPITALS,GOVERNMENT_-_STATE,yes
10,286,10016,Shelby Baptist Medical Center,1000 first street north,alabaster,al,35007,shelby,2056208100,Acute Care Hospitals,VOLUNTARY NON-PROFIT - CHURCH,yes
11,116,10007,Mizell Memorial Hospital,702 n main st,OPP,al,36467,covington,3344933541,Acute Care Hospitals,voluntary non-profit - private,no
12,920,10046,Riverview Regional Medical Center,600 south third street,GADSDEN,al,35901,etowah,2565435200,Acute Care Hospitals,Proprietary,yes
13,942,10047,georgiana hospital,515 miranda st,GEORGIANA,al,36033,butler,3343762205,ACUTE CARE HOSPITALS,VOLUNTARY NON-PROFIT - PRIVATE,no
14,623,10029,East Alabama Medical Center,2000 pepperell parkway,Opelika,al,36801,lee,3347493411,Acute Care Hospitals,Government - Hospital District or Authority,yes
15,728,10035,Cullman Regional Medical Center,1912 alabama highway 157,CULLMAN,al,35058,cullman,2567372000,ACUTE CARE HOSPITALS,Government - Hospital District or Authority,yes
16,470,10021,dale medical center,126 hospital ave,LZARK,al,36360,dale,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,yes
17,883,10045,Fayette Medical Center,1653 temple avenue north,FAYETTE,al,35555,fayette,2059325966,ACUTE CARE HOSPITALS,Voluntary Non-Profit - Other,yes
18,972,10049,Medical Center Enterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,Acute Care Hospitals,Proprietary,yes
19,967,10049,Medical Center Enterprise,400 n edwards street,ENTERPRISE,al,36330,coffee,3343470584,ACUjE CARE HOSPITALS,proprietary,yes
