,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1575966,"Payton, Walter (H/S)",WALTER PAYTON COLLEGE PREP,70020,School,Risk 1: High,1034 N Wells ST,"CHicago,IL,60610",2015-09-23T00:00:00Z,Canvass,Pass w/ Conditions
1,1096351,South Loop Elementary,South Loop Elementary,1745,School,Risk 1: High,1212 S Plymouth CT,"Chicago,IL,60605",2012-06-06T00:00:00Z,Canvass,Pass
2,1562130,PARKWEST LIQUORS AND SMOKE SHOP,PARKWEST LIQUORS,2354157,Grocery Store,Risk 3: Low,2570 N LINCOLN AVE,",IL,",2015-08-12T00:00:00Z,License,Fail
3,1286341,MCDONALD'S CORPORATION,MCDONALD'S CORPORATION,1243048,Grocery Store,Risk 2: Medium,23 N WESTERN AVE,"Chicago,IL,60612",2013-10-07T00:00:00Z,Complaint Re-inspection,Pass
4,251137,"DOLLAR TREE STORE, INC.",,1954150,Grocery Store,Risk 3: Low,5235-5237 N BROARDWAY,",IL,",2010-06-22T00:00:00Z,License Re-inspection,Pass
5,2051025,K INTERCONTINENTAL RESTAURANT,K INTERCONTINENTAL RESTAURANT (MOBILE FOOD),2523116,Mobile Food Dispenser,Risk 3: Low,951 W WISE RD,"SCHAUMBURG,IL,60193",2017-05-24T00:00:00Z,License,Pass
6,250605,Bradwell School of Excellence,Myra Bradwell Math Science and Technology Academy,22291,School,Risk 1: High,7736 S Burnham (2800E),"chicago,IL,60649",2010-06-07T00:00:00Z,Canvass,Pass
7,1513072,"Payton, Walter (H/S)",WALTER PAYTON COLLEGE PREP,70020,School,Risk 1: High,1034 N Wells ST,"CHicago,IL,60610",2014-12-16T00:00:00Z,Canvass,Fail
8,2009394,BISI RESTAURANT,BISI RESTAURANT,2374042,Mobile Food Dispenser,Risk 3: Low,853 S ROSELLE RD,"SCHAUMBURG,IL,60193",2017-03-28T00:00:00Z,License,Pass
9,1578775,RESIDENCE INN CHICAGO DOWNTOWN,RESIDENCE INN CHICAGO DOWNTOWN,2391645,Restaurant,Risk 3: Low,11 S LA SALLE ST,"Chicago,IL,60603",2015-10-09T00:00:00Z,License Re-inspection,Pass
