,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
0,276837,Rice Pudding,1,1,1954,1954,0.0,0.0
1,236129,Bean Curd with Mushrooms,1,1,1977,1977,3.75,3.75
2,184225,Sunomono,2,2,1938,1938,0.15,0.15
3,312235,Sauternes,3,3,1943,1946,0.3,0.3
4,492738,"EGG, TETRAZINI",1,1,1913,1913,0.3,0.3
5,232786,Consomme,7,7,1953,1965,0.0,0.0
6,387942,"ROAST HOT HOUSE BABY LAMB, MINT SAUCE",1,1,1918,1918,,
7,18775,CREAM CAROLINE SOUP,1,1,1900,1900,,
8,109996,Roast Mutton,1,1,1907,1907,0.0,0.0
9,497982,Steak with Truffles,1,1,1913,1913,0.0,0.0
10,170818,Chateau La Tour Gayet,1,1,0,0,0.0,0.0
11,144665,SAUMON BOUILLI,1,1,0,0,0.0,0.0
12,172711,Veal Schnitzel,1,1,1987,1987,0.0,0.0
13,480179,1954ER OCKFENER BECKSTEIN,1,1,0,0,0.0,0.0
14,355492,POUDING A L'IMPERATRIX,23,25,1912,1933,0.4,0.4
15,138730,Sunomono,1,1,0,0,0.85,0.85
16,499315,Rice Timbales,1,1,1913,1913,0.25,0.25
17,311757,Fried Chicken,1,1,1946,1946,0.0,0.0
18,344502,Fruit Salad,1,1,1935,1935,0.0,0.0
19,486757,Steak with Truffles,1,1,1913,1913,2.0,2.0
20,479488,Fruit Salad,1,1,0,0,0.0,0.0
21,484955,Chateau La Tour Gayet,7,8,1913,1913,0.05,0.05
22,494938,Rhubarb Pie,1,1,1961,1961,,
23,104232,SCHWESERPASTETEN,1,1,1891,1891,0.0,0.0
24,137931,"COFFEE, PER POT OR CUP",1,1,1980,1980,0.0,0.0
25,307106,Turtle Soup,3,3,1944,1948,0.0,0.0
26,296409,Kippered Cod,1,1,1955,1955,0.0,0.0
27,195402,Rice Pudding,2,2,1910,1910,0.0,0.0
28,293494,"BOILED FRESH BRISKET OF BEEF, HORSERADISH SAUCE, BOUILLON POTATOES",2,2,1953,1953,0.0,0.0
29,133584,International Delicacies,1,1,1969,1969,0.0,0.0
30,78287,Fried Seafood Platter,3,3,1900,1917,0.35,0.35
31,139437,FRECCIAROSSA,5,5,1939,1958,0.0,5.0
32,293589,"BOILED FRESH BRISKET OF BEEF, HORSERADISH SAUCE, BOUILLON POTATOES",1,1,1953,1953,0.0,0.0
33,342575,Fruit Salad,1,1,1901,1901,0.0,0.0
34,219673,"CALIFORNIA FRESH FRUIT SALAD, WITH COTTAGE CHEESE, SOUR CREAM",1,1,1979,1979,6.5,6.5
35,151584,Bourbon Whiskey,1,1,1966,1966,0.0,0.0
36,452933,"OLD SEAL BRANDY, PONY",1,1,0,0,0.0,0.0
37,399522,"STRAWBERRY, PEACH OR RASPBERRY JAM",1,1,1917,1917,0.2,0.2
38,66536,Consomme,1,1,1885,1885,0.0,0.0
39,111324,Wedding Cake,1,1,1907,1907,0.0,0.0
40,454936,CHATEAU LATOUR BLANCHE B & G SAUTERNES,1,1,0,0,0.0,0.0
41,489930,"OLD SEAL BRANDY, PONY",1,1,1913,1913,5.0,25.0
42,71818,CREAM CAROLINE SOUP,1,1,1891,1891,0.0,0.0
43,281411,"2 EGGS, ANY STYLE, SERVED WITH HASHBROWNS & HOT BUTTERED TOAST",1,1,1988,1988,2.5,2.5
44,24641,"POTATOES, SAUTEES OR STEWED",2,2,1900,1901,0.1,0.15
45,126273,Fruit Salad,1,1,1906,1906,0.0,0.0
46,422736,"BROILED SWEETBREADS, GREEN PEAS",1,1,1915,1915,0.6,0.6
47,413843,Veal Schnitzel,1,1,1973,1973,0.0,0.0
48,297102,Bourbon Whiskey,1,1,1955,1955,1.95,1.95
49,20365,"THEE, KAFFEE, HAFERCACAO",1,1,1900,1900,0.0,0.0
