,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,Column 9
0,93027,"REUBEN'SSPECIALTURKEY,ROASTVIRGINIAHAM,SWISSCHEESE,COLESLAW,RUSSIANDRESSING",1.0,1,1895,1895,,,
1,329018,ZITIWITHCALABRESESAUCE,1.0,1,1940,1940,0.25,0.25,
2,291963,OXTONGUEMIKADO,1.0,1,1963,1963,0.0,0.0,
3,491518,SALADEDEBETTERAVE,1.0,1,1962,1962,0.0,0.0,
4,323938,KEYWESTTURTLESOUP,2.0,2,1939,1939,,,
5,344502,Macedoine de Fruits à l'Au Marasquin,1.0,1,1935,1935,0.0,0.0,
6,333801,FRESHFRUITCOCKTAILEIRESTYLE,1.0,1,1941,1941,0.0,0.0,
7,189312,PEAPODSWITHWATERCHESNUTSANDPORK,1.0,1,0,0,0.0,0.0,
8,317897,Santa Clara Cabernet,1.0,1,1949,1949,0.0,0.0,
9,283031,Potatoes or Pot Cheese with Sour Cream,1.0,1,1954,1954,0.0,0.0,
10,161514,Johannisbeer Saft,8.0,8,1955,1988,0.0,0.0,
11,409469,Vintage Port Martinez 1963,1.0,1,1939,1939,,,
12,139503,Macedoine de Fruits à l'Au Marasquin,1.0,1,1961,1961,0.0,0.0,
13,234259,BRANDYDOMESTIC,3.0,3,1947,1966,0.38,0.8,
14,199800,Hominy Fritters Currant Sauce,1.0,1,1910,1910,0.0,0.0,
15,321713,"CONCHSTEWWITHPEAS&RICE,COLESLAW,POTATOSALAD,VEGETABLESORBAKEPOTATO",1.0,1,1995,1995,15.0,15.0,
16,165665,"HØNSEKOD,ASPARGES,CHAMPIGNONS,AGURKIMAYONNAISE",1.0,1,0,0,0.0,0.0,
17,144665,OXTONGUEMIKADO,1.0,1,0,0,0.0,0.0,
18,310385,Sloe Gin Fizz,1.0,1,1947,1947,0.75,0.75,
19,276177,CILLMANTAINPEAS,1.0,1,1963,1963,0.0,0.0,
20,189960,FRIEDRICEWITHPORK,2.0,2,0,0,3.95,3.95,
21,493662,MADÈRE,4.0,4,1880,1928,0.0,0.0,
22,314556,Potatoes or Pot Cheese with Sour Cream,1.0,1,1948,1948,0.95,0.95,
23,307106,Hamburger Roast Tomato Sauce,3.0,3,1944,1948,0.0,0.0,
24,500686,"Lobster, Full Order",1.0,1,1913,1913,0.7,0.7,
25,414243,Chilled Alberta Peaches with Cream,1.0,1,1942,1942,0.15,0.15,
26,271938,Hollandaise Salat,1.0,1,1961,1961,0.0,0.0,
27,358124,AYALABRUTCHAMPAGNE,1.0,1,1906,1906,0.0,0.0,
28,225620,Toasted Rolls with a Small Pitcher of Cream and Butter,1.0,0,1965,1965,0.0,0.0,
29,26273,Hominy Fritters Currant Sauce,1.0,1,1900,1900,0.0,0.0,
30,2812,Paul Jones,13.0,13,1900,1959,0.1,1.5,
31,399522,Fried Oysters,1.0,1,1917,1917,0.2,0.2,
32,240527,AYALABRUTCHAMPAGNE,1.0,1,1958,1958,0.0,0.0,
33,99490,Broiled Lamp Chops,2.0,2,1900,1906,0.0,0.0,
34,142989,Vintage Port Martinez 1963,1.0,1,1974,1974,0.0,0.0,
35,486991,Sole Grillée Beurre Maitre d'Hotel,2.0,2,1913,1913,0.45,0.45,
36,323774,SURPRISEOFFRUIT,1.0,1,1939,1939,0.0,0.0,
37,507407,Hominy Fritters Currant Sauce,0.0,0,0,0,0.0,0.0,
38,248003,Broiled Lamp Chops,1.0,1,1957,1957,2.75,2.75,
39,195279,NEWLAIDEGGS,,7,7,1910,1910.0,0.0,0.0
40,311611,Hamburger Roast Tomato Sauce,,3,3,1939,1948.0,0.25,0.3
41,208138,"Lobster, Full Order",5.0,5,1969,1969,0.0,0.0,
42,499315,"CALF'SBRAINSFRIED,TOMATOSAUCE",1.0,1,1913,1913,0.25,0.25,
43,136635,HØNS EKØD ASPARGES CHAMPIGNONS AGURK MAYONNAISE,1.0,1,1976,1976,0.0,0.0,
44,196860,Hollandaise Salat,1.0,1,1910,1910,0.0,0.0,
45,264903,Broiled or Fried Green Bluefish,1.0,1,1964,1964,0.0,0.0,
46,203577,"BROILEDLAMPCHOPS,TWO",1.0,1,1910,1910,0.0,0.0,
47,456728,Toasted Rolls with a Small Pitcher of Cream and Butter,1.0,1,0,0,0.0,0.0,
48,351394,"COFFEEICECREAM,CARAMELSAUCE",,4,4,1933,1933.0,0.0,0.0
49,409469,Santa Clara Cabernet,,1,1,1939,1939.0,,
