,tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
0,375,MISSING,CO-63-EWR-IAH,1900-03-31T17:25:00Z,1900-03-31T17:22:00Z,1900-03-31T20:22:00Z,1900-03-31T20:03:00Z
1,2097,BUSINESSTRAVELLOGUE,UA-843-LAX-ORD,1900-03-31T13:55:00Z,1900-03-31T14:10:00Z,1900-03-31T19:53:00Z,1900-03-31T19:58:00Z
2,950,FLIGHTARRIVAL,UA-858-PVG-SFO,1900-03-31T13:45:00Z,1900-03-31T13:32:00Z,1900-03-31T08:27:00Z,1900-03-31T08:02:00Z
3,229,BOSTON,AA-3804-PHL-ORD,1900-03-31T14:35:00Z,1900-03-31T14:44:00Z,1900-03-31T16:05:00Z,1900-03-31T15:43:00Z
4,2372,WORLD-FLIGHT-TRACKER,UA-3099-PHX-PHL,1900-03-31T11:55:00Z,1900-03-31T11:55:00Z,1900-03-31T18:17:00Z,1900-03-31T17:38:00Z
5,459,FLIGHTVIEW,CO-62-IAH-EWR,1900-03-31T14:30:00Z,1900-03-31T14:48:00Z,1900-03-31T19:03:00Z,1900-03-31T19:10:00Z
6,1171,USATODAY,AA-3859-IAH-ORD,1900-03-31T07:10:00Z,1900-03-31T07:16:00Z,1900-03-31T09:40:00Z,1900-03-31T09:32:00Z
7,2037,ALLEGIANTAIR,AA-85-JFK-SFO,1900-03-31T15:05:00Z,1900-03-31T15:36:00Z,1900-03-31T18:30:00Z,1900-03-31T18:43:00Z
8,2365,WORLD-FLIGHT-TRACKER,AA-1917-JFK-MCO,1900-03-31T14:55:00Z,1900-03-31T15:27:00Z,1900-03-31T17:55:00Z,1900-03-31T17:43:00Z
9,792,FLIGHTEXPLORER,AA-59-JFK-SFO,1900-03-31T07:10:00Z,1900-03-31T07:39:00Z,1900-03-31T10:45:00Z,1900-03-31T11:12:00Z
10,973,FLIGHTWISE,AA-1640-MIA-MCO,1900-03-31T18:30:00Z,1900-03-31T18:30:00Z,1900-03-31T19:25:00Z,1900-03-31T19:25:00Z
11,1827,FLYLOUISVILLE,CO-1250-MIA-IAH,1900-03-31T14:53:00Z,1900-03-31T15:01:00Z,1900-03-31T16:48:00Z,1900-03-31T16:59:00Z
12,1058,TRAVELOCITY,AA-789-ORD-DEN,1900-03-31T13:05:00Z,1900-03-31T13:19:00Z,1900-03-31T14:35:00Z,1900-03-31T15:13:00Z
13,1789,MISSING,AA-1664-MIA-ATL,1900-03-31T10:15:00Z,1900-03-31T10:18:00Z,1900-03-31T12:10:00Z,1900-03-31T11:56:00Z
14,709,PANYNJ,AA-1917-JFK-MCO,1900-03-31T14:55:00Z,1900-03-31T15:27:00Z,1900-03-31T17:55:00Z,1900-03-31T17:43:00Z
15,2264,FLIGHTAWARE,AA-3468-CVG-MIA,1900-03-31T07:00:00Z,1900-03-31T07:25:00Z,1900-03-31T09:55:00Z,1900-03-31T09:45:00Z
16,1134,FOXBUSINESS,AA-2312-DFW-DTW,1900-03-31T20:25:00Z,1900-03-31T20:25:00Z,1900-03-31T23:50:00Z,1900-03-31T23:50:00Z
17,472,FLIGHTVIEW,AA-4344-ORD-DTW,1900-03-31T11:45:00Z,1900-03-31T12:13:00Z,1900-03-31T14:00:00Z,1900-03-31T14:10:00Z
18,1661,ORD,UA-843-LAX-ORD,1900-03-31T13:55:00Z,1900-03-31T14:10:00Z,1900-03-31T19:53:00Z,1900-03-31T19:58:00Z
19,1903,QUICKTRIP,AA-3-JFK-LAX,1900-03-31T12:00:00Z,1900-03-31T12:11:00Z,1900-03-31T15:15:00Z,1900-03-31T15:16:00Z
20,1976,ALLEGIANTAIR,CO-1023-IAH-DEN,1900-03-31T11:40:00Z,1900-03-31T11:56:00Z,1900-03-31T13:17:00Z,1900-03-31T13:14:00Z
21,415,AIRTRAVELCENTER,UA-2708-EWR-CLT,1900-03-31T14:55:00Z,1900-03-31T14:55:00Z,1900-03-31T16:53:00Z,1900-03-31T16:44:00Z
22,1744,UA INTL.,UA-37-EWR-MCO,1900-03-31T13:29:00Z,1900-03-31T13:48:00Z,1900-03-31T16:17:00Z,1900-03-31T16:17:00Z
23,2057,MISSING,AA-3-JFK-LAX,1900-03-31T12:00:00Z,1900-03-31T12:11:00Z,1900-03-31T15:15:00Z,1900-03-31T15:16:00Z
24,1610,MYTRIPANDMORE,AA-271-MIA-LAX,1900-03-31T11:35:00Z,1900-03-31T11:52:00Z,1900-03-31T14:25:00Z,1900-03-31T14:27:00Z
25,963,FLIGHTARRIVAL,AA-1544-SAN-ORD,1900-03-31T11:25:00Z,1900-03-31T11:40:00Z,1900-03-31T17:25:00Z,1900-03-31T16:56:00Z
26,1573,FLYTECOMM,UA-37-EDI-EWR,1900-03-31T09:05:00Z,1900-03-31T08:52:00Z,1900-03-31T11:53:00Z,1900-03-31T12:09:00Z
27,1197,USATODAY,CO-16-LAX-EWR,1900-03-31T10:25:00Z,1900-03-31T10:20:00Z,1900-03-31T18:44:00Z,1900-03-31T18:34:00Z
28,1792,LOUISVILLE AIRPORT,UA-382-IAD-LAX,1900-03-31T12:30:00Z,1900-03-31T12:35:00Z,1900-03-31T15:19:00Z,1900-03-31T15:21:00Z
29,331,WEATHER,UA-3099-PHX-PHL,1900-03-31T11:55:00Z,1900-03-31T11:55:00Z,1900-03-31T18:17:00Z,1900-03-31T17:38:00Z
30,662,PANYNJ,UA-854-SFO-IAH,1900-03-31T07:53:00Z,1900-03-31T07:49:00Z,1900-03-31T13:39:00Z,1900-03-31T13:30:00Z
31,1848,FLYLOUISVILLE,AA-3786-IAH-ORD,1900-03-31T16:00:00Z,1900-03-31T16:12:00Z,1900-03-31T18:40:00Z,1900-03-31T18:15:00Z
32,2026,ALLEGIANTAIR,UA-2708-EWR-CLT,1900-03-31T14:55:00Z,1900-03-31T14:55:00Z,1900-03-31T16:53:00Z,1900-03-31T16:44:00Z
33,1873,QUICKTRIP,CO-52-IAH-LAX,1900-03-31T07:35:00Z,1900-03-31T07:29:00Z,1900-03-31T09:21:00Z,1900-03-31T09:14:00Z
34,900,FLIGHTS,AA-1544-SAN-ORD,1900-03-31T11:25:00Z,1900-03-31T11:40:00Z,1900-03-31T17:25:00Z,1900-03-31T16:56:00Z
35,2341,WORLD-FLIGHT-TRACKER,AA-404-MIA-MCO,1900-03-31T06:45:00Z,1900-03-31T06:57:00Z,1900-03-31T07:45:00Z,1900-03-31T07:40:00Z
36,591,FLIGHTSTATS,UA-938-DEN-ORD,1900-03-31T16:16:00Z,1900-03-31T16:15:00Z,1900-03-31T19:35:00Z,1900-03-31T19:36:00Z
37,2130,MISSING,AA-1917-JFK-MCO,1900-03-31T14:55:00Z,1900-03-31T15:27:00Z,1900-03-31T17:55:00Z,1900-03-31T17:43:00Z
38,394,MISSING,CO-16-LAX-EWR,1900-03-31T10:25:00Z,1900-03-31T10:20:00Z,1900-03-31T18:44:00Z,1900-03-31T18:34:00Z
39,871,FLIGHTS,UA-37-EWR-MCO,1900-03-31T13:29:00Z,1900-03-31T13:48:00Z,1900-03-31T16:17:00Z,1900-03-31T16:17:00Z
40,2320,FLIGHTAWARE,AA-3809-PHX-LAX,1900-03-31T06:00:00Z,1900-03-31T06:10:00Z,1900-03-31T06:40:00Z,1900-03-31T06:19:00Z
41,643,PANYNJ,UA-2726-FLL-PHL,1900-03-31T16:00:00Z,1900-03-31T16:00:00Z,1900-03-31T18:46:00Z,1900-03-31T18:28:00Z
42,750,FLIGHTEXPLORER,AA-3979-CVG-ORD,1900-03-31T07:30:00Z,1900-03-31T08:04:00Z,1900-03-31T08:00:00Z,1900-03-31T08:06:00Z
43,1176,USATODAY,UA-414-LAX-SFO,1900-03-31T06:00:00Z,1900-03-31T05:56:00Z,1900-03-31T07:23:00Z,1900-03-31T07:17:00Z
44,1213,USATODAY,AA-4277-CVG-JFK,1900-03-31T12:10:00Z,1900-03-31T12:10:00Z,1900-03-31T14:15:00Z,1900-03-31T13:43:00Z
45,2076,BUSINESSTRAVELLOGUE,CO-1023-IAH-DEN,1900-03-31T11:40:00Z,1900-03-31T11:56:00Z,1900-03-31T13:17:00Z,1900-03-31T13:14:00Z
46,1568,FLYTECOMM,AA-3804-PHL-ORD,1900-03-31T14:35:00Z,1900-03-31T14:44:00Z,1900-03-31T16:05:00Z,1900-03-31T15:43:00Z
47,2110,BUSINESSTRAVELLOGUE,UA-37-EWR-MCO,1900-03-31T13:29:00Z,1900-03-31T13:48:00Z,1900-03-31T16:17:00Z,1900-03-31T16:17:00Z
48,598,FLIGHTSTATS,AA-1522-SFO-ORD,1900-03-31T23:55:00Z,1900-03-31T23:55:00Z,1900-03-31T05:50:00Z,1900-03-31T05:50:00Z
49,895,FLIGHTS,UA-37-EDI-EWR,1900-03-31T09:05:00Z,1900-03-31T08:52:00Z,1900-03-31T11:53:00Z,1900-03-31T12:09:00Z
