,index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
0,3,10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 university blvd,BIRMINGHAM,al,35233,jefferson,2053258100,acute care hospitals,VOLUNTARY_NON-PROFIT_-_PRIVATE,YES
1,880,10045,FAYETTE MEDICAL CENTER,1653 temple avenue north,FAYETTE,al,35555,fayette,2059325966,acute care hospitals,VOLUNTARY NON-PROFIT - OTHER,YES
2,58,10005,MARSHALL MEDICAL CENTER SOUTH,2505 u s highway 431 north,BOAZ,al,35957,marshall,2565938310,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,YES
3,497,10022,CHEROKEE MEDICAL CENTER,400 northwood dr,CENTRE,al,35960,cherokee,2569275531,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,YES
4,612,10027,ELBA GENERAL HOSPITAL,987 drayton street,ELBA,al,36323,coffee,3348972257,acute care hospitals,VOLUNTARY NON-PROFIT - OTHER,YES
5,46,10005,MARSHALL MEDICAL CENTER SOUTH,2505 u s highway 431 north,BOAJ,al,35957,marshall,2565938310,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,YES
6,201,10011,ST VINCENTS EAST,50 medical park east drive,BIRMINGHAM,al,35235,jefferson,2058383122,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,YES
7,666,10032,WEDOWEE HOSPITAL,209 north main street,WEDOWEE,al,36278,randolph,2563572111,acute care hospitals,GOVERNMENT - LOCAL,NO
8,604,10027,ELBA GENERAL HOSPITAL,987 drayton street,ELBA,al,36323,coffee,3348972257,acute care hospitals,VOLUNTARY NON-PROFIT - OTHER,YES
9,300,10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 university blvd,BIRMINGHAM,al,35233,jefferson,2053258100,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,YES
10,214,10011,ST VINCENTS EAST,50 medical park east drive,BIRMINGHAM,al,35235,jefferson,2058383122,acute care hospitals,VOLUNTARYONON-PROFIT - PRIVATE,YES
11,66,10005,MARSHALL MEDICAL CENTER SOUTH,2505 u s highway 431 north,BOAZ,al,35957,marshall,2565938310,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,YES
12,451,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,po box 287,BETHEL,ak,99559,bethel,9075436300,acute care hospitals,GOVERNMENT_-_FEDERAL,NO
13,129,10008,CRENSHAW COMMUNITY HOSPITAL,101 hospital circle,LUVERNE,al,36049,crenshaw,3343353374,acute care hospitals,GOVERNMENT - FEDERAL,YES
14,99,10007,MIZELL MEMORIAL HOSPITAL,702 n main st,OPP,al,36467,covington,3344933541,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,NO
15,857,10044,MARION REGIONAL MEDICAL CENTER,1256 military street south,HAMILTON,al,35570,marion,2059216200,acute care hospitals,VOLUNTARY NON-PROFIT - PRIVATE,YES
16,149,10009,HARTSELLE MEDICAL CENTER,201 pine street northwest,HARTSELLE,al,35640,morgan,2567736511,acute care hospitals,PROPRIETARY,YES
17,698,10034,COMMUNITY HOSPITAL INC,805 friendship road,TALLASSJE,al,36078,elmore,3342836541,acute care hospitals,VOLUNTARY_NON-PROFIT_-_PRIVATE,NO
18,11,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 south montgomery avenue,SHEFFIELF,al,35660,jefferson,2563864556,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT TR AUTHORITY,YES
19,917,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 south third street,GADSDEN,al,35901,etowah,2565435200,acute care hospitals,PROPRIETARY,YES
