,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
0,351394,"Schildkrotensuppe Echt, ""Lacroix""",4,4,1933,1933,0.0,0.0
1,437737,"veal cutlet breaded, tomato",1,1,1914,1914,,
2,463188,chicken fricassee with boiled rice,1,1,0,0,0.0,0.0
3,13018,Butter Served Free with Orders Amounting to 40c,4,4,1900,1906,0.2,0.25
4,329501,BROILED FRESH POMPANO FILET IN LEMON BUTTER,1,1,1940,1940,1.15,1.15
5,458876,"Ch. Dillon, N. Johnston",1,1,0,0,0.0,0.0
6,428874,"SWEETBREAD, TZARINE",6,6,1912,1915,0.75,0.75
7,264903,salade monegasque,1,1,1964,1964,0.0,0.0
8,407602,"roast spring lamb, mint sauce (ready)",1,1,1917,1917,0.9,0.9
9,100866,"Veal Cutlet (Broiled, Fried, or Breaded)",1,1,1900,1900,0.0,0.0
10,311611,"schildkrotensuppe echt, ""lacroix""",3,3,1939,1948,0.25,0.3
11,84768,JOHANNISBERG CLAUSS '86,2,2,1900,1900,1.6,3.0
12,493662,madère,4,4,1880,1928,0.0,0.0
13,452151,"TAVERNE ROSE PINK, BRUT",1,1,0,0,0.0,0.0
14,111324,Individual Wedding Cakes for Everybody,1,1,1907,1907,0.0,0.0
15,160969,"Sweetbread, Tzarine",1,1,0,0,0.0,0.0
16,160729,"konigsberger klops in kapernsauce, rote bete, kartoffeln",1,1,1965,1965,0.0,0.0
17,282334,"beef pepper steak served with vegetable, salad, roll, and choice of potato or rice",1,1,1988,1988,3.75,3.75
18,486064,tomatoes or cucumbers and lettuce,1,1,1913,1913,0.15,0.15
19,488107,Seafood a la Miramar,3,3,1913,1918,1.65,3.5
20,21522,Mexican Tamales,2,2,1901,1901,0.25,0.25
21,346186,"Vol au Vent of Chicken with Fresh String Beans, Straw Potatoes, Choice of Salad or Dessert, Coffee or Tea",1,1,1935,1935,0.0,0.0
22,479488,"Vol au Vent of Chicken with Fresh String Beans, Straw Potatoes, Choice of Salad or Dessert, Coffee or Tea",1,1,0,0,0.0,0.0
23,35623,Seafood a la Miramar,1,1,1901,1901,0.0,0.0
24,196860,"London Broil on Toast, Tomato Sauce",1,1,1910,1910,0.0,0.0
25,116691,NEW BEETS FINES HERBES,1,1,1901,1901,0.0,0.0
26,434561,"Scotch, King William IV",2,2,1914,1914,0.2,0.2
27,498937,fried ham and one fried egg,2,2,1913,1913,,
28,222074,"chicken saute chasseur, white wine sauce, parslty potato and green peas",1,1,1966,1966,2.5,2.5
29,395720,"? london broil on toast, tomato sauce",1,1,1917,1917,,
30,22632,"roast spring lamb, mint sauce (ready)",8,8,1900,1945,0.2,20.0
31,56692,Roast Tame Duck & Jelly,2,2,1900,1900,0.0,0.0
32,124451,New Beets with Fines Herbes,1,1,1901,1901,0.0,0.0
33,337707,hot wagon service,1,1,1937,1937,0.0,0.0
34,401018,"COLD LOBSTER, MAYONNAISE SAUCE, HALF",1,1,1917,1917,0.8,0.8
35,492412,Filet of Beef with Mushrooms,1,1,1913,1913,,
36,484160,"Wehlener Rosenberg, 1907, 1/2 Bottle, Bottle",1,1,0,0,0.0,0.0
37,185351,BANANA CREAM PIE,25,28,1939,1989,0.15,2.75
38,425017,Hot Buns,1,1,1915,1915,0.05,0.05
39,311757,"unjointed fried half spring chicken on toast, country gravy",1,1,1946,1946,0.0,0.0
40,275445,claret orangeade,5,5,1944,1961,0.35,0.95
41,53274,EISCHAUM NOCKEN,2,2,1901,1901,0.0,0.0
42,367522,chicken fricassee with boiled rice,1,1,1933,1933,0.0,0.0
43,453202,Crème du Nord,1,1,0,0,0.0,0.0
44,497953,"Veal Cutlet (Broiled, Fried, or Breaded)",0,0,0,0,0.0,0.0
45,367188,"Vol au Vent of Chicken, Fresh String Beans, Straw Potatoes, Choice of Salad or Dessert, Coffee or Tea",1,1,1933,1933,0.0,0.0
46,158616,coffee sundae,1,1,0,0,0.0,0.0
47,383035,Claret Orangeade,1,1,1916,1916,0.8,1.5
48,271938,Ziti with Calabrese Sauce,1,1,1961,1961,0.0,0.0
49,391112,"London Broil on Toast, Tomato Sauce",1,1,1918,1918,,
