,tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
0,403,airtravelcenter,AA-2312-DFW-DTW,,1900-03-31T20:25:00Z,1900-03-31T23:50:00Z,1900-03-31T23:50:00Z
1,320,weather,AA-2268-PHX-ORD,,,1900-03-31T11:35:00Z,
2,1323,myrateplan,AA-222-LAX-BOS,,1900-03-31T07:31:00Z,1900-03-31T15:30:00Z,
3,1342,orbitz,AA-3468-CVG-MIA,,,1900-03-31T09:55:00Z,
4,1531,flytecomm,AA-1640-MIA-MCO,,1900-03-31T18:30:00Z,1900-03-31T19:25:00Z,
5,448,flightview,AA-204-LAX-MCO,,1900-03-31T23:25:00Z,1900-03-31T06:55:00Z,1900-03-31T06:55:00Z
6,75,helloflight,AA-446-DFW-PHL,,1900-03-31T12:12:00Z,1900-03-31T15:50:00Z,
7,74,helloflight,UA-2314-ATL-PHL,,1900-03-31T14:55:00Z,1900-03-31T17:00:00Z,
8,1997,allegiantair,UA-843-LAX-ORD,,,1900-03-31T19:53:00Z,1900-03-31T19:58:00Z
9,2240,gofox,AA-789-ORD-DEN,,,1900-03-31T14:35:00Z,
10,330,weather,CO-50-CLE-EWR,,,1900-03-31T16:49:00Z,
11,1640,ord,AA-643-MIA-ORD,,,1900-03-31T09:35:00Z,
12,1145,foxbusiness,AA-3063-SLC-LAX,,1900-03-31T20:39:00Z,1900-03-31T21:20:00Z,
13,1780,flylouisville,CO-62-IAH-EWR,,,1900-03-31T19:03:00Z,1900-03-31T19:10:00Z
14,165,boston,CO-52-IAH-LAX,,1900-03-31T07:29:00Z,1900-03-31T09:21:00Z,1900-03-31T09:14:00Z
15,1636,mytripandmore,CO-50-CLE-EWR,,1900-03-31T15:31:00Z,1900-03-31T16:49:00Z,
16,665,panynj,UA-257-JFK-SFO,,,1900-03-31T18:15:00Z,
17,1218,usatoday,AA-85-JFK-SFO,,1900-03-31T15:36:00Z,1900-03-31T18:30:00Z,1900-03-31T18:43:00Z
18,1343,orbitz,AA-484-DFW-MIA,,1900-03-31T16:29:00Z,1900-03-31T19:55:00Z,1900-03-31T19:39:00Z
19,190,boston,AA-2050-ORD-MIA,,,1900-03-31T14:45:00Z,
20,1547,flytecomm,UA-664-ORD-PHL,,,1900-03-31T16:31:00Z,
21,2251,gofox,AA-404-MIA-MCO,,,1900-03-31T07:45:00Z,1900-03-31T07:40:00Z
22,97,helloflight,CO-1694-LAX-IAH,,1900-03-31T19:15:00Z,1900-03-31T00:21:00Z,
23,1183,usatoday,AA-1886-BOS-MIA,,1900-03-31T10:55:00Z,1900-03-31T14:20:00Z,1900-03-31T13:40:00Z
24,84,helloflight,UA-382-IAD-LAX,,1900-03-31T12:35:00Z,1900-03-31T15:19:00Z,
25,2069,businesstravellogue,AA-3468-CVG-MIA,,1900-03-31T07:25:00Z,1900-03-31T09:55:00Z,1900-03-31T09:45:00Z
26,1430,CO,CO-89-IAH-EWR,,1900-03-31T06:02:00Z,1900-03-31T10:20:00Z,1900-03-31T10:27:00Z
27,1002,travelocity,UA-2726-FLL-PHL,,1900-03-31T16:00:00Z,1900-03-31T18:46:00Z,
28,1937,quicktrip,AA-2268-PHX-ORD,,1900-03-31T07:22:00Z,1900-03-31T11:35:00Z,
29,692,panynj,AA-3823-LAX-DEN,,,1900-03-31T00:15:00Z,1900-03-31T00:15:00Z
30,3,aa,AA-1640-MIA-MCO,,1900-03-31T18:30:00Z,1900-03-31T19:25:00Z,1900-03-31T19:25:00Z
31,401,airtravelcenter,UA-233-LAX-JFK,,,1900-03-31T00:29:00Z,
32,1165,foxbusiness,AA-4198-ORD-CLE,,,1900-03-31T12:55:00Z,
33,2085,businesstravellogue,AA-4344-ORD-DTW,,1900-03-31T12:13:00Z,1900-03-31T14:00:00Z,
34,736,flightexplorer,AA-1544-SAN-ORD,,1900-03-31T11:40:00Z,1900-03-31T17:25:00Z,
35,2028,allegiantair,UA-1500-IAH-GUA,,,1900-03-31T11:45:00Z,1900-03-31T11:56:00Z
36,185,boston,AA-4344-ORD-DTW,,,1900-03-31T14:00:00Z,1900-03-31T14:10:00Z
37,933,flightarrival,CO-1694-LAX-IAH,,1900-03-31T19:15:00Z,1900-03-31T00:21:00Z,
38,1586,flytecomm,AA-59-JFK-SFO,,,1900-03-31T10:45:00Z,1900-03-31T11:12:00Z
39,973,flightwise,AA-1640-MIA-MCO,,1900-03-31T18:30:00Z,1900-03-31T19:25:00Z,1900-03-31T19:25:00Z
40,455,flightview,UA-3515-IAD-MSP,,,1900-03-31T10:06:00Z,1900-03-31T09:56:00Z
41,280,weather,AA-616-DFW-DTW,,,1900-03-31T12:35:00Z,
42,1383,orbitz,UA-37-EWR-MCO,,1900-03-31T13:48:00Z,1900-03-31T16:17:00Z,
43,1166,foxbusiness,AA-404-MIA-MCO,,,1900-03-31T07:45:00Z,
44,1880,quicktrip,CO-63-EWR-IAH,,,1900-03-31T20:22:00Z,1900-03-31T20:03:00Z
45,204,boston,AA-1221-MCO-ORD,,,1900-03-31T21:45:00Z,1900-03-31T21:53:00Z
46,730,flightexplorer,AA-3859-IAH-ORD,,,1900-03-31T09:40:00Z,1900-03-31T09:32:00Z
47,240,boston,AA-3786-IAH-ORD,,,1900-03-31T18:40:00Z,1900-03-31T18:15:00Z
48,13,aa,AA-1664-MIA-ATL,,1900-03-31T10:18:00Z,1900-03-31T12:10:00Z,
49,1746,ua,UA-3373-IAD-PHL,,,1900-03-31T09:24:00Z,
