,index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
0,755,10036,ANDALUSIA REGIONAL HOSPITAL,849 south three notch street,ANDALUSIA,al,36420,covington,3342228466,acute care hospitals,Proprietary,no
1,769,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 east 18th st,ANNISTON,al,36201,calhoun,2562358900,acute care hospitals,PROPRIETARY,yes
2,24,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ross clark circle,DOTHAP,al,36302,houston,3347938701,acute care hospitals,GOVERNMENT - HOSPITAL MISTRICT OR AUTHORITY,yes
3,48,10005,MARSHALL MEDICAL CENTER SOUTH,2505 u s highway 431 north,BOAZ,al,35957,marshall,2565938310,acute care hospitals,Government - Hospital District or Authority,yes
4,454,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 south montgomery avenue,SHEFFIELD,al,35660,jefferson,2563864556,acute care hospitals,Government - Hospital District or Authority,yes
5,460,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 south montgomery avenue,SHEFFIELD,al,35660,jefferson,2563864556,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
6,714,10034,COMMUNITY HOSPITAL INC,805 friendship road,TALLASSEE,al,36078,elmore,3342836541,acute care hospitals,Voluntary Non-Profit - Private,no
7,733,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 alabama highway 157,CULLMAN,al,35058,cullman,2567372000,acute care hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
8,433,20017,ALASKA REGIONAL HOSPITAL,2801 debarr road,ANCHORAGE,ak,99508,anchorage,9072761131,acute care hospitals,PROPRIETARY,yes
9,775,10039,HUNTSVILLE HOSPITAL,101 sivley rd,HUNTSVILLE,al,35801,madison,2562651000,acute care hospitals,GOVERNMENT - HOSPITAL DXSTRICT OR AUTHORITY,yes
10,257,10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 highway 43,THOMJSVILLE,al,36784,clarke,3346366221,acute care hospitals,Government - Federal,yes
11,673,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 south 19th street,BIRMINGHAM,al,35233,jefferson,2059344011,acute care hospitals,Government - State,yes
12,701,10034,COMMUNITY HOSPITAL INC,805 friendship road,TALLASSEE,al,36078,elmore,3342836541,acute care hospitals,Voluntary Non-Profit - Private,no
13,551,10024,JACKSON HOSPITAL & CLINIC INC,1725 pine street,MONTGOMERY,al,36106,montgomery,3342938000,acute care hospitals,Voluntary Non-Profit - Private,yes
14,458,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 south montgomery avenue,SHEFFIELD,al,35660,jefferson,2563864556,acute care hospitals,Government - Hospital District or Authority,yes
15,203,10011,ST VINCENTS EAST,50 medical park east drive,BIRMINGHAM,al,35235,jefferson,2058383122,acute care hospitals,Voluntary Non-Profit - Private,yes
16,644,10032,WEDOWEE HOSPITAL,209 north main street,WEDOWEE,al,36278,randolph,2563572111,acute care hospitals,GOVERNMENT - LOCAL,no
17,98,10007,MIZELL MEMORIAL HOSPITAL,702 n main st,OPP,al,36467,covington,3344933541,acute care hospitals,Voluntary Non-Profit - Private,no
18,293,10016,SHELBY BAPTIST MEDICAL CENTER,1000 first street north,ALABASTER,al,35007,shelby,2056208100,acute care hospitals,Voluntary Non-Profit - Church,yes
19,114,10007,MIZELL MEMORIAL HOSPITAL,702 n main st,OIP,al,36467,covington,3344933541,acute care hospitals,Voluntary Non-Profit - Private,no
