,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
0,130800.0,WAIPAHU,HI,96797,424490.0,Corporation,Asian,Male Owned,Non-Veteran,23.0,04/06/2020,Central Pacific Bank,HI-01
1,140100.0,Kapolei,HI,96707,423390.0,Corporation,Unanswered,Male Owned,Non-Veteran,10.0,05/01/2020,"American Savings Bank, FSB",HI-02
2,7200.0,HONOLULU,HI,96825,541213.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,04/11/2020,Central Pacific Bank,HI-01
3,1000.0,Honolulu,HI,96817,485310.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,0.0,05/23/2020,Celtic Bank Corporation,HI-01
4,87100.0,Ocean View,HI,96737,238210.0,Corporation,Unanswered,Unanswered,Unanswered,8.0,04/28/2020,FIRST HAWAIIAN BANK,HI-02
5,20800.0,KAILUA KONA,HI,96740,531210.0,Independent Contractors,Unanswered,Unanswered,Unanswered,1.0,05/19/2020,"American Savings Bank, FSB(First State Bank)",HI-02
6,2700.0,WAIANAE,HI,96792,111219.0,Corporation,Unanswered,Unanswered,Unanswered,0.0,2020-05-18,Central Pacific Bank,HI-02
7,3304.0,Honolulu,HI,96826,812113.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,1.0,2020-06-29,"Kabbage, Inc.",HI-01
8,32500.0,HONOLULU,HI,96825,812112.0,Sole Proprietorship,Unknown,,Non-Veteran,4.0,04/28/2020,"American Savings Bank, FSB(First State Bank)",HI-01
9,21665.0,KAPAA,HI,96746,561720.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,2.0,04/13/2020,Bank of Hawaii,HI-02
10,11300.0,Kailua,HI,96734,541921.0,Sole Proprietorship,White,Male Owned,Unanswered,1.0,05/06/2020,Hawaii National Bank.,HI-02
11,19220.0,Kailua,HI,96734,611430.0,Corporation,Unanswered,Unanswered,Unanswered,2.0,2020-04-30,FIRST HAWAIIAN BANK,HI-02
12,76000.0,HONOLULU,HI,96814,722511.0,Corporation,Asian,Male Owned;,Non-Veteran,15.0,04/07/2020,Central Pacific Bank,HI-01
13,8800.0,KIHEI,HI,96753,531210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,1.0,2020-05-18,"American Savings Bank, FSB(First State Bank)",HI-02
14,20000.0,HONOLULU,HI,96815,237990.0,Self-Employed Individuals,Unknown,,Unanswered,1.0,05/08/2020,"American Savings Bank, FSB(First State Bank)",HI-01
15,23100.0,HONOLULU,HI,96813,541611.0,Limited  Liability Company(LLC),Unknown,,Unanswered,5.0,04/09/2020,Central Pacific Bank,HI-01
16,56690.0,EWA BEACH,HI,96706,238220.0,Limited  Liability Company(LLC),Unknown,Female Owned,Non-Veteran,6.0,04/27/2020,Bank of Hawaii,HI-01
17,31957.5,Lihue,HI,96766,238210.0,Corporation,Unanswered,Unanswered,Unanswered,6.0,04/28/2020,FIRST HAWAIIAN BANK,HI-02
18,14900.0,KAPAA,HI,96746,621340.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,4.0,04/06/2020,Central Pacific Bank,HI-02
19,29000.0,HONOLULU,HI,96817,621111.0,Corporation,Asian,Male Owned;,Non-Veteran,5.0,04/07/2020,Central Pacific Bank,HI-01
