,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,58319,KENDALL COLLEGE,LAB KITCHEN A ROOM 120A,2013962,SCHOOL,RISK_1_(HIGH),900 N NORTH BRANCH ST,"Chicago,IL,60642",02/19/2010,License,PASS
1,1566657,BRITISH AIRWAYS,BRITISH AIRWAYS,0,RESTAURANT,__RISK_1_(HIGH)__,11601 W TOUHY AVE,",IL,60666",08/24/2015,Short Form Complaint,PSAS
2,1336071,A-MI-THA RESTAURANT,A-MI-THA RESTAURANT,1143174,RESTAURANT,RISK 1 (LOWW),6207 N MILWAUKEE AVE,"Chicago,IL,60646",06/12/2013,Canvass Re-inspection,PASS
3,1497352,QUICKISS,ONE STOP PANTRY,2252588,GROCERY STORE,RISK 2 (MEDIUM),4245 W ARMITAGE AVE,",IL,60639",09/30/2014,Canvass,PSAS
4,1513072,"Payton, Walter (H/S)",WALTER PAYTON COLLEGE PREP,70020,SCHOOL,RISK_1_(HIGH),1034 N Wells ST,"CHicago,IL,60610",12/16/2014,Canvass,FAIL
5,229238,KENDALL COLLEGE,COOKTEK PASTRY #1,2013962,SCHOOL,RISK 1 (HIGH),900 N NORTH BRANCH ST,"Chicago,IL,60642",02/19/2010,License,FAIL
6,577789,Carson (New),Carson (New),70217,SCHOOL,RISK 1 (L0W),2550 W 56th (5600S) ST,"chicago,IL,60629",02/02/2012,Canvass,FAIL
7,1215083,CMM CATERING COMPANY,,2153524,RESTAURANT,RISK_1_(HIGH),1527 W CHICAGO,"Chicago,IL,60642",05/17/2012,License,FAIL
8,1353600,SUPERMERCADO CARDENAS,SUPERMERCADO CARDENAS,1596877,GROCERY STORE,RISK 1 (LO),3440 W MONTROSE AVE,"Chicago,IL,60618",07/11/2013,Canvass,PSAS
9,2009745,LITTLE LULU'S ITALIAN ICE,LITTLE LULU'S ITALIAN ICE,2522507,MOBILE FROZEN DESSERTS VENDOR,__RISK_3_(LOW)__,9416 W IRVING PARK RD,"SCHILLER PARK,IL,60176",04/04/2017,License,PSAS
