,id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,Column 9
0,80606,Frog Legs American Style,1.0,1,1892-01-01T00:00:00Z,1892,2.5,24.0,
1,132793,crab_gumbo_creole,15.0,22,1931-01-01T00:00:00Z,1962,0.0,2.25,
2,128307,__pan_roast_little_necks__,1.0,1,1900-01-01T00:00:00Z,1900,0.5,0.5,
3,21522,bowl_of_cold_rice_and_milk,2.0,2,1901-01-01T00:00:00Z,1901,0.25,0.25,
4,497953,sweetbreadtzarine,0.0,0,,0,0.0,0.0,
5,476757,Lobster Salad Chicken,1.0,1,1943-01-01T00:00:00Z,1943,1.5,1.5,
6,380772,__crab_gumbo_creole__,3.0,3,1914-01-01T00:00:00Z,1916,0.15,0.3,
7,61532,Beef Steak Fried Onions,1.0,1,1901-01-01T00:00:00Z,1901,0.0,0.0,
8,336242,__krumbles__,3.0,3,1921-01-01T00:00:00Z,1937,0.0,0.0,
9,290401,Soup Puree Jackson with Leeks and Celery,1.0,1,1963-01-01T00:00:00Z,1963,0.0,0.0,
10,488107,__sparkling_burgundy__,3.0,3,1913-01-01T00:00:00Z,1918,1.65,3.5,
11,239709,__beef_steak_fried_onions__,1.0,1,1958-01-01T00:00:00Z,1958,0.0,0.0,
12,65644,And Cold Dishes,98.0,103,1905-01-01T00:00:00Z,1990,0.5,0.5,
13,494938,__brandy_martel_xxx__,1.0,1,1961-01-01T00:00:00Z,1961,,,
14,150496,Veal Fillets with Fresh Grapes in Mushroom and Cream Sauce Vitello White Elephant,1.0,1,1972-01-01T00:00:00Z,1972,0.0,0.0,
15,480179,1954er Pckfener Beckstein,1.0,1,,0,0.0,0.0,
16,56190,And Cold Dishes,1.0,1,1901-01-01T00:00:00Z,1901,,,
17,435886,Brandy Martel XXX,1.0,1,1914-01-01T00:00:00Z,1914,0.5,0.5,
18,342208,Bordeaux Rouge Sauternes Clos Mercier 1966,1.0,1,1962-01-01T00:00:00Z,1962,0.0,0.0,
19,466530,krumbles,1.0,1,1912-01-01T00:00:00Z,1912,0.15,0.15,
20,272290,sliceroast,1.0,1,1961-01-01T00:00:00Z,1961,1.6,2.0,
21,128329,__little_neck_clams_roasted_in_shell__,1.0,1,1900-01-01T00:00:00Z,1900,0.35,0.35,
22,306163,Le Coq de Choix a la Creme et au Foie Gras Flambe au Cognac,1.0,1,1944-01-01T00:00:00Z,1944,4.0,4.0,
23,428874,sweetbreadtzarine,6.0,6,1912-01-01T00:00:00Z,1915,0.75,0.75,
24,340916,bowl_of_cold_rice_and_milk,1.0,1,1980-01-01T00:00:00Z,1980,0.0,0.0,
25,170818,1964erchateaulatourgayetcotesdeblayeac,1.0,1,,0,0.0,0.0,
26,235817,bavaroisauxframboiseschantilly,2.0,2,1966-01-01T00:00:00Z,1966,0.0,0.0,
27,103083,panroastlittlenecks,1.0,1,1900-01-01T00:00:00Z,1900,0.1,0.1,
28,491518,__salade_de_betterave__,1.0,1,1962-01-01T00:00:00Z,1962,0.0,0.0,
29,460870,broiledsmallsteakwithpotatoes,1.0,1,,0,0.0,0.0,
30,451690,Manuel Garcia Puritanos,2.0,1,1914-01-01T00:00:00Z,1914,0.5,0.5,
31,456489,__chinese_mushrooms_and_pork_chow_mein_pan_fried_noodles_soft_or_crisp__,2.0,2,,0,0.0,0.0,
32,104232,__tripe_in_cream_with_onions_shanley__,1.0,1,1891-01-01T00:00:00Z,1891,0.0,0.0,
33,215582,Cold Pickled Pork,1.0,1,1901-01-01T00:00:00Z,1901,0.0,0.0,
34,93339,manuel_garcia_puritanos,4.0,4,1900-01-01T00:00:00Z,1920,0.15,8.75,
35,452805,Frog Legs American Style,2.0,2,,0,0.0,0.0,
36,93212,__tripe_in_cream_with_onions_shanley__,1.0,1,1900-01-01T00:00:00Z,1900,0.5,0.5,
37,509112,Bordeaux Rouge Sauternes Clos Mercier 1966,1.0,1,1971-01-01T00:00:00Z,1971,0.0,0.0,
38,341848,sliceroast,1.0,1,1935-01-01T00:00:00Z,1935,0.0,0.0,
39,486064,__tomatoes_or_cucumbers_and_lettuce__,1.0,1,1913-01-01T00:00:00Z,1913,0.15,0.15,
40,310385,sloeginfizzimp,1.0,1,1947-01-01T00:00:00Z,1947,0.75,0.75,
41,311611,mexicantamales,3.0,3,1939-01-01T00:00:00Z,1948,0.25,0.3,
42,248003,Le Coq de Choix a la Creme et au Foie Gras Flambe au Cognac,1.0,1,1957-01-01T00:00:00Z,1957,2.75,2.75,
43,190157,Chinese Mushrooms and Pork Chow Mein Pan Fried Noodles Soft or Crisp,1.0,1,,0,0.7,1.3,
44,383374,Monk's Beard Salad,1.0,1,1916-01-01T00:00:00Z,1916,0.4,0.4,
45,455520,vealcutletbreadedtomato,,1,,0,0.0,0.0,0.0
46,368779,Soup Puree Jackson with Leeks and Celery,1.0,1,1927-01-01T00:00:00Z,1927,0.0,0.0,
47,413843,fr_ochsenbrust_flamisch_mit_bouillonkartoffeln_und_sahnemeerrettich,1.0,1,1973-01-01T00:00:00Z,1973,0.0,0.0,
48,96287,__bowl_of_cold_rice_and_milk__,,1,,1900,1900.0,0.1,0.1
49,476680,__green_goddess__,2.0,2,,0,,,
