,tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
0,754,flightexplorer,UA-257-JFK-SFO,1900-03-31T14:30:00Z,1900-03-31T14:26:00Z,1900-03-31T18:15:00Z,1900-03-31T17:42:00Z
1,1308,myrateplan,AA-2957-DFW-CVG,1900-03-31T07:55:00Z,1900-03-31T08:04:00Z,1900-03-31T11:05:00Z,1900-03-31T11:01:00Z
2,1001,travelocity,AA-3756-ORD-SLC,1900-03-31T12:15:00Z,1900-03-31T12:41:00Z,1900-03-31T14:45:00Z,1900-03-31T14:50:00Z
3,1429,CO,CO-1023-IAH-DEN,1900-03-31T11:40:00Z,1900-03-31T11:56:00Z,1900-03-31T13:17:00Z,1900-03-31T13:14:00Z
4,313,weather,UA-858-PVG-SFO,1900-03-31T13:45:00Z,1900-03-31T13:32:00Z,1900-03-31T08:27:00Z,1900-03-31T08:02:00Z
5,1008,travelocity,AA-466-IAH-MIA,1900-03-31T06:00:00Z,1900-03-31T06:08:00Z,1900-03-31T09:20:00Z,1900-03-31T09:05:00Z
6,244,boston,UA-3099-PHX-PHL,1900-03-31T11:55:00Z,1900-03-31T11:55:00Z,1900-03-31T18:17:00Z,1900-03-31T17:38:00Z
7,380,airtravelcenter,AA-1434-DFW-MCO,1900-03-31T07:15:00Z,1900-03-31T07:21:00Z,1900-03-31T10:35:00Z,1900-03-31T10:36:00Z
8,954,flightarrival,CO-1561-PHX-IAH,1900-03-31T08:05:00Z,1900-03-31T08:00:00Z,1900-03-31T11:35:00Z,1900-03-31T11:32:00Z
9,877,flights,AA-431-MIA-SFO,1900-03-31T08:35:00Z,1900-03-31T08:51:00Z,1900-03-31T11:50:00Z,1900-03-31T11:44:00Z
10,301,weather,UA-664-ORD-PHL,1900-03-31T13:33:00Z,1900-03-31T13:31:00Z,1900-03-31T16:31:00Z,1900-03-31T16:23:00Z
11,2310,flightaware,AA-1917-JFK-MCO,1900-03-31T14:55:00Z,1900-03-31T15:27:00Z,1900-03-31T17:55:00Z,1900-03-31T17:43:00Z
12,259,weather,AA-1544-SAN-ORD,1900-03-31T11:25:00Z,1900-03-31T11:40:00Z,1900-03-31T17:25:00Z,1900-03-31T16:56:00Z
13,415,airtravelcenter,UA-2708-EWR-CLT,1900-03-31T14:55:00Z,1900-03-31T14:55:00Z,1900-03-31T16:53:00Z,1900-03-31T16:44:00Z
14,552,flightstats,CO-52-IAH-LAX,1900-03-31T07:35:00Z,1900-03-31T07:29:00Z,1900-03-31T09:21:00Z,1900-03-31T09:14:00Z
15,213,boston,AA-3823-LAX-DEN,1900-03-31T21:00:00Z,1900-03-31T21:00:00Z,1900-03-31T00:15:00Z,1900-03-31T00:15:00Z
16,314,weather,UA-2704-DTW-PHX,1900-03-31T11:15:00Z,1900-03-31T11:15:00Z,,1900-03-31T14:00:00Z
17,297,weather,AA-1221-MCO-ORD,1900-03-31T20:00:00Z,1900-03-31T20:23:00Z,1900-03-31T21:45:00Z,1900-03-31T21:53:00Z
18,1603,mytripandmore,AA-1664-MIA-ATL,1900-03-31T10:15:00Z,1900-03-31T10:18:00Z,1900-03-31T12:10:00Z,1900-03-31T11:56:00Z
19,1015,travelocity,AA-3979-CVG-ORD,1900-03-31T07:30:00Z,1900-03-31T08:04:00Z,1900-03-31T08:00:00Z,1900-03-31T08:06:00Z
20,930,flightarrival,AA-2050-ORD-MIA,1900-03-31T10:40:00Z,1900-03-31T11:05:00Z,1900-03-31T14:45:00Z,1900-03-31T14:46:00Z
21,127,helloflight,AA-3063-SLC-LAX,1900-03-31T20:20:00Z,1900-03-31T20:39:00Z,1900-03-31T21:20:00Z,1900-03-31T21:20:00Z
22,1442,CO,CO-4888-IAH-DAL,1900-03-31T17:30:00Z,1900-03-31T17:30:00Z,,1900-03-31T18:40:00Z
23,375,airtravelcenter,CO-63-EWR-IAH,1900-03-31T17:25:00Z,1900-03-31T17:22:00Z,1900-03-31T20:22:00Z,1900-03-31T20:03:00Z
24,845,flights,UA-382-IAD-LAX,1900-03-31T12:30:00Z,1900-03-31T12:35:00Z,,1900-03-31T15:21:00Z
25,1850,flylouisville,AA-2525-DFW-MIA,1900-03-31T07:25:00Z,1900-03-31T07:39:00Z,1900-03-31T11:10:00Z,1900-03-31T11:06:00Z
26,1193,usatoday,CO-1694-LAX-IAH,1900-03-31T19:15:00Z,1900-03-31T19:15:00Z,1900-03-31T00:21:00Z,1900-03-31T00:21:00Z
27,2242,gofox,AA-85-JFK-SFO,1900-03-31T15:05:00Z,1900-03-31T15:36:00Z,1900-03-31T18:30:00Z,1900-03-31T18:43:00Z
28,886,flights,AA-3063-SLC-LAX,1900-03-31T20:20:00Z,1900-03-31T20:39:00Z,,1900-03-31T21:20:00Z
29,959,flightarrival,AA-2957-DFW-CVG,1900-03-31T07:55:00Z,1900-03-31T08:04:00Z,1900-03-31T11:05:00Z,1900-03-31T11:01:00Z
30,894,flights,AA-2957-DFW-CVG,1900-03-31T07:55:00Z,1900-03-31T08:04:00Z,1900-03-31T11:05:00Z,1900-03-31T11:01:00Z
31,1679,wunderground,AA-3979-CVG-ORD,1900-03-31T07:30:00Z,1900-03-31T08:04:00Z,1900-03-31T08:00:00Z,1900-03-31T08:06:00Z
32,2049,allegiantair,AA-59-JFK-SFO,1900-03-31T07:10:00Z,1900-03-31T07:39:00Z,,1900-03-31T11:12:00Z
33,1782,flylouisville,UA-2314-ATL-PHL,1900-03-31T14:55:00Z,1900-03-31T14:55:00Z,1900-03-31T17:00:00Z,1900-03-31T16:47:00Z
34,1537,flytecomm,AA-3842-MSP-ORD,1900-03-31T06:00:00Z,1900-03-31T06:56:00Z,1900-03-31T07:30:00Z,1900-03-31T07:51:00Z
35,785,flightexplorer,UA-6273-YYC-SFO,1900-03-31T07:35:00Z,1900-03-31T07:27:00Z,1900-03-31T09:43:00Z,1900-03-31T08:45:00Z
36,1704,wunderground,UA-664-ORD-PHL,1900-03-31T13:33:00Z,1900-03-31T13:31:00Z,1900-03-31T16:31:00Z,1900-03-31T16:23:00Z
37,1491,flytecomm,UA-397-JFK-SFO,1900-03-31T08:00:00Z,1900-03-31T08:29:00Z,1900-03-31T11:55:00Z,1900-03-31T11:58:00Z
38,1382,orbitz,AA-3756-ORD-SLC,1900-03-31T12:15:00Z,1900-03-31T12:41:00Z,1900-03-31T14:45:00Z,1900-03-31T14:50:00Z
39,696,panynj,UA-3373-IAD-PHL,1900-03-31T08:29:00Z,1900-03-31T08:26:00Z,1900-03-31T09:24:00Z,1900-03-31T09:13:00Z
40,167,boston,AA-616-DFW-DTW,1900-03-31T09:05:00Z,1900-03-31T10:10:00Z,1900-03-31T12:35:00Z,1900-03-31T13:27:00Z
41,571,flightstats,AA-3756-ORD-SLC,1900-03-31T12:15:00Z,1900-03-31T12:41:00Z,1900-03-31T14:45:00Z,1900-03-31T14:50:00Z
42,1459,ifly,CO-58-DEN-IAH,1900-03-31T11:25:00Z,1900-03-31T11:32:00Z,1900-03-31T14:50:00Z,1900-03-31T15:31:00Z
43,49,aa,AA-3809-PHX-LAX,1900-03-31T06:00:00Z,1900-03-31T06:10:00Z,1900-03-31T06:40:00Z,1900-03-31T06:19:00Z
44,1788,flylouisville,CO-1088-CLE-IAH,1900-03-31T08:40:00Z,1900-03-31T08:40:00Z,1900-03-31T10:54:00Z,1900-03-31T10:56:00Z
45,434,airtravelcenter,CO-45-EWR-MIA,1900-03-31T16:00:00Z,1900-03-31T15:58:00Z,1900-03-31T19:05:00Z,1900-03-31T18:36:00Z
46,1903,quicktrip,AA-3-JFK-LAX,1900-03-31T12:00:00Z,1900-03-31T12:11:00Z,1900-03-31T15:15:00Z,1900-03-31T15:16:00Z
47,1814,flylouisville,UA-2515-DFW-CLT,1900-03-31T07:05:00Z,1900-03-31T07:05:00Z,1900-03-31T10:31:00Z,1900-03-31T10:47:00Z
48,2361,world-flight-tracker,AA-431-MIA-SFO,1900-03-31T08:35:00Z,1900-03-31T08:51:00Z,,1900-03-31T11:44:00Z
49,463,flightview,CO-1023-IAH-DEN,1900-03-31T11:40:00Z,1900-03-31T11:56:00Z,1900-03-31T13:17:00Z,1900-03-31T13:14:00Z
