,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,2064565,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,RISK 1 (MEDIUM),950 ESTES CT,"SCHAUMBURG,IL,60193",06/19/2017,Canvass Re-inspection,No Entry
1,2064655,IZAKAYA YUME,IZAKAYA YUME,2476379,Mobile Food Preparer,RISK 2 (MEDIUM),950 ESTES CT,"SCHAUMBURG,IL,60193",06/21/2017,Canvass Re-inspection,Fail
2,1566316,"AMY BECK CAKE DESIGN, LLC","AMY BECK CAKE DESIGN, LLC",2079264,Bakery,RISK 1 (HIGH),636 N RACINE AVE,",,60642",08/17/2015,Canvass Re-inspection,Pass
3,1234520,"Remedy Chicago, Inc.",,2179338,Mobile Food Dispenser,RISK 3 (LOW),970 Criss CIR,"ELK GROVE VILLAGE,IL,60007",08/09/2012,License,Pass
4,1235091,"JUST LIKE HOME, BALDWIN DAY CARE","JUST LIKE HOME, BALDWIN DAY CARE",1942897,Daycare Combo 1586,RISK 1 (HIGH),301 E 79th ST,"Chicago,IL,60619",08/27/2012,License,No Entry
5,612233,"Payton, Walter (H/S)",WALTER PAYTON COLLEGE PREP,70020,School,RISK 1 (HIGH),1034 N Wells ST,"CHicago,IL,60610",05/24/2011,Canvass Re-inspection,Pass
6,1445319,MCDONALD'S CORPORATION,MCDONALD'S CORPORATION,1243048,Restaurant,RISK 2 (MEDIUM),23 N WESTERN AVE,"Chicago,IL,60612",06/18/2015,Canvass,Out of Business
7,525340,Manierre,Manierre,24311,School,RISK 1 (HIGH),1420 N Hudson (432W),"CHESTNUT STREET,IL,60610",06/06/2011,Canvass,Pass w/ Conditions
8,577788,Carson (Old),Carson (Old),22601,School,RISK 1 (HIGH),5516 S Maplewood (2532W) AVE,"chicago,IL,60629",02/02/2012,Canvass,Pass
9,2078380,THE GODDESS GOLD COAST,THE GODDESS AND GROCER,2397687,Restaurant,RISK 1 (HIGH),1127 N STATE ST,"CCHICAGO,IL,60610",08/14/2017,Complaint,Pass w/ Conditions
