,tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
0,416,AIRTRAVELCENTER,UA-62-IAH-EWR,1900-03-31t14:30:00z,,1900-03-31T19:03:00Z,1900-03-31T19:10:00Z
1,2184,GOFOXX,CO-89-IAH-EWR,1900-03-31T06:00:00Z,,1900-03-31T10:20:00Z,1900-03-31T10:27:00Z
2,1221,USATODAY,AA-3786-IAH-ORD,1900-03-31t16:00:00z,,1900-03-31T18:40:00Z,1900-03-31T18:15:00Z
3,249,B0OSTON,AA-59-JFK-SFO,,,1900-03-31T10:45:00Z,1900-03-31T11:12:00Z
4,2008,ALLEGIANTAIRR,UA-664-ORD-PHL,1900-03-31t13:33:00z,,1900-03-31T16:31:00Z,1900-03-31T16:23:00Z
5,2000,__ALLLEGIANTAIR__,AA-643-MIA-ORD,1900-03-31T07:10:00Z,,1900-03-31T09:35:00Z,1900-03-31T09:31:00Z
6,1030,TRAVE-LOCITY,AA-643-MIA-ORD,1900-03-31T07:10:00Z,,1900-03-31T09:35:00Z,1900-03-31T09:31:00Z
7,994,TRAVELOCITY;,AA-1733-ORD-PHX,1900-03-31T19:45:00Z,,1900-03-31T22:30:00Z,1900-03-31T22:30:00Z
8,25,__AA__,AA-3-JFK-LAX,03/31/1900 12:00:00,,1900-03-31T15:15:00Z,1900-03-31T15:16:00Z
9,84,HELLOFLIGHT,UA-382-IAD-LAX,1900-03-31t12:30:00z,,1900-03-31T15:19:00Z,1900-03-31T15:21:00Z
10,408,AIRTRAVELCENTER,CO-1250-MIA-IAH,1900-03-31t14:53:00z,,1900-03-31T16:48:00Z,1900-03-31T16:59:00Z
11,1288,--MYRATEPLAN--,AA-3823-LAX-DEN,,,1900-03-31T00:15:00Z,1900-03-31T00:15:00Z
12,1749,UNITED AIRLINES,UA-858-PVG-SFO,1900-03-31t13:45:00z,,1900-03-31T08:27:00Z,1900-03-31T08:02:00Z
13,1913,QUICKTRIP,AA-1221-MCO-ORD,1900-03-31t20:00:00z,,1900-03-31T21:45:00Z,1900-03-31T21:53:00Z
14,751,--FLIGHTEXPLORER--,AA-1279-DFW-PHX,,,1900-03-31T14:35:00Z,1900-03-31T15:30:00Z
15,1844,FLY:LOUISVILLE,AA-415-BOS-ORD,31-03-1900 08:35:00,,1900-03-31T10:40:00Z,1900-03-31T10:16:00Z
16,253,WEATHER,UA-397-JFK-SFO,1900.03.31 08:00,,1900-03-31T11:55:00Z,1900-03-31T11:58:00Z
17,997,TRAVELOCITY;,UA-2830-MCO-CLT,1900-03-31t15:27:00z,,1900-03-31T17:05:00Z,1900-03-31T17:17:00Z
18,900,FLIGHTS,AA-1544-SAN-ORD,1900-03-31T11:25:00Z,,1900-03-31T17:25:00Z,1900-03-31T16:56:00Z
19,1753,__UA__,UA-1500-IAH-GUA,1900-03-31T08:55:00Z,,1900-03-31T11:45:00Z,1900-03-31T11:56:00Z
20,1296,MYRRATEPLAN,UA-828-SFO-ORD,1900-03-31T23:08:00Z,,1900-03-31T05:11:00Z,1900-03-31T05:11:00Z
21,1523,FLYTECOMMM,UA-257-JFK-SFO,1900-03-31t14:30:00z,,1900-03-31T18:15:00Z,1900-03-31T17:42:00Z
22,380,AIRTRAVELCENTER,AA-1434-DFW-MCO,1900-03-31t07:15:00z,,1900-03-31T10:35:00Z,1900-03-31T10:36:00Z
23,792,FLIGHTEXPLORER,AA-59-JFK-SFO,1900-03-31T07:10:00Z,,1900-03-31T10:45:00Z,1900-03-31T11:12:00Z
24,735,FLIGHTEXPLORRER,AA-1640-MIA-MCO,03/31/1900 18:30:00,,1900-03-31T19:25:00Z,1900-03-31T19:25:00Z
25,130,HELLOFLIGHHT,UA-1500-IAH-GUA,1900-03-31T08:55:00Z,,1900-03-31T11:45:00Z,1900-03-31T11:56:00Z
26,1684,WONDERGROUND,UA-257-JFK-SFO,1900-03-31T14:30:00Z,,1900-03-31T18:15:00Z,1900-03-31T17:42:00Z
27,410,AIRTRAVELCENTERIC,UA-828-SFO-ORD,1900.03.31 23:08,,1900-03-31T05:11:00Z,1900-03-31T05:11:00Z
28,1383,ORBITZZ,UA-37-EWR-MCO,1900-03-31t13:29:00z,,1900-03-31T16:17:00Z,1900-03-31T16:17:00Z
29,1645,ORD--,AA-789-ORD-DEN,1900-03-31t13:05:00z,,1900-03-31T14:35:00Z,1900-03-31T15:13:00Z
30,312,--WEATHER--,UA-6273-YYC-SFO,1900-03-31t07:35:00z,,1900-03-31T09:43:00Z,1900-03-31T08:45:00Z
31,2226,GORFOX,UA-828-SFO-ORD,31-03-1900 23:08:00,,1900-03-31T05:11:00Z,1900-03-31T05:11:00Z
32,179,BOSTON--,CO-89-IAH-EWR,1900-03-31t06:00:00z,,1900-03-31T10:20:00Z,1900-03-31T10:27:00Z
33,2143,BUSINESSTRAVELLOGUE,CO-50-CLE-EWR,1900-03-31T14:55:00Z,,1900-03-31T16:49:00Z,1900-03-31T17:26:00Z
34,65,HELLOFLIGHT,CO-52-IAH-LAX,1900-03-31t07:35:00z,,1900-03-31T09:21:00Z,1900-03-31T09:14:00Z
35,584,FLIGHTSTATS,UA-843-LAX-ORD,1900-03-31t13:55:00z,,1900-03-31T19:53:00Z,1900-03-31T19:58:00Z
36,573,FLIGHT:STATS,UA-2945-PHL-CLT,1900-03-31t00:00:00z,,1900-03-31T13:45:00Z,1900-03-31T13:15:00Z
37,668,PANYNJ,CO-47-IAH-LAX,1900-03-31T19:10:00Z,,1900-03-31T20:56:00Z,1900-03-31T21:52:00Z
38,1979,ALLEGIANTAIR,CO-89-IAH-EWR,1900-03-31t06:00:00z,,1900-03-31T10:20:00Z,1900-03-31T10:27:00Z
39,1600,MYTRIPANDMORE,CO-1023-IAH-DEN,1900-03-31t11:40:00z,,1900-03-31T13:17:00Z,1900-03-31T13:14:00Z
40,1106,FOXBUSINESS,UA-257-JFK-SFO,1900-03-31T14:30:00Z,,1900-03-31T18:15:00Z,1900-03-31T17:42:00Z
41,1137,FOXBUSINESS,UA-3373-IAD-PHL,1900-03-31t08:29:00z,,1900-03-31T09:24:00Z,1900-03-31T09:13:00Z
42,621,FLIGHTSTATS,AA-85-JFK-SFO,1900-03-31T15:05:00Z,,1900-03-31T18:30:00Z,1900-03-31T18:43:00Z
43,2266,FLIGHTAWARE,AA-616-DFW-DTW,1900-03-31t09:05:00z,,1900-03-31T12:35:00Z,1900-03-31T13:27:00Z
44,1616,MYTRIPANDMORE,UA-2515-DFW-CLT,1900-03-31T07:05:00Z,,1900-03-31T10:31:00Z,1900-03-31T10:47:00Z
45,522,FLIGHTVIEW,AA-789-ORD-DEN,1900-03-31T13:05:00Z,,1900-03-31T14:35:00Z,1900-03-31T15:13:00Z
46,1480,IFFLY,CO-1694-LAX-IAH,1900-03-31T19:15:00Z,,1900-03-31T00:21:00Z,1900-03-31T00:21:00Z
47,182,BOSTONN,AA-1279-DFW-PHX,1900-03-31t13:00:00z,,1900-03-31T14:35:00Z,1900-03-31T15:30:00Z
48,1213,USAT,AA-4277-CVG-JFK,1900-03-31 12:10:00,,1900-03-31T14:15:00Z,1900-03-31T13:43:00Z
49,1850,FLYLOUISVILLE,AA-2525-DFW-MIA,,,1900-03-31T11:10:00Z,1900-03-31T11:06:00Z
