,index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
0,946,10047,georgiana hospital,515 miranda st,GEORGIANA,al,36033,BUTLER,3343762205,ACUTE CARE HOSPITALS,voluntary non-profit - private,no
1,453,10019,helen keller memorial hospital,1300 south montgomery avenue,SHEFFIELD,al,35660,,2563864556,ACUTE CASE HOSPITALS,government - hospital district or authority,yes
2,305,10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,,2053258100,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
3,434,20017,alaska regional hospital,2801 debarr road,ANCHORAGE,ak,99508,,9072761131,ACUTE CARE HOSPITALS,proprietary,yes
4,865,10044,marion regional medical center,1256 military street south,hamilton,al,35570,,2059216200,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
5,292,10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,,2056208100,ACUGE CARE HOSPITALS,voluntary non-profit - church,yes
6,987,10050,st vincents blount,150 gilbreath drive,ONEONTc,al,35121,,2052743000,ACUTE_CARE_HOSPITALS,voluntary non-profit - private,yes
7,924,10046,riverview regional medical center,600 south third street,GADSDEN,al,35901,,2565435200,ACUTE_CARE_HOSPITALS,proprietary,yes
8,261,10015,southwest alabama medical center,33700 highway 43,THOMkSVILLE,al,36784,,3346366221,ACUTE CARE HQSPITALS,government - federal,yes
9,547,10024,jackson hospital & clinic inc,1725 pine street,MONTGOMERY,al,36106,,3342938000,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
10,592,10027,elba general hospital,987 drayton street,ELBA,al,36323,,3348972257,ACUTE_CARE_HOSPITALS,voluntary non-profit - other,yes
11,391,10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,,2514717110,ACUTE CARE HOSPITALS,government - state,yes
12,408,10108,prattville baptist hospital,124 s memorial dr,prattville,al,36067,,3343614267,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
13,262,10015,southwest alabama medical center,33700 highway 43,THOMASVILAE,al,36784,,3346366221,ACUTE CARE HOSPITALS,government - federal,yes
14,595,10027,elba general hospital,987 drayton street,ELBA,al,36323,,3348972257,ACUTE CARE HOSPITALS,voluntary non-profit - other,yes
15,619,10029,east alabama medical center and snf,2000 pepperell parkway,OPELIKf,al,36801,,3347493411,ACUTE_CARE_HOSPITALS,government - hospital district or authority,yes
16,197,10011,st vincents east,50 medical park east drive,BIRMINFHAM,al,35235,,2058383122,ACUTE CARE HOSPITALS,voluntary non-profit - private,yes
17,79,10006,eliza coffee memorial hospital,205 marengo street,florence,al,35631,,2567688400,ACUTE CARE HOSPITXLS,voluntary non-profit - other,yes
18,766,10036,andalusia regional hospital,849 south three notch street,andalusia,al,36420,,3342228466,ACUTE CARE HOSPITALS,proprietary,no
19,645,10032,wedowee hospital,209 north main street,WEDOWEu,al,36278,RANDOLPH,2563572111,ACUTE CARE HOSPITALS,government - local,no
