,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
0,,HONOLULU,HI,96813,541611.0,LIMITED  LIABILITY COMPANY(LLC),BLACK OR AFRICAN AMERICAN,,UNANSWERED,5.0,04/09/2020,CENTRAL PACIFIC BANK,HI-01
1,,HONOLULU,HI,96814,561520.0,CORPORATION,ASIAN,,NON-VETERAN,3.0,04/04/2020,OHANA PACIFIC BANK,HI-01
2,,KAILUA KONA,HI,96740,722511.0,PARTNERSHIP,ASIAN,,UNANSWERED,0.0,05/21/2020,CENTRAL PACIFIC BANK,HI-02
3,,KAILUA-KONA,HI,96740,621210.0,SUBCHAPTER S CORPORATION,ASIAN,,UNANSWERED,6.0,06/15/2020,"TIAA BANK, A DIVISION OF",HI-02
4,,HONOLULU,HI,96819,621210.0,CORPORATION,ASIAN,,NON-VETERAN,,04/15/2020,CENTRAL PACIFIC BANK,HI-01
5,,KAHUKU,HI,96731,541890.0,SOLE PROPRIETORSHIP,ASIAN,,UNANSWERED,1.0,06/26/2020,MBE CAPITAL PARTNERS,HI-02
6,,HONOLULU,HI,96819,424410.0,CORPORATION,ASIAN,,NON-VETERAN,4.0,05/20/2020,HAWAII NATIONAL BANK.,HI-01
7,,KILAUEA,HI,96754,541219.0,SOLE PROPRIETORSHIP,NATIVE HAWAIIAN,,UNANSWERED,,04/13/2020,BANK OF HAWAII,HI-02
8,,HONOLULU,HI,96813,621111.0,LIMITED  LIABILITY COMPANY(LLC),ASIAN,,UNANSWERED,6.0,05/19/2020,FIRST HAWAIIAN BANK,HI-01
9,,KAPAA,HI,96746,531210.0,CORPORATION,ASIAN,,UNANSWERED,1.0,05/21/2020,GATHER FCU,HI-02
10,,WAHIAWA,HI,96786,722513.0,LIMITED  LIABILITY COMPANY(LLC),ASIAN,,UNANSWERED,1.0,05/07/2020,HAWAIIUSA FCU,HI-02
11,,HONOLULU,HI,96819,453110.0,SELF-EMPLOYED INDIVIDUALS,OTHER,,UNANSWERED,1.0,2020-06-29,"KABBAGE, INC.",HI-01
12,,WAIANAE,HI,96792,722511.0,CORPORATION,WHITE,,UNANSWERED,11.0,04/11/2020,FIRST HAWAIIAN BANK,HI-02
13,,WAIPAHU,HI,96797,238220.0,SELF-EMPLOYED INDIVIDUALS,BLACK OR AFRICAN AMERICAN,,UNANSWERED,1.0,07/27/2020,"KABBAGE, INC.",HI-01
14,,EWA BEACH,HI,96706,,SOLE PROPRIETORSHIP,BLACK OR AFRICAN AMERICAN,,UNANSWERED,1.0,05/03/2020,CELTIC BANK CORPORATION,HI-01
15,,HONOLULU,HI,96822,311813.0,LIMITED  LIABILITY COMPANY(LLC),ASIAN,,NON-VETERAN,18.0,04/07/2020,FIRST HAWAIIAN BANK,HI-01
16,,KAPAA,HI,96746,236118.0,SOLE PROPRIETORSHIP,WHITE,,UNANSWERED,1.0,05/01/2020,GATHER FCU,HI-02
17,,HALEIWA,HI,96712,453998.0,SOLE PROPRIETORSHIP,WHITE,,UNANSWERED,1.0,05/07/2020,BANK OF HAWAII,HI-02
18,,PRINCEVILLE,HI,96722,711110.0,PARTNERSHIP,BLACK OR AFRICAN AMERICAN,,NON-VETERAN,31.0,06/26/2020,INTUIT FINANCING INC.,HI-02
19,,HONOLULU,HI,96815,531210.0,SOLE PROPRIETORSHIP,ASIAN,,NON-VETERAN,1.0,05/19/2020,HAWAII NATIONAL BANK.,HI-01
