,Unnamed: 0,ratio,pp_id
total__llama3.1,70.5,0.5817128742465976,
hos__llama3.1,127.5,0.6979166666666667,
flights__llama3.1,106.0,0.42381675118397655,
ppp__llama3.1,70.5,0.6272727272727272,
dish__llama3.1,90.0,0.5504996346364633,
menu__llama3.1,15.0,0.6123775742878904,16.0
chi__llama3.1,45.0,0.5294992940154231,46.03225806451613
total__mistral,70.5,0.48842637581571813,
hos__mistral,127.5,0.4532738095238095,
flights__mistral,106.0,0.42694593794019137,
ppp__mistral,70.5,0.6178030303030303,
dish__mistral,90.0,0.5224435208866156,
menu__mistral,15.0,0.5455314267443845,16.0
chi__mistral,45.0,0.41570001086130115,46.03225806451613
total__gemma2,70.5,0.603175850481483,
hos__gemma2,127.5,0.6979166666666667,
flights__gemma2,106.0,0.6260202529073557,
ppp__gemma2,70.5,0.6375000000000001,
dish__gemma2,90.0,0.5898868895384242,
menu__gemma2,15.0,0.5674763121535056,16.0
chi__gemma2,45.0,0.5527967850548495,46.03225806451613
total__gemma2base,70.5,0.5967064960526325,
hos__gemma2base,127.5,0.6889880952380952,
flights__gemma2base,106.0,0.6062958414036238,
ppp__gemma2base,70.5,0.6375000000000001,
dish__gemma2base,90.0,0.5898868895384242,
menu__gemma2base,15.0,0.5674763121535056,16.0
chi__gemma2base,45.0,0.5420440968828065,46.03225806451613
total__dirty,70.5,0.42616081449511906,
hos__dirty,127.5,0.4532738095238095,
flights__dirty,106.0,0.058627450980392154,
ppp__dirty,70.5,0.5962121212121212,
dish__dirty,90.0,0.4862915601023018,
menu__dirty,15.0,0.5104143698881971,16.0
chi__dirty,45.0,0.38290431193657,46.03225806451613
