,index,accuracy,precision,recall,f1
0,total__llama3.1,0.04929577464788732,0.3767605633802817,0.15539906103286386,0.20533199195171026
1,hos__llama3.1,0.0,0.17857142857142858,0.05178571428571428,0.07925170068027211
2,flights__llama3.1,0.0,0.5,0.13921568627450978,0.2156862745098039
3,ppp__llama3.1,0.22727272727272727,0.6363636363636364,0.3734848484848485,0.43636363636363634
4,dish__llama3.1,0.058823529411764705,0.9117647058823529,0.29901960784313725,0.4294117647058823
5,menu__llama3.1,0.03225806451612903,0.1935483870967742,0.10483870967741934,0.13010752688172042
6,chi__llama3.1,0.03225806451612903,0.1935483870967742,0.09516129032258065,0.11843317972350231
7,total__mistral,0.0,0.11619718309859155,0.03626760563380282,0.053554661301140186
8,hos__mistral,0.0,0.0,0.0,0.0
9,flights__mistral,0.0,0.35294117647058826,0.10294117647058823,0.1574229691876751
10,ppp__mistral,0.0,0.3181818181818182,0.11363636363636363,0.16255411255411253
11,dish__mistral,0.0,0.058823529411764705,0.014705882352941176,0.023529411764705882
12,menu__mistral,0.0,0.0,0.0,0.0
13,chi__mistral,0.0,0.11290322580645161,0.02903225806451613,0.04362519201228879
14,total__gemma2,0.014084507042253521,0.4131455399061033,0.1437793427230047,0.20415828303152248
15,hos__gemma2,0.0,0.05952380952380952,0.03511904761904762,0.04404761904761905
16,flights__gemma2,0.0,0.7941176470588235,0.22058823529411764,0.3394957983193278
17,ppp__gemma2,0.045454545454545456,0.7954545454545454,0.31969696969696976,0.4318181818181818
18,dish__gemma2,0.058823529411764705,1.0,0.37254901960784315,0.5196078431372549
19,menu__gemma2,0.0,0.0,0.0,0.0
20,chi__gemma2,0.0,0.3387096774193548,0.0935483870967742,0.1436251920122888
21,total__gemma2base,0.014084507042253521,0.2887323943661972,0.0936619718309859,0.13527833668678738
22,hos__gemma2base,0.0,0.10714285714285714,0.038690476190476185,0.055952380952380955
23,flights__gemma2base,0.0,0.6470588235294118,0.17450980392156865,0.2728291316526611
24,ppp__gemma2base,0.09090909090909091,0.38636363636363635,0.18257575757575759,0.22813852813852817
25,dish__gemma2base,0.0,0.7941176470588235,0.24019607843137253,0.36078431372549025
26,menu__gemma2base,0.0,0.0,0.0,0.0
27,chi__gemma2base,0.0,0.1935483870967742,0.04516129032258065,0.07265745007680492
