id,event,venue,place,physical_description
17009,BREAKFAST,COMMERCIAL,RMS CAMPANIA,CARD;ILL;COL;4.25X6.5;
31794,,,,15x9cm folded; 15x18cm open
16783,LUNCHEON,COMMERCIAL,ON BOARD SS NORTH WEST,CARD; ILLUS; 7.25X12.75
19732,BREAKFAST,COMMERCIAL,SS COPTIC,BROADSIDE; 5.5X8.5;
33052,,,,28x17.5cm
23102,BREAKFAST,COMMERCIAL,SS HOHENZOLLERN,CARD;ILL;COL;5.25X8;
14110,LUNCH OR DINNER,SOCIAL,"PHILADELPHIA,PA.",BROADSIDE; 3.75 X 6;
34345,,,,22x13.5cm 
21454,LUNCHEON,COMMERCIAL,"TAMPA, FL",CARD; ILLUS; 4.5X6.75;
26252,COMMEM. OF EVACUATION OF NYC BY THE BRITISH,GOV'T.,"NEW YORK CITY, DELMONICO'S",CARD; ILLUS; 4.5 X 7.5;
16939,DINNER,COMMERCIAL,EN ROUTE ABOARD VENTURA,CARD; 5.5 X 8.5;
13812,DINNER,COMMERCIAL,NEW YORK,FOLDER; 7 X 11;
14450,ANNUAL BANQUET TENDERED TO THEIR REPRESENTATIVES,PROF;,ROCHESTER CLUB,FOLDER; COL; 3.5X5.25;
21698,DINNER,COMMERCIAL,16 LAFAYETTE PLACE;,FOLDER; COL; 5.5 X 9.5;
24319,DAILY MENU,,,BROADSHEET ILLUS.
29808,,,,21.5x14cm folded; 21.5x28cm open
20188,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS BORDER; 5.25 X 7.75;
34427,,,,16.5x10cm folded; 16.5x20cm open
26880,,RESTAURANT,Don the Beachcomber,Booklet; 10 x 12.5 inches
30223,,,,30x22cm folded; 30x44cm open
21658,"INAUGURAL INSPECTION AND BANQUET TO THE AMERICAN PRESS, MEMBERS OF THE RETAIL TRADE, PUBLIC OFFICIALS, AND EDUCATOR",COMMERCIAL,"WANAMAKER STORE, NEW YORK ?",BOOKLET; COL; ILLUS; 6 X 9;
30574,,,,28x20.5cm folded; 28x41cm open
31053,,,,19.5x14cm
26288,CARTE DU JOUR,SOC;,"(60 PINE ST., NEW YORK, NY)",BROADSIDE; 6X10;
22701,BILL OF FARE,COMMERCIAL,"BOULEVARD, 66TH AND 67TH STREETS",FOLDER; 6.25X10.0;
30411,,,,27x16cm folded; 27x31.5cm open
28675,,,,34x24cm folded; 34x48cm open
27707,,,,11 x 7 in. ; ill.
13250,BREAKFAST,COMMERCIAL,"SARATOGA SPRINGS, NY",FOLDER; ILLUS; 4.75X6.25;
24815,LUNCH,COMMERCIAL,"DAMPFER ""BARBAROSSA""",CARD; ILLUS; COL; 5.25X8;
24183,FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",CARD; ILLUS; COL; 5.25X8;
20905,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KOBE MARU,BROADSIDE; 5.5 X 7.75;
28479,,,,21.5x10.5cm folded; 21.5x30cm open
19899,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;
31137,,,,34x23cm
28600,,,,36x27cm folded; 36x52cm open
26358,Breakfast,AIRLINE,,Folder; 5.5 x 8 inches
20950,DINNER,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; 5X7.25;
23045,DINNER(?),,"TURISTHOTELLER, DINING ROOM OF FAIRY TALES, NORWAY",CARD; ILLUS; 5 X 8;
30195,,,,27.5x20.5cm folded; 27.5x41cm open
30537,,,,31x23cm
12960,CAFE BREAKFAST,COMMERCIAL,"[66TH ST AND BROADWAY,NEW YORK,NY]",CARD;ILL;COL;4X5.5;
20115,BREAKFAST,COMMERCIAL,SS DORIC,BROADSIDE;ILL;COL;5.5X8.25;
31183,,,,28x17.5cm
33748,,,,18x12cm folded; 18x26.5cm open
33736,,,,25x14cm
21204,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 7.75X10;
31744,,,,26x18.5cm folded; 26x37cm open
25679,DINNER,,"HOTEL BELLVUE,PHILADELPHIA,PA",BOOKLET;5.75X9;
23659,18TH ANNUAL BANQUET,PROF;,"HOTEL SCHENLEY, PITTSBURGH, PA",BOOKLET; ILLUS; COL; 8.5X6.5;
30052,,,,23.5x15.5cm folded; 23.5x30.5cm open
14009,BREAKFAST,COM,"EN ROUTE "" H.H.MEIER""",CARD; ILLUS; COL; 5.25 X 8.25;
27235,dinner,HOTEL,Palace Hotel,8 x 5 in. fold. ; ill.
34080,,,,21.5x13.5cm
32927,,,,16.5x21.5cm
20484,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSHEET; COL; ILLUS; 10.25 X 9.5;
21673,DINNER,COMM.,"[AMSTERDAM, HOLLAND ?]",FOLDER; ILLUS; 8.5 X 5;
31474,,,,20x14cm folded; 20x28cm open
24904,DINNER IN HONOR OF ABOVE,[SOC?];,"ALBERGO MODERNO, ROME, ITALY",CARD; ILLUS; COL; 4.75X6.5;
22289,DINNER,,,FOLDER; 5.5 X 8.5;
28426,,,,38x24cm
21942,DINNER IN HONOR OF MR. FRANK POLLOCK,[SOC?];,REISENWEBER'S,CARD; ILLUS; 6.5X3.5;
33871,,,,13.5x8cm 
33658,,,,27x20cm folded; 27x40cm open
21031,DINNER MENU,COMMERCIAL,"CAIRO, EGYPT",BROADSHEET; ILLUS; 4X6;
33591,,,,15x12cm folded; 15x24cm open
28355,,,,21x10cm folded; 21x39.5cm open
31442,,,,24x16.5cm folded; 24x33cm open
31428,,,,16x10cm
25792,HONORING JAMES M. BARRIE AND W. ROBERTSON NICOLL,SOC;,NEW YORK,FOLDER; ILLUS; 7.25 X 10.25
13275,LUNCHEON,COMMERCIAL,SS SIERRA,CARD; ILLUS; COL; 5.5X6.75;
34342,,,,16.5x8.5cm
32462,,,,33x18cm
30420,,,,17.5x11.5cm
24753,ANNUAL BANQUET,[GOVT?];,"KNICKERBOCKER HOTEL, NEW YORK CITY",FOLDER; COL; 5.25X8.25;
14500,DINNER,COMMERCIAL,"PAWLING, NY",CARD; 4.5X6.25;
32800,,,,27.5x17cm folded; 27.5x34cm open
21438,NINTH ANNUAL DINNER,MIL;,"GRAND HOTEL, CINCINNATI OH;",FOLDER; COL; 5 X 7;
27174,lunch,RAILROAD,,11 x 8 in. fold. ; ill.
32620,,,,33x18cm
28243,,,,30x22.5cm folded; 30x45cm open
13703,BREAKFAST,COMMERCIAL,"DAMPFER ""WILHELM DER GROSSE""",CARD; ILLUS; COL; 5.5X8.25;
21063,BREAKFAST,COMMERCIAL,"MIAMI BISCAYNE BAY, FL",CARD; ILLUS; COL; 4.5X8;
26731,,RESTAURANT,Mme. Romaine de Lyon; 29 East 62st Street,Booklet; 6 x 9 inches
31455,,,,21.5x15.5cm folded
33125,,,,31x13.5cm
16769,DINNER,COMMERCIAL,SS KOBE MARU,BROADSIDE;ILLUS;COL;10.25X9.5;
25092,DINNER,COMMERCIAL,"MIAMI BISCAYNE BAY, FL",CARD; ILLUS; COL; 4.5X8.75;
20405,DINNER,COMMERCIAL,SS SIERRA,CARD; ILLUS; COL; 5.5X6.75;
24874,DINNER TO HONOURABLE JOHN B.McPHERSON,PROF;,HARRISBURG CLUB,BOOKLET;ILLUS;COL;5.5X8;
27097,daily menu,RAILROAD,"Dining Car, Richmond Fredericksburg and Potomac Railroad",8 1/2 x 5 1/2 in. fold. 
13050,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; ILLUS; 3.5 X 5.75;
28814,,,,28x22cm
28667,,,,33x25cm folded; 33x50cm open
14282,BREAKFAST,COMMERCIAL,DINING CAR,CARD; ILLUS; 4.75X7'
17039,DINNER,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD; ILLUS; COL; 4.25X6.5;
31780,,,,23.5x14cm folded; 23.5x28.5cm open
22266,LUNCHEON TO THE CALIFORNIA PROMOTION COMMITTEE ON THE OCCASION OF THE RESUMPTION OF HOTEL BUSINESS IN THE BURNED DISTRICT,COMMERCIAL,"SAN FRANCISCO, CA",FOLDER; ILLUS; 4.6X7.25;
28380,,,,24x16cm folded; 24x31.5cm open
20826,DINNER,NAV; (?),EN ROUTE,CARD; 4 X 6.25;
