id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
325594,"Peixe Espada Grelhado, Maitre d'Hotel",,1,1,1939,1939,0.0,0.0
333801,FRESH FRUIT COCKTAIL EIRE STYLE,,1,1,1941,1941,0.0,0.0
136097,Veloute d'Asperges,,1,1,0,0,,
13571,"Fillet of Beouf, aux Champignons",,2,2,1900,1900,0.0,0.0
168751,"Hearts of Lettuce, French Dressing",,20,21,1913,1964,0.3,0.6
497706,Green Turtle en Tasse,,1,1,1913,1913,,
509907,"1934 Brauneberger mosel, Maas, Nathan & Co.",,1,1,1938,1938,0.0,0.0
453654,"Roquefort, domestic",,2,1,0,0,0.0,0.0
434561,"Scotch, King William IV",,2,2,1914,1914,0.2,0.2
245089,Sauvignon Blanc *Baron Briare * 1984 * France,,1,1,1986,1986,2.75,10.95
273957,Artichauts a la Russe,,1,1,1961,1961,0.0,0.0
100866,"veal cutlet broiled, fried or breaded",,1,1,1900,1900,0.0,0.0
349921,Canada mutton chop,,33,33,1933,1933,0.65,1.7
236129,Bean Curd with Chinese Mushrooms,,1,1,1977,1977,3.75,3.75
309378,Filet of Cabrilla Broiled Lemon Anchovy Sauce,,1,1,1946,1946,3.0,3.0
30479,Steak Sirloin with Mushrooms,,1,1,1901,1901,0.0,0.0
498687,Smoked Kennebeck salmon,,1,1,1913,1913,0.4,0.4
323866,"Ernest Irroy, Ex. Quality, Carte d'Or 1928",,1,1,1939,1939,0.0,0.0
271938,Ziti with Calabrese sauce,,1,1,1961,1961,0.0,0.0
405881,Broiled live code,,1,1,1917,1917,0.65,0.65
26273,Hominy Fritters     Currant Sauce,,1,1,1900,1900,0.0,0.0
243064,Cappuccino Decaffeinato,,1,1,0,0,2.75,2.75
242872,"Saumon de Gachpe a la Fleche comme Jadis, Sauce Choron",,1,1,1958,1958,0.0,0.0
345109,Celery Phosphate,,1,1,1938,1938,0.0,0.0
208138,Chilled Alberta Peaches with Cream,,5,5,1969,1969,0.0,0.0
22632,"Oyster stew, plain",,8,8,1900,1945,0.2,20.0
382332,Chicory salad,,161,165,1899,1937,0.15,0.6
61532,"Beef Steak, fried onions",,1,1,1901,1901,0.0,0.0
301764,Chicken and Ham Pie 5/6,,1,1,1955,1955,0.0,0.0
105143,"Spanish Mackerel, Broiled, Maitre d'Hotel",,1,1,1901,1901,0.0,0.0
286273,Oyster Mornay (6),,2,2,1963,1963,0.0,0.0
243827,"BROILED SWORDFISH STEAK FLORIDA, French Fried Potatoes",,1,1,1985,1985,2.75,2.75
312235,Vintner's Sauterne,,3,3,1943,1946,0.3,0.3
4224,Table Celery,,237,251,1892,1969,0.05,35.0
236950,Assorted French Cheese,,3,3,1958,1958,,
436847,Poland Water. Still,,1,1,1914,1914,0.4,0.4
288462,New York Boneless Sirloin,,1,1,1963,1963,4.25,4.25
128307,"Pan Roast, Little Necks",,1,1,1900,1900,0.5,0.5
51079,Fried Maiden Sole,,6,6,1900,1900,0.0,0.0
204376,Roasted Rib Eye Steak on the Bone (2 pers) Shallot Sauce,,1,1,0,0,58.0,58.0
317622,McCallum's Perfect Scotch Whiskey,,1,1,1949,1949,0.75,0.75
292355,Potage Washington,,2,2,1955,1957,0.0,0.0
141696,Vermicelles mit Rahm,,6,6,1957,1983,0.0,0.0
27817,Flageolets beans,,2,2,1900,1900,0.5,0.5
148300,Penne facon Grand-Mere,,1,1,0,0,0.0,0.0
36292,Consommé à la Monaco,,4,4,1900,1906,0.0,0.0
430611,Fruit salad en season,,1,1,1914,1914,,
53274,Eischaum-Nocken,,2,2,1901,1901,0.0,0.0
439067,Gateaux St Honore,,1,1,1895,1895,,
291973,Belgian Endives in Brown Butter,,2,2,1959,1959,,
82285,"Veuve Clicqout, Gold Label, Brut",,1,1,1900,1900,2.0,3.75
293589,Cream Caroline soup,,1,1,1953,1953,0.0,0.0
292628,Martin's V. V. O. (20 yrs.),,1,1,1957,1957,1.25,1.25
323927,CH BRANE-CANTENAC (Cantenac) 1899,,1,1,1939,1939,0.0,0.0
114303,"Otard, Dupuy & Co. Gold Seal, 1820",,1,1,1892,1892,6.0,6.0
196860,Hollandaise-Salat,,1,1,1910,1910,0.0,0.0
251774,"Supreme of Chicken, saute Cacciatora",,1,1,1959,1959,0.0,0.0
476680,Green Goddess,,2,2,0,0,,
174263,"Huevos Rancheros (fried eggs on tortilla, served with tomato sauce)",,1,1,1966,1966,1.85,1.85
351534,Grenadine Cocktail,,11,11,1932,1933,0.0,0.0
195402,Malteser Reis-Creme,,2,2,1910,1910,0.0,0.0
423771,Clam Chowder with Wafers or Home-Made Bread (Friday),,1,1,1915,1915,0.15,0.15
341541,"Prime Rib of Beef, Pan Gravy",,1,1,1934,1934,0.85,0.85
408167,Cup Cakes (3),,1,1,1917,1917,0.05,0.05
65783,Alter Sherry,,2,2,1901,1901,0.0,0.0
500686,"lobster, full order",,1,1,1913,1913,0.7,0.7
351394,"Coffee Ice Cream, caramel sauce",,4,4,1933,1933,0.0,0.0
223420,Corned Beef...On Russian Rye Bread,,1,1,1965,1965,1.5,1.5
56692,Roast Tame Duck & Jelly,,2,2,1900,1900,0.0,0.0
217066,The de Menthe ,,10,10,1937,1972,,
329501,Broiled Fresh Pompano Filet in Lemon Butter,,1,1,1940,1940,1.15,1.15
145777,Ice cream - Pappagallo's speciality,,1,1,0,0,0.0,0.0
4616,Essence of Chicken,,5,5,1900,1907,0.3,0.3
340916,Gnocchi di patate alla Veneta,,1,1,1980,1980,0.0,0.0
474305,"Tripes a la polonaise, P.P.",,1,1,1912,1912,0.0,0.0
361158,"Shore Dinner, Less Crab and Chicken",,1,1,1938,1938,0.0,0.0
102648,Italian Ham,,16,16,1900,1973,0.1,0.1
465175,Roast duck with orange sauce,,1,1,1978,1978,,
394889,Oyster (Saddle Rocks) Fry,,1,1,1917,1917,0.5,0.5
1210,"Lettuce, French dressing",,71,71,1890,1928,0.1,0.35
428874,"Sweetbread, Tzarine",,6,6,1912,1915,0.75,0.75
452687,"[cold] Egg, Robinson",,1,1,0,0,0.0,0.0
71818,"Sweetbread Cutlets, Parisian fashion",,1,1,1891,1891,0.0,0.0
952,Brawn,,158,158,1892,1910,0.0,0.0
136635,Sole grillee Beurre Maitre-d hotel,,1,1,1976,1976,0.0,0.0
249208,Half Fried Spring Chicken ( 25 Mins.) ,,1,1,1957,1957,2.25,2.25
336735,"*Whitefish, Amendine",,1,1,1937,1937,0.0,0.0
435886,Oyster Omelette with Creamed Potatoes,,1,1,1914,1914,0.5,0.5
80193,Koffie,,19,19,1887,1973,0.0,0.0
493662,Madère,,4,4,1880,1928,0.0,0.0
293494,"Boiled Fresh Brisket of Beef, Horseradish Sauce, Bouillon Potatoes",,2,2,1953,1953,0.0,0.0
