id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,Column 9
80606,"FROGS' LEGS, AMERICAN STYLE",1.0,1,1892-01-01T00:00:00Z,1892,2.5,24.0,
132793,"CRAB GUMBO, CREOLE",15.0,22,1931-01-01T00:00:00Z,1962,0.0,2.25,
128307,"PAN ROAST, LITTLE NECKS",1.0,1,1900-01-01T00:00:00Z,1900,0.5,0.5,
21522,BOWL OF COLD RICE AND MILK,2.0,2,1901-01-01T00:00:00Z,1901,0.25,0.25,
497953,"SWEETBREAD, TZARINE",0.0,0,,0,0.0,0.0,
476757,"LOBSTER SALAD, CHICKEN",1.0,1,1943-01-01T00:00:00Z,1943,1.5,1.5,
380772,"CRAB GUMBO, CREOLE",3.0,3,1914-01-01T00:00:00Z,1916,0.15,0.3,
61532,"BEEF STEAK, FRIED ONIONS",1.0,1,1901-01-01T00:00:00Z,1901,0.0,0.0,
336242,KRUMBLES,3.0,3,1921-01-01T00:00:00Z,1937,0.0,0.0,
290401,"SOUP, PUREE JACKSON WITH LEEKS AND CELERY",1.0,1,1963-01-01T00:00:00Z,1963,0.0,0.0,
488107,SPARKLING BURGUNDY,3.0,3,1913-01-01T00:00:00Z,1918,1.65,3.5,
239709,"BEEF STEAK, FRIED ONIONS",1.0,1,1958-01-01T00:00:00Z,1958,0.0,0.0,
65644,? AND COLD DISHES,98.0,103,1905-01-01T00:00:00Z,1990,0.5,0.5,
494938,"BRANDY, MARTEL XXX",1.0,1,1961-01-01T00:00:00Z,1961,,,
150496,VEAL FILLETS WITH FRESH GRAPES IN MUSHROOM AND CREAM SAUCE (VITELLO 'WHITE ELEPHANT'),1.0,1,1972-01-01T00:00:00Z,1972,0.0,0.0,
480179,1954ER PCKFENER BECKSTEIN,1.0,1,,0,0.0,0.0,
56190,? AND COLD DISHES,1.0,1,1901-01-01T00:00:00Z,1901,,,
435886,"BRANDY, MARTEL XXX",1.0,1,1914-01-01T00:00:00Z,1914,0.5,0.5,
342208,BORDEAUX ROUGE SAUTERNES CLOS MERCIER 1966,1.0,1,1962-01-01T00:00:00Z,1962,0.0,0.0,
466530,KRUMBLES,1.0,1,1912-01-01T00:00:00Z,1912,0.15,0.15,
272290,SLICE ROAST,1.0,1,1961-01-01T00:00:00Z,1961,1.6,2.0,
128329,"LITTLE NECK CLAMS, ROASTED IN SHELL",1.0,1,1900-01-01T00:00:00Z,1900,0.35,0.35,
306163,"LE COQ DE CHOIX A LA CREME ET AU FOIE GRAS, FLAMBE AU COGNAC",1.0,1,1944-01-01T00:00:00Z,1944,4.0,4.0,
428874,"SWEETBREAD, TZARINE",6.0,6,1912-01-01T00:00:00Z,1915,0.75,0.75,
340916,BOWL OF COLD RICE AND MILK,1.0,1,1980-01-01T00:00:00Z,1980,0.0,0.0,
170818,"1964ER CHATEAU LA TOUR GAYET, COTES DE BLAYE AC",1.0,1,,0,0.0,0.0,
235817,BAVAROIS AUX FRAMBOISES CHANTILLY,2.0,2,1966-01-01T00:00:00Z,1966,0.0,0.0,
103083,"PAN ROAST, LITTLE NECKS",1.0,1,1900-01-01T00:00:00Z,1900,0.1,0.1,
491518,SALADE DE BETTERAVE,1.0,1,1962-01-01T00:00:00Z,1962,0.0,0.0,
460870,BROILED SMALL STEAK WITH POTATOES,1.0,1,,0,0.0,0.0,
451690,"MANUEL GARCIA, PURITANOS",2.0,1,1914-01-01T00:00:00Z,1914,0.5,0.5,
456489,"CHINESE MUSHROOMS AND PORK CHOW MEIN (PAN FRIED NOODLES, SOFT OR CRISP)",2.0,2,,0,0.0,0.0,
104232,"TRIPE IN CREAM WITH ONIONS, SHANLEY",1.0,1,1891-01-01T00:00:00Z,1891,0.0,0.0,
215582,COLD PICKLED PORK,1.0,1,1901-01-01T00:00:00Z,1901,0.0,0.0,
93339,"MANUEL GARCIA, PURITANOS",4.0,4,1900-01-01T00:00:00Z,1920,0.15,8.75,
452805,"FROGS' LEGS, AMERICAN STYLE",2.0,2,,0,0.0,0.0,
93212,"TRIPE IN CREAM WITH ONIONS, SHANLEY",1.0,1,1900-01-01T00:00:00Z,1900,0.5,0.5,
509112,BORDEAUX ROUGE SAUTERNES CLOS MERCIER 1966,1.0,1,1971-01-01T00:00:00Z,1971,0.0,0.0,
341848,SLICE ROAST,1.0,1,1935-01-01T00:00:00Z,1935,0.0,0.0,
486064,TOMATOES OR CUCUMBERS AND LETTUCE,1.0,1,1913-01-01T00:00:00Z,1913,0.15,0.15,
