id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
276837,BLUEFORT CHEESE AND CRACKERS,1,1,1954,1954,0.0,0.0
236129,BEAN CURD WITH CHINESE MUSHROOMS,1,1,1977,1977,3.75,3.75
184225,BREAD AND BUTTER WHITE,2,2,1938,1938,0.15,0.15
312235,VINTNER'S SAUTERNE,3,3,1943,1946,0.3,0.3
492738,"EGG, TETRAZINI",1,1,1913,1913,0.3,0.3
232786,CONSOMME BELLE FERMIERE,7,7,1953,1965,0.0,0.0
387942,"ROAST HOT HOUSE BABY LAMB, MINT SAUCE",1,1,1918,1918,,
18775,POUDING A L'IMPERATRIX,1,1,1900,1900,,
109996,"CREAM OF FOWL, SOUFFLE",1,1,1907,1907,0.0,0.0
497982,SAINT-MARCEAUX VERY DRY,1,1,1913,1913,0.0,0.0
170818,"1964ER CHATEAU LA TOUR GAYET, COTES DE BLAYE AC",1,1,0,0,0.0,0.0
144665,SAUMON BOUILLI,1,1,0,0,0.0,0.0
172711,"KALBSSCHNITZEL MIT BRAUNEM KNOBLAUCH, TOMATENNUDELN UND SALAT - ESCALOPE DE VEAU GOUSSE D'AIL AVEC NOUILLES AUX HERBES ET SALADE - EXCALOPE OF VEAL WITH GARLIC, NOODLES WITH HERBS AND SALAD",1,1,1987,1987,0.0,0.0
480179,1954ER OCKFENER BECKSTEIN,1,1,0,0,0.0,0.0
355492,ROMAINE AND PINEAPPLE SALAD,23,25,1912,1933,0.4,0.4
138730,SUNOMONO,1,1,0,0,0.85,0.85
499315,BROILED OR FRIED GREEN BLUEFISH,1,1,1913,1913,0.25,0.25
311757,"UNJOINTED FRIED HALF SPRING CHICKEN ON TOAST, COUNTRY GRAVY",1,1,1946,1946,0.0,0.0
344502,MACEDOINE DE FRUITS AU MARASQUIN,1,1,1935,1935,0.0,0.0
486757,"TENDERLOIN STEAK, WITH TRUFFLES",1,1,1913,1913,2.0,2.0
479488,""" SOUTHER COLADA"" - SOUTHERN COMFORT, ANANASSAFT, KOKOSNUSSCREME",1,1,0,0,0.0,0.0
484955,FRESH HOME=MADE RHUBARB PIE,7,8,1913,1913,0.05,0.05
494938,ŒUFS? CARLTON,1,1,1961,1961,,
104232,SCHWESERPASTETEN,1,1,1891,1891,0.0,0.0
137931,GRAN FRITTO DI MISTO MARE,1,1,1980,1980,0.0,0.0
307106,KEY WEST TURTLE SOUP,3,3,1944,1948,0.0,0.0
296409,KIPPERED ALASKA COD,1,1,1955,1955,0.0,0.0
195402,MALTESER REIS-CREME,2,2,1910,1910,0.0,0.0
293494,"BOILED FRESH BRISKET OF BEEF, HORSERADISH SAUCE, BOUILLON POTATOES",2,2,1953,1953,0.0,0.0
133584,SELECTED DELICACIES FROM VARIOUS COUNTRIES,1,1,1969,1969,0.0,0.0
78287,ROAST LEG OF MUTTON CURRANT JELLY,3,3,1900,1917,0.35,0.35
139437,FRECCIAROSSA,5,5,1939,1958,0.0,5.0
293589,CREAM CAROLINE SOUP,1,1,1953,1953,0.0,0.0
342575,"COFFEE, PER POT OR CUP",1,1,1901,1901,0.0,0.0
219673,"CALIFORNIA FRESH FRUIT SALAD, WITH COTTAGE CHEESE, SOUR CREAM",1,1,1979,1979,6.5,6.5
151584,BOURBON WHISKY FOUR ROSES 4 CL,1,1,1966,1966,0.0,0.0
452933,SQUAB CASSEROLE,1,1,0,0,0.0,0.0
399522,"STRAWBERRY, PEACH OR RASPBERRY JAM",1,1,1917,1917,0.2,0.2
66536,TIMBALES DE RIZ A LA MILANAISE,1,1,1885,1885,0.0,0.0
111324,INDIVIDUAL WEDDING CAKES FOR EVERYBODY,1,1,1907,1907,0.0,0.0
454936,CHATEAU LATOUR BLANCHE B & G SAUTERNES,1,1,0,0,0.0,0.0
489930,"OLD SEAL BRANDY, PONY",1,1,1913,1913,5.0,25.0
71818,"SWEETBREAD CUTLETS, PARISIAN FASHION",1,1,1891,1891,0.0,0.0
281411,"2 EGGS, ANY STYLE, SERVED WITH HASHBROWNS & HOT BUTTERED TOAST",1,1,1988,1988,2.5,2.5
24641,"POTATOES, SAUTEES OR STEWED",2,2,1900,1901,0.1,0.15
126273,CREME D'ASPERGES NOUVELLES AUX FLEURONS,1,1,1906,1906,0.0,0.0
422736,"BROILED SWEETBREADS, GREEN PEAS",1,1,1915,1915,0.6,0.6
413843,"FR OCHSENBRUST ""FLAMISCH"" MIT BOUILLONKARTOFFELN UND SAHNEMEERRETTICH",1,1,1973,1973,0.0,0.0
297102,"FRESH FRUIT SALAD, COUNTRY COTTAGE CHEESE, SOUR CREAM SALAD DRESSING",1,1,1955,1955,1.95,1.95
20365,"THEE, KAFFEE, HAFERCACAO",1,1,1900,1900,0.0,0.0
