id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,Column 9
80606,ŒUFS-CARLTON,1.0,1,1892,1892,2.5,24.0,
132793,krumbles,15.0,22,1931,1962,0.0,2.25,
128307,"__chinese_mushrooms_and_pork_chow_mein_(pan_fried_noodles,_soft_or_crisp)__",1.0,1,1900,1900,0.5,0.5,
21522,mexican_tamales,2.0,2,1901,1901,0.25,0.25,
497953,"CHINESE-MUSHROOMS-AND-PORK-CHOW-MEIN-(PAN-FRIED-NOODLES,-SOFT-OR-CRISP)",0.0,0,0,0,0.0,0.0,
476757,mignardises,1.0,1,1943,1943,1.5,1.5,
380772,"__CRAB_GUMBO,_CREOLE__",3.0,3,1914,1916,0.15,0.3,
61532,__mondaine__,1.0,1,1901,1901,0.0,0.0,
336242,__KRUMBLES__,3.0,3,1921,1937,0.0,0.0,
290401,__trenette_with_tomato_sauce__,1.0,1,1963,1963,0.0,0.0,
488107,--SPARKLING-BURGUNDY--,3.0,3,1913,1918,1.65,3.5,
239709,cold-pickled-pork,1.0,1,1958,1958,0.0,0.0,
65644,__CREAM_FRESH_TOMATOES_SOUP?_WITH_TAPIOCA__,98.0,103,1905,1990,0.5,0.5,
494938,œufs-carlton,1.0,1,1961,1961,,,
150496,--veal-fillets-with-fresh-grapes-in-mushroom-and-cream-sauce-(vitello-'white-elephant')--,1.0,1,1972,1972,0.0,0.0,
480179,__1954er_pckfener_beckstein__,1.0,1,0,0,0.0,0.0,
56190,__?_AND_COLD_DISHES__,1.0,1,1901,1901,,,
435886,oyster_omelette_with_creamed_potatoes,1.0,1,1914,1914,0.5,0.5,
342208,"--BROILED-LOBSTER-DAINTIES,-DENMARK,-DRAWN-BUTTER,-BROCCOLI,-FRENCH-FRIED-POTATOES--",1.0,1,1962,1962,0.0,0.0,
466530,__scotch_highballs__,1.0,1,1912,1912,0.15,0.15,
272290,"__1964ER_CHATEAU_LA_TOUR_GAYET,_COTES_DE_BLAYE_AC__",1.0,1,1961,1961,1.6,2.0,
128329,"__broiled_lobster_dainties,_denmark,_drawn_butter,_broccoli,_french_fried_potatoes__",1.0,1,1900,1900,0.35,0.35,
306163,"le_coq_de_choix_a_la_creme_et_au_foie_gras,_flambe_au_cognac",1.0,1,1944,1944,4.0,4.0,
428874,"sweetbread,_tzarine",6.0,6,1912,1915,0.75,0.75,
340916,GNOCCHI_DI_PATATE_ALLA_VENETA,1.0,1,1980,1980,0.0,0.0,
170818,"1964er_chateau_la_tour_gayet,_cotes_de_blaye_ac",1.0,1,0,0,0.0,0.0,
235817,__MONKS_BEARD_SALAD__,2.0,2,1966,1966,0.0,0.0,
103083,__julienue__,1.0,1,1900,1900,0.1,0.1,
491518,__trenette_with_tomato_sauce__,1.0,1,1962,1962,0.0,0.0,
460870,--BROILED-SMALL-STEAK-WITH-POTATOES--,1.0,1,0,0,0.0,0.0,
451690,TOMATOES-OR-CUCUMBERS-AND-LETTUCE,2.0,1,1914,1914,0.5,0.5,
456489,"eggs,-scrambled-with-tomato",2.0,2,0,0,0.0,0.0,
104232,"__fr_ochsenbrust_""flamisch""_mit_bouillonkartoffeln_und_sahnemeerrettich__",1.0,1,1891,1891,0.0,0.0,
215582,__cold_pickled_pork__,1.0,1,1901,1901,0.0,0.0,
93339,"__manuel_garcia,_puritanos__",4.0,4,1900,1920,0.15,8.75,
452805,"--frogs'-legs,-american-style--",2.0,2,0,0,0.0,0.0,
93212,"TRIPE_IN_CREAM_WITH_ONIONS,_SHANLEY",1.0,1,1900,1900,0.5,0.5,
509112,--bordeaux-rouge-sauternes-clos-mercier-1966--,1.0,1,1971,1971,0.0,0.0,
341848,__slice_roast__,1.0,1,1935,1935,0.0,0.0,
486064,--MEXICAN-TAMALES--,1.0,1,1913,1913,0.15,0.15,
310385,"__SLOE_GIN_FIZZ,_IMP__",1.0,1,1947,1947,0.75,0.75,
311611,--coffee-sundae--,3.0,3,1939,1948,0.25,0.3,
248003,schweserpasteten,1.0,1,1957,1957,2.75,2.75,
190157,"--chinese-mushrooms-and-pork-chow-mein-(pan-fried-noodles,-soft-or-crisp)--",1.0,1,0,0,0.7,1.3,
383374,__monks_beard_salad__,1.0,1,1916,1916,0.4,0.4,
455520,"veal_cutlet_breaded,_tomato",,1,1,0,0.0,0.0,0.0
368779,"--soup,-puree-jackson-with-leeks-and-celery--",1.0,1,1927,1927,0.0,0.0,
413843,veal-fillets-with-fresh-grapes-in-mushroom-and-cream-sauce-(vitello-'white-elephant'),1.0,1,1973,1973,0.0,0.0,
96287,"--CHINESE-MUSHROOMS-AND-PORK-CHOW-MEIN-(PAN-FRIED-NOODLES,-SOFT-OR-CRISP)--",,1,1,1900,1900.0,0.1,0.1
476680,__GREEN_GODDESS__,2.0,2,0,0,,,
