id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
149858,"    ATLANTIC SWORDFISH STEAK. Center cut, Coriander Butter Sauce",1,1,1987,1987,17.0,17.0
251774,"Supreme of Chicken, saute Cacciatora",1,1,1959,1959,0.0,0.0
65393,"   beatrice cake, per lb",1,1,1900,1900,0.0,0.0
383374,Monks Beard [salad],1,1,1916,1916,0.4,0.4
294885,"Hot Sliced Turkey Sandwich Mornay, in Potato Bordure, with Fresh Asparagus",1,1,1953,1953,1.65,1.65
93027,Ecarlate,1,1,1895,1895,,
434561,"Scotch,    King William IV",2,2,1914,1914,0.2,0.2
65783,   Alter SHERRY   ,2,2,1901,1901,0.0,0.0
84787,   Hot Corn Meal [Mush] and Milk,1,1,1899,1899,0.0,0.0
493727,"Country Sausages, Fried Bananas",0,0,0,0,0.0,0.0
474218,"Fried Mackerel, Mustard sauce",1,1,1912,1912,0.75,0.75
439311,Cold Ferris Ham,1,1,1905,1905,,
45137,Brandy Peaches Preserves,2,2,1898,1900,0.3,0.5
383035,"Wehlener Rosenberg, 1907, 1/2 Bottle, Bottle",1,1,1916,1916,0.8,1.5
314543,"Broiled Pork Chops, Apple Sauce, Vegetable, Potato",1,1,1948,1948,1.75,1.75
507407,"REUBEN'S SPECIAL Turkey, Roast Virginia Ham, Swiss Cheese, Cole Slaw, Russian Dressing",0,0,0,0,0.0,0.0
88791,"omelets, varies",1,1,1897,1897,0.0,0.0
184225,  bread and Butter: white?  ,2,2,1938,1938,0.15,0.15
349921,Canada mutton chop,33,33,1933,1933,0.65,1.7
70222,Cafe Pudding,1,1,1907,1907,0.25,0.25
64182,Fricandeau Veal and Olives,1,1,1900,1900,0.0,0.0
476757,"Lobster Salad, Chicken",1,1,1943,1943,1.5,1.5
325594,"Peixe Espada Grelhado, Maitre d'Hotel",1,1,1939,1939,0.0,0.0
481361,"Stuffed turkey, cranberry sauce",1,1,0,0,0.0,0.0
61532,"  (Beef Steak), fried onions",1,1,1901,1901,0.0,0.0
15868,"  Breast of lamb, Jardiniere",3,3,1893,1900,0.0,0.0
235066,   Borscht Koop,1,1,1969,1969,1.3,1.3
344502,macedoine de Fruits au Marasquin,1,1,1935,1935,0.0,0.0
311980,  (Beef) Tamale,3,3,1937,1948,0.3,0.5
286273,Oyster Mornay (6),2,2,1963,1963,0.0,0.0
354474,*Filet of Sole with Fresh Spinach Florentine,1,1,1933,1933,0.0,0.0
379205,Club Steak with mushrooms,9,9,1917,1919,2.75,3.7
82285,"Veuve Clicqout, Gold Label, Brut",1,1,1900,1900,2.0,3.75
229253,"L'Entrecote a la Bercy - New York strip steak, with shallots, and French fried potatoes. ",1,1,1981,1981,0.0,0.0
37410,Kalbfleisch Fricassee,1,1,1901,1901,0.0,0.0
350837,Shad Roe Saute Meuniere,13,14,1933,1933,1.25,1.35
24641,"   Potatoes, sautees or stewed",2,2,1900,1901,0.1,0.15
460870,Broiled Small Steak with   Potatoes,1,1,0,0,0.0,0.0
479871,Blattsalate mit handgeschöpftem Schafskäse   ,1,1,0,0,0.0,0.0
305457,Head Lettuce with Thousand Island Dressing,2,2,1944,1947,0.0,0.0
493662,Madère  ,4,4,1880,1928,0.0,0.0
234259,Brandy (Domestic),3,3,1947,1966,0.38,0.8
56547,"Cigars, Manuel Garcia, Invencible",2,2,1901,1901,0.3,6.5
110817,Lady Cakes,2,2,1907,1921,0.0,0.0
351394,"   Coffee Ice Cream, caramel sauce;  ",4,4,1933,1933,0.0,0.0
142989,Vintage Port Martinez 1963,1,1,1974,1974,0.0,0.0
407602,"  Roast spring lamb, mint sauce (ready)",1,1,1917,1917,0.9,0.9
435474,Tortue Verte au Marsala ,1,1,1914,1914,,
10679,"[  Baked Fresh Mackerel, Creole",3,3,1900,1901,0.25,0.6
79917,  Bombe Regence],1,1,1906,1906,0.4,0.4
