tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1000,travelocity,UA-414-LAX-SFO,1900-03-31T06:00:00Z,1900-03-31T05:56:00Z,1900-03-31T07:23:00Z,1900-03-31T07:17:00Z
1651,ord,AA-1522-SFO-ORD,1900-03-31T23:55:00Z,1900-03-31T23:55:00Z,1900-03-31T05:50:00Z,1900-03-31T05:50:00Z
789,flightexplorer,AA-4198-ORD-CLE,1900-03-31T10:40:00Z,1900-03-31T10:54:00Z,1900-03-31T12:55:00Z,1900-03-31T12:50:00Z
1543,flytecomm,AA-1221-MCO-ORD,1900-03-31T20:00:00Z,1900-03-31T20:23:00Z,1900-03-31T21:45:00Z,1900-03-31T21:53:00Z
854,flights,AA-1434-DFW-MCO,1900-03-31T07:15:00Z,1900-03-31T07:21:00Z,1900-03-31T10:35:00Z,1900-03-31T10:36:00Z
1437,CO,CO-1193-EWR-MCO,1900-03-31T09:15:00Z,1900-03-31T09:14:00Z,1900-03-31T12:18:00Z,1900-03-31T12:09:00Z
1438,CO,CO-16-LAX-EWR,1900-03-31T10:25:00Z,1900-03-31T10:20:00Z,1900-03-31T18:44:00Z,1900-03-31T18:34:00Z
1066,travelocity,AA-222-LAX-BOS,1900-03-31T07:10:00Z,1900-03-31T07:31:00Z,1900-03-31T15:30:00Z,1900-03-31T15:14:00Z
417,airtravelcenter,UA-1500-IAH-GUA,1900-03-31T08:55:00Z,1900-03-31T09:16:00Z,1900-03-31T11:45:00Z,1900-03-31T11:56:00Z
477,flightview,AA-2050-ORD-MIA,1900-03-31T10:40:00Z,1900-03-31T11:05:00Z,1900-03-31T14:45:00Z,1900-03-31T14:46:00Z
316,weather,UA-2708-EWR-CLT,1900-03-31T14:55:00Z,1900-03-31T14:55:00Z,1900-03-31T16:53:00Z,1900-03-31T16:44:00Z
577,flightstats,UA-248-PHX-ORD,1900-03-31T12:57:00Z,1900-03-31T13:32:00Z,1900-03-31T17:15:00Z,1900-03-31T17:34:00Z
1102,foxbusiness,AA-1279-DFW-PHX,1900-03-31T13:00:00Z,1900-03-31T14:04:00Z,1900-03-31T14:35:00Z,1900-03-31T15:30:00Z
