tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1304,__myrateplan__,AA-3804-PHL-ORD,--2:35-p.m.--,__2:44_p.m.__,4:05 p.m.,3:43 p.m.
1527,flytecomm,AA-2050-ORD-MIA,10:40_a.m.,11:05-a.m.,2:45 p.m.,2:46 p.m.
143,--helloflight--,CO-50-CLE-EWR,__2:55_p.m.__,3:31_p.m.,4:49 p.m.,5:26 p.m.
1562,--flytecomm--,UA-858-PVG-SFO,--1:45-p.m.--,1:32-p.m.,8:27 a.m.,8:02 a.m.
502,flightview,AA-1165-JFK-MIA,6:59-A.M.,__7:22_A.M.__,10:34 a.m.,10:04 a.m.
1477,__IFLY__,UA-62-IAH-EWR,2:30_p.m.,__2:48_p.m.__,7:03 p.m.,7:10 p.m.
1959,ALLEGIANTAIR,CO-58-DEN-IAH,__11:25_A.M.__,--11:32-a.m.--,2:50 p.m.,3:31 p.m.
1278,--myrateplan--,UA-938-DEN-ORD,4:16-P.M.,4:15_p.m.,7:35 p.m.,7:36 p.m.
1520,__FLYTECOMM__,UA-854-SFO-IAH,7:53_a.m.,__7:49_a.m.__,1:39 p.m.,1:30 p.m.
541,__FLIGHTSTATS__,UA-397-JFK-SFO,8:00_a.m.,8:29_a.m.,11:55 a.m.,11:58 a.m.
1637,mytripandmore,AA-404-MIA-MCO,6:45-a.m.,6:57-a.m.,7:45 a.m.,7:40 a.m.
102,--HELLOFLIGHT--,AA-1007-MIA-PHX,--4:55-p.m.--,5:08_p.m.,8:05 p.m.,7:55 p.m.
2376,__world-flight-tracker__,AA-59-JFK-SFO,--7:10-A.M.--,7:39_a.m.,10:45 a.m.,11:12 a.m.
469,FLIGHTVIEW,AA-1279-DFW-PHX,1:00-p.m.,__2:04_p.m.__,2:35 p.m.,3:30 p.m.
1267,myrateplan,AA-1640-MIA-MCO,6:30-P.M.,6:30-p.m.,7:25 p.m.,7:25 p.m.
696,panynj,UA-3373-IAD-PHL,--8:29-a.m.--,__8:26_a.m.__,9:24 a.m.,9:13 a.m.
994,TRAVELOCITY,AA-1733-ORD-PHX,7:45_P.M.,--7:58-p.m.--,10:30 p.m.,10:30 p.m.
1323,myrateplan,AA-222-LAX-BOS,7:10-a.m.,7:31_a.m.,3:30 p.m.,3:14 p.m.
1694,--wunderground--,AA-4307-ORD-DTW,6:45_P.M.,6:55-p.m.,9:10 p.m.,8:53 p.m.
2321,--flightaware--,AA-59-JFK-SFO,7:10_a.m.,__7:39_a.m.__,10:45 a.m.,11:12 a.m.
760,--flightexplorer--,AA-4307-ORD-DTW,__6:45_p.m.__,6:55_p.m.,9:10 p.m.,8:53 p.m.
