tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1000,travelocity,  UA-414-LAX-SFO  ,6:00 a.m.,5:56 a.m.,7:23 a.m.,7:17 a.m.
1651,ord,  AA-1522-SFO-ORD  ,11:55 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
789,flightexplorer,aa-4198-ord-cle,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:50 p.m.
1543,flytecomm,  AA-1221-MCO-ORD  ,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
854,flights,aa-1434-dfw-mco,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
1437,CO,  CO-1193-EWR-MCO  ,9:15 a.m.,9:14 a.m.,12:18 p.m.,12:09 p.m.
1438,CO,co-16-lax-ewr,10:25 a.m.,10:20 a.m.,6:44 p.m.,6:34 p.m.
1066,travelocity,AA-222-LAX-BOS,7:10 a.m.,7:31 a.m.,3:30 p.m.,3:14 p.m.
417,airtravelcenter,ua-1500-iah-gua,8:55 a.m.,9:16 a.m.,11:45 a.m.,11:56 a.m.
477,flightview,AA-2050-ORD-MIA,10:40 a.m.,11:05 a.m.,2:45 p.m.,2:46 p.m.
316,weather,ua-2708-ewr-clt,2:55 p.m.,2:55 p.m.,4:53 p.m.,4:44 p.m.
577,flightstats,ua-248-phx-ord,12:57 p.m.,1:32 p.m.,5:15 p.m.,5:34 p.m.
1102,foxbusiness,  aa-1279-dfw-phx  ,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
919,flightarrival,co-1090-bos-iah,9:45 a.m.,10:19 a.m.,1:16 p.m.,1:19 p.m.
2298,flightaware,  UA-664-ORD-PHL  ,1:33 p.m.,1:31 p.m.,4:31 p.m.,4:23 p.m.
1144,foxbusiness,ua-2704-dtw-phx,11:15 a.m.,11:15 a.m.,1:40 p.m.,2:00 p.m.
1598,mytripandmore,__aa-3468-cvg-mia__,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
1034,travelocity,__AA-400-DFW-JFK__,10:40 a.m.,11:01 a.m.,2:59 p.m.,3:04 p.m.
1060,travelocity,AA-415-BOS-ORD,8:35 a.m.,8:56 a.m.,10:40 a.m.,10:16 a.m.
318,weather,__aa-3804-phl-ord__,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.
940,flightarrival,AA-400-DFW-JFK,10:40 a.m.,11:01 a.m.,2:59 p.m.,3:04 p.m.
1250,myrateplan,aa-466-iah-mia,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
2241,gofox,aa-415-bos-ord,8:35 a.m.,8:56 a.m.,10:40 a.m.,10:16 a.m.
