tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1439,CO,CO-1090-BOS-IAH,9:45 A.M.,10:19 A.M.,1:16 P.M.,1:19 P.M.
57,helloflight,UA-2830-MCO-CLT,3:27 P.M.,3:27 P.M.,5:05 P.M.,5:17 P.M.
1274,myrateplan,AA-643-MIA-ORD,7:10 A.M.,7:30 A.M.,9:35 A.M.,9:31 A.M.
1781,flylouisville,CO-1561-PHX-IAH,8:05 A.M.,8:00 A.M.,11:35 A.M.,11:32 A.M.
226,boston,UA-2708-EWR-CLT,2:55 P.M.,2:55 P.M.,4:53 P.M.,4:44 P.M.
375,airtravelcenter,CO-63-EWR-IAH,5:25 P.M.,5:22 P.M.,8:22 P.M.,8:03 P.M.
228,boston,UA-1500-IAH-GUA,8:55 A.M.,9:16 A.M.,11:45 A.M.,11:56 A.M.
1219,usatoday,AA-1640-MIA-MCO,6:30 P.M.,6:30 P.M.,7:25 P.M.,7:25 P.M.
48,aa,AA-222-LAX-BOS,7:10 A.M.,7:31 A.M.,3:30 P.M.,3:14 P.M.
816,flights,UA-3925-IAD-ORF,8:41 A.M.,8:42 A.M.,9:54 A.M.,9:43 A.M.
1736,ua,UA-854-SFO-IAH,7:53 A.M.,7:49 A.M.,1:39 P.M.,1:30 P.M.
2124,businesstravellogue,UA-2704-DTW-PHX,11:15 A.M.,11:15 A.M.,1:40 P.M.,2:00 P.M.
1174,usatoday,UA-3925-IAD-ORF,8:41 A.M.,8:42 A.M.,9:54 A.M.,9:43 A.M.
1132,foxbusiness,UA-233-LAX-JFK,4:25 P.M.,4:25 P.M.,12:29 A.M.,12:29 A.M.
1777,flylouisville,AA-3468-CVG-MIA,7:00 A.M.,7:25 A.M.,9:55 A.M.,9:45 A.M.
2246,gofox,AA-271-MIA-LAX,11:35 A.M.,11:52 A.M.,2:25 P.M.,2:27 P.M.
1883,quicktrip,AA-466-IAH-MIA,6:00 A.M.,6:08 A.M.,9:20 A.M.,9:05 A.M.
1877,quicktrip,AA-484-DFW-MIA,4:15 P.M.,4:29 P.M.,7:55 P.M.,7:39 P.M.
2126,businesstravellogue,UA-2708-EWR-CLT,2:55 P.M.,2:55 P.M.,4:53 P.M.,4:44 P.M.
1766,flylouisville,UA-2830-MCO-CLT,3:27 P.M.,3:27 P.M.,5:05 P.M.,5:17 P.M.
1020,travelocity,AA-2525-DFW-MIA,7:25 A.M.,7:39 A.M.,11:10 A.M.,11:06 A.M.
2354,world-flight-tracker,AA-1221-MCO-ORD,8:00 P.M.,8:23 P.M.,9:45 P.M.,9:53 P.M.
525,flightview,AA-3979-CVG-ORD,7:30 A.M.,8:04 A.M.,8:00 A.M.,8:06 A.M.
742,flightexplorer,AA-3468-CVG-MIA,7:00 A.M.,7:25 A.M.,9:55 A.M.,9:45 A.M.
806,mco,AA-1640-MIA-MCO,6:30 P.M.,6:30 P.M.,7:25 P.M.,7:25 P.M.
225,boston,AA-3063-SLC-LAX,8:20 P.M.,8:39 P.M.,9:20 P.M.,9:20 P.M.
1833,flylouisville,AA-3063-SLC-LAX,8:20 P.M.,8:39 P.M.,9:20 P.M.,9:20 P.M.
46,aa,AA-1544-SAN-ORD,11:25 A.M.,11:40 A.M.,5:25 P.M.,4:56 P.M.
88,helloflight,CO-63-EWR-IAH,5:25 P.M.,5:22 P.M.,8:22 P.M.,8:03 P.M.
2190,gofox,AA-4344-ORD-DTW,11:45 A.M.,12:13 P.M.,2:00 P.M.,2:10 P.M.
245,boston,AA-4198-ORD-CLE,10:40 A.M.,10:54 A.M.,12:55 P.M.,12:50 P.M.
319,weather,AA-1917-JFK-MCO,2:55 P.M.,3:27 P.M.,5:55 P.M.,5:43 P.M.
239,boston,AA-1544-SAN-ORD,11:25 A.M.,11:40 A.M.,5:25 P.M.,4:56 P.M.
1221,usatoday,AA-3786-IAH-ORD,4:00 P.M.,4:12 P.M.,6:40 P.M.,6:15 P.M.
1448,ifly,CO-1090-BOS-IAH,9:45 A.M.,10:19 A.M.,1:16 P.M.,1:19 P.M.
2107,businesstravellogue,AA-400-DFW-JFK,10:40 A.M.,11:01 A.M.,2:59 P.M.,3:04 P.M.
1519,flytecomm,AA-1279-DFW-PHX,1:00 P.M.,2:04 P.M.,2:35 P.M.,3:30 P.M.
1473,ifly,AA-415-BOS-ORD,8:35 A.M.,8:56 A.M.,10:40 A.M.,10:16 A.M.
2266,flightaware,AA-616-DFW-DTW,9:05 A.M.,10:10 A.M.,12:35 P.M.,1:27 P.M.
784,flightexplorer,UA-233-LAX-JFK,4:25 P.M.,4:25 P.M.,12:29 A.M.,12:29 A.M.
1706,wunderground,UA-233-LAX-JFK,4:25 P.M.,4:25 P.M.,12:29 A.M.,12:29 A.M.
2002,allegiantair,UA-2906-PHL-MCO,3:50 P.M.,4:28 P.M.,6:23 P.M.,6:38 P.M.
252,weather,AA-518-MIA-JFK,6:40 A.M.,6:54 A.M.,9:25 A.M.,9:28 A.M.
1262,myrateplan,CO-47-IAH-LAX,7:10 P.M.,8:25 P.M.,8:56 P.M.,9:52 P.M.
1409,orbitz,AA-85-JFK-SFO,3:05 P.M.,3:36 P.M.,6:30 P.M.,6:43 P.M.
2242,gofox,AA-85-JFK-SFO,3:05 P.M.,3:36 P.M.,6:30 P.M.,6:43 P.M.
1749,ua,UA-858-PVG-SFO,1:45 P.M.,1:32 P.M.,8:27 A.M.,8:02 A.M.
1444,CO,CO-63-EWR-IAH,5:25 P.M.,5:22 P.M.,8:22 P.M.,8:03 P.M.
2293,flightaware,AA-643-MIA-ORD,7:10 A.M.,7:30 A.M.,9:35 A.M.,9:31 A.M.
356,airtravelcenter,AA-3468-CVG-MIA,7:00 A.M.,7:25 A.M.,9:55 A.M.,9:45 A.M.
