tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
899,flights,AA-3979-CVG-ORD,1900-03-31T07:30:00Z,1900-03-31T08:04:00Z,1900-03-31T08:00:00Z,1900-03-31T08:06:00Z
183,boston,UA-854-SFO-IAH,1900-03-31T07:53:00Z,1900-03-31T07:49:00Z,1900-03-31T13:39:00Z,1900-03-31T13:30:00Z
566,flightstats,AA-2957-DFW-CVG,1900-03-31T07:55:00Z,1900-03-31T08:04:00Z,1900-03-31T11:05:00Z,1900-03-31T11:01:00Z
458,flightview,AA-1886-BOS-MIA,1900-03-31T10:45:00Z,1900-03-31T10:55:00Z,1900-03-31T14:20:00Z,1900-03-31T13:40:00Z
2019,allegiantair,CO-1250-MIA-IAH,1900-03-31T14:53:00Z,1900-03-31T15:01:00Z,1900-03-31T16:48:00Z,1900-03-31T16:59:00Z
569,flightstats,AA-1279-DFW-PHX,1900-03-31T13:00:00Z,1900-03-31T14:04:00Z,1900-03-31T14:35:00Z,1900-03-31T15:30:00Z
1340,orbitz,AA-616-DFW-DTW,1900-03-31T09:05:00Z,1900-03-31T10:10:00Z,1900-03-31T12:35:00Z,1900-03-31T13:27:00Z
779,flightexplorer,UA-828-SFO-ORD,1900-03-31T23:08:00Z,1900-03-31T23:08:00Z,1900-03-31T05:11:00Z,1900-03-31T05:11:00Z
563,flightstats,UA-3050-PHX-CLT,1900-03-31T11:05:00Z,1900-03-31T11:30:00Z,1900-03-31T16:57:00Z,1900-03-31T17:05:00Z
717,panynj,AA-3979-CVG-ORD,1900-03-31T07:30:00Z,1900-03-31T08:04:00Z,1900-03-31T08:00:00Z,1900-03-31T08:06:00Z
954,flightarrival,CO-1561-PHX-IAH,1900-03-31T08:05:00Z,1900-03-31T08:00:00Z,1900-03-31T11:35:00Z,1900-03-31T11:32:00Z
502,flightview,AA-1165-JFK-MIA,1900-03-31T06:59:00Z,1900-03-31T07:22:00Z,1900-03-31T10:34:00Z,1900-03-31T10:04:00Z
689,panynj,UA-37-EWR-MCO,1900-03-31T13:29:00Z,1900-03-31T13:48:00Z,1900-03-31T16:17:00Z,1900-03-31T16:17:00Z
830,flights,AA-3468-CVG-MIA,1900-03-31T07:00:00Z,1900-03-31T07:25:00Z,1900-03-31T09:55:00Z,1900-03-31T09:45:00Z
58,helloflight,CO-58-DEN-IAH,1900-03-31T11:25:00Z,1900-03-31T11:32:00Z,1900-03-31T14:50:00Z,1900-03-31T15:31:00Z
2117,businesstravellogue,UA-3373-IAD-PHL,1900-03-31T08:29:00Z,1900-03-31T08:26:00Z,1900-03-31T09:24:00Z,1900-03-31T09:13:00Z
1771,flylouisville,CO-1614-LAX-IAH,1900-03-31T00:30:00Z,1900-03-31T00:41:00Z,1900-03-31T05:35:00Z,1900-03-31T05:26:00Z
2262,flightaware,UA-2726-FLL-PHL,1900-03-31T16:00:00Z,1900-03-31T16:00:00Z,1900-03-31T18:46:00Z,1900-03-31T18:28:00Z
1647,ord,AA-3979-CVG-ORD,1900-03-31T07:30:00Z,1900-03-31T08:04:00Z,1900-03-31T08:00:00Z,1900-03-31T08:06:00Z
1680,wunderground,AA-1279-DFW-PHX,1900-03-31T13:00:00Z,1900-03-31T14:04:00Z,1900-03-31T14:35:00Z,1900-03-31T15:30:00Z
133,helloflight,AA-2268-PHX-ORD,1900-03-31T07:15:00Z,1900-03-31T07:22:00Z,1900-03-31T11:35:00Z,1900-03-31T11:06:00Z
2306,flightaware,UA-828-SFO-ORD,1900-03-31T23:08:00Z,1900-03-31T23:08:00Z,1900-03-31T05:11:00Z,1900-03-31T05:11:00Z
1262,myrateplan,CO-47-IAH-LAX,1900-03-31T19:10:00Z,1900-03-31T20:25:00Z,1900-03-31T20:56:00Z,1900-03-31T21:52:00Z
2279,flightaware,UA-2945-PHL-CLT,1900-03-31T00:00:00Z,1900-03-31T03:11:00Z,1900-03-31T13:45:00Z,1900-03-31T13:15:00Z
975,flightwise,UA-3050-PHX-CLT,1900-03-31T11:05:00Z,1900-03-31T11:30:00Z,1900-03-31T16:57:00Z,1900-03-31T17:05:00Z
1463,ifly,AA-3786-IAH-ORD,1900-03-31T16:00:00Z,1900-03-31T16:12:00Z,1900-03-31T18:40:00Z,1900-03-31T18:15:00Z
922,flightarrival,AA-466-IAH-MIA,1900-03-31T06:00:00Z,1900-03-31T06:08:00Z,1900-03-31T09:20:00Z,1900-03-31T09:05:00Z
2150,businesstravellogue,AA-222-LAX-BOS,1900-03-31T07:10:00Z,1900-03-31T07:31:00Z,1900-03-31T15:30:00Z,1900-03-31T15:14:00Z
1452,ifly,UA-938-DEN-ORD,1900-03-31T16:16:00Z,1900-03-31T16:15:00Z,1900-03-31T19:35:00Z,1900-03-31T19:36:00Z
620,flightstats,AA-415-BOS-ORD,1900-03-31T08:35:00Z,1900-03-31T08:56:00Z,1900-03-31T10:40:00Z,1900-03-31T10:16:00Z
558,flightstats,CO-62-IAH-EWR,1900-03-31T14:30:00Z,1900-03-31T14:48:00Z,1900-03-31T19:03:00Z,1900-03-31T19:10:00Z
1998,allegiantair,CO-1193-EWR-MCO,1900-03-31T09:15:00Z,1900-03-31T09:14:00Z,1900-03-31T12:18:00Z,1900-03-31T12:09:00Z
1380,orbitz,AA-400-DFW-JFK,1900-03-31T10:40:00Z,1900-03-31T11:01:00Z,1900-03-31T14:59:00Z,1900-03-31T15:04:00Z
2337,world-flight-tracker,AA-2957-DFW-CVG,1900-03-31T07:55:00Z,1900-03-31T08:04:00Z,1900-03-31T11:05:00Z,1900-03-31T11:01:00Z
617,flightstats,AA-4277-CVG-JFK,1900-03-31T12:10:00Z,1900-03-31T12:10:00Z,1900-03-31T14:15:00Z,1900-03-31T13:43:00Z
487,flightview,AA-643-MIA-ORD,1900-03-31T07:10:00Z,1900-03-31T07:30:00Z,1900-03-31T09:35:00Z,1900-03-31T09:31:00Z
1716,wunderground,AA-1917-JFK-MCO,1900-03-31T14:55:00Z,1900-03-31T15:27:00Z,1900-03-31T17:55:00Z,1900-03-31T17:43:00Z
10,aa,AA-466-IAH-MIA,1900-03-31T06:00:00Z,1900-03-31T06:08:00Z,1900-03-31T09:20:00Z,1900-03-31T09:05:00Z
2201,gofox,CO-1694-LAX-IAH,1900-03-31T19:15:00Z,1900-03-31T19:15:00Z,1900-03-31T00:21:00Z,1900-03-31T00:21:00Z
