id,name,beef_type,egg_type,coffee_type,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
325594,"Peixe Espada Grelhado, Maitre D'hotel",False,False,False,,1,1,1939,1939,0,0
333801,Fresh Fruit Cocktail Eire Style,False,False,False,,1,1,1941,1941,0,0
136097,Veloute D'asperges,False,False,False,,1,1,0,0,,
13571,"Fillet Of Beouf, Aux Champignons",False,False,False,,2,2,1900,1900,0,0
168751,"Hearts Of Lettuce, French Dressing",False,False,False,,20,21,1913,1964,0.3,0.6
497706,Green Turtle En Tasse,False,False,False,,1,1,1913,1913,,
509907,"1934 Brauneberger Mosel, Maas, Nathan & Co",False,False,False,,1,1,1938,1938,0,0
453654,"Roquefort, Domestic",False,False,False,,2,1,0,0,0,0
434561,"Scotch, King William Iv",False,False,False,,2,2,1914,1914,0.2,0.2
245089,Sauvignon Blanc *baron Briare * 1984 * France,False,False,False,,1,1,1986,1986,2.75,10.95
273957,Artichauts A La Russe,False,False,False,,1,1,1961,1961,0,0
100866,"Veal Cutlet Broiled, Fried Or Breaded",False,False,False,,1,1,1900,1900,0,0
349921,Canada Mutton Chop,False,False,False,,33,33,1933,1933,0.65,1.7
236129,Bean Curd With Chinese Mushrooms,False,False,False,,1,1,1977,1977,3.75,3.75
309378,Filet Of Cabrilla Broiled Lemon Anchovy Sauce,False,False,False,,1,1,1946,1946,3,3
30479,Steak Sirloin With Mushrooms,False,False,False,,1,1,1901,1901,0,0
498687,Smoked Kennebeck Salmon,False,False,False,,1,1,1913,1913,0.4,0.4
323866,"Ernest Irroy, Ex Quality, Carte D'or 1928",False,False,False,,1,1,1939,1939,0,0
271938,Ziti With Calabrese Sauce,False,False,False,,1,1,1961,1961,0,0
405881,Broiled Live Code,False,False,False,,1,1,1917,1917,0.65,0.65
26273,Hominy Fritters Currant Sauce,False,False,False,,1,1,1900,1900,0,0
243064,Cappuccino Decaffeinato,False,False,False,,1,1,0,0,2.75,2.75
242872,"Saumon De Gachpe A La Fleche Comme Jadis, Sauce Choron",False,False,False,,1,1,1958,1958,0,0
345109,Celery Phosphate,False,False,False,,1,1,1938,1938,0,0
208138,Chilled Alberta Peaches With Cream,False,False,False,,5,5,1969,1969,0,0
22632,"Oyster Stew, Plain",False,False,False,,8,8,1900,1945,0.2,20
382332,Chicory Salad,False,False,False,,161,165,1899,1937,0.15,0.6
61532,"Beef Steak, Fried Onions",True,False,False,,1,1,1901,1901,0,0
301764,Chicken And Ham Pie 5/6,False,False,False,,1,1,1955,1955,0,0
105143,"Spanish Mackerel, Broiled, Maitre D'hotel",False,False,False,,1,1,1901,1901,0,0
286273,Oyster Mornay (6),False,False,False,,2,2,1963,1963,0,0
243827,"Broiled Swordfish Steak Florida, French Fried Potatoes",False,False,False,,1,1,1985,1985,2.75,2.75
312235,Vintner's Sauterne,False,False,False,,3,3,1943,1946,0.3,0.3
4224,Table Celery,False,False,False,,237,251,1892,1969,0.05,35
236950,Assorted French Cheese,False,False,False,,3,3,1958,1958,,
436847,Poland Water Still,False,False,False,,1,1,1914,1914,0.4,0.4
288462,New York Boneless Sirloin,False,False,False,,1,1,1963,1963,4.25,4.25
128307,"Pan Roast, Little Necks",False,False,False,,1,1,1900,1900,0.5,0.5
51079,Fried Maiden Sole,False,False,False,,6,6,1900,1900,0,0
204376,Roasted Rib Eye Steak On The Bone (2 Pers) Shallot Sauce,False,False,False,,1,1,0,0,58,58
317622,Mccallum's Perfect Scotch Whiskey,False,False,False,,1,1,1949,1949,0.75,0.75
292355,Potage Washington,False,False,False,,2,2,1955,1957,0,0
141696,Vermicelles Mit Rahm,False,False,False,,6,6,1957,1983,0,0
27817,Flageolets Beans,False,False,False,,2,2,1900,1900,0.5,0.5
148300,Penne Facon Grand-mere,False,False,False,,1,1,0,0,0,0
36292,Consommé À La Monaco,False,False,False,,4,4,1900,1906,0,0
430611,Fruit Salad En Season,False,False,False,,1,1,1914,1914,,
53274,Eischaum-nocken,False,False,False,,2,2,1901,1901,0,0
439067,Gateaux St Honore,False,False,False,,1,1,1895,1895,,
291973,Belgian Endives In Brown Butter,False,False,False,,2,2,1959,1959,,
82285,"Veuve Clicqout, Gold Label, Brut",False,False,False,,1,1,1900,1900,2,3.75
293589,Cream Caroline Soup,False,False,False,,1,1,1953,1953,0,0
292628,Martin's V V O (20 Yrs),False,False,False,,1,1,1957,1957,1.25,1.25
323927,Ch Brane-cantenac (cantenac) 1899,False,False,False,,1,1,1939,1939,0,0
114303,"Otard, Dupuy & Co Gold Seal, 1820",False,False,False,,1,1,1892,1892,6,6
196860,Hollandaise-salat,False,False,False,,1,1,1910,1910,0,0
251774,"Supreme Of Chicken, Saute Cacciatora",False,False,False,,1,1,1959,1959,0,0
476680,Green Goddess,False,False,False,,2,2,0,0,,
174263,"Huevos Rancheros (fried Eggs On Tortilla, Served With Tomato Sauce)",False,False,False,,1,1,1966,1966,1.85,1.85
351534,Grenadine Cocktail,False,False,False,,11,11,1932,1933,0,0
195402,Malteser Reis-creme,False,False,False,,2,2,1910,1910,0,0
423771,Clam Chowder With Wafers Or Home-made Bread (friday),False,False,False,,1,1,1915,1915,0.15,0.15
341541,"Prime Rib Of Beef, Pan Gravy",True,False,False,,1,1,1934,1934,0.85,0.85
408167,Cup Cakes (3),False,False,False,,1,1,1917,1917,0.05,0.05
65783,Alter Sherry,False,False,False,,2,2,1901,1901,0,0
500686,"Lobster, Full Order",False,False,False,,1,1,1913,1913,0.7,0.7
351394,"Coffee Ice Cream, Caramel Sauce",False,False,True,,4,4,1933,1933,0,0
223420,Corned BeefOn Russian Rye Bread,False,False,False,,1,1,1965,1965,1.5,1.5
56692,Roast Tame Duck & Jelly,False,False,False,,2,2,1900,1900,0,0
217066,The De Menthe,False,False,False,,10,10,1937,1972,,
329501,Broiled Fresh Pompano Filet In Lemon Butter,False,False,False,,1,1,1940,1940,1.15,1.15
145777,Ice Cream - Pappagallo's Speciality,False,False,False,,1,1,0,0,0,0
4616,Essence Of Chicken,False,False,False,,5,5,1900,1907,0.3,0.3
340916,Gnocchi Di Patate Alla Veneta,False,False,False,,1,1,1980,1980,0,0
474305,"Tripes A La Polonaise, PP",False,False,False,,1,1,1912,1912,0,0
361158,"Shore Dinner, Less Crab And Chicken",False,False,False,,1,1,1938,1938,0,0
102648,Italian Ham,False,False,False,,16,16,1900,1973,0.1,0.1
465175,Roast Duck With Orange Sauce,False,False,False,,1,1,1978,1978,,
