id,name,sponsor,event,venue,place,city,physical_description,physical_types,size,occasion,notes,call_number,call_number_suffix,keywords,language,date,year,location,location_type,currency,currency_symbol,status,page_count,dish_count
12579,,Trustees Of The Missouri Botanical Garden,banquet,PROF,"SOUTHERN HOTEL,ST. LOUIS,MO.",ST. LOUIS,BROADSIDE; ILLUS; 5.5 X 8.75;,BROADSIDE,5.5X8.75,ANNUAL,WINES LISTED FOR EACH COURSE;,1900-2627,,,,1900-03-31T00:00:00Z,1900,Trustees Of The Missouri Botanical Garden,,,,complete,2,22
25121,,Holland House,luncheon,COMMERCIAL,,,CARD;6X8.75;,CARD,6X8.75,DAILY,"ENGLISH ON ONE SIDE,FRENCH ON ONE SIDE;",1900-517,,,,1900-01-25T00:00:00Z,1900,Holland House,,Dollars,$,complete,2,546
21960,,Battery Park Hotel,dinner,COMMERCIAL,"ASHVILLE, NC",ASHVILLE,BOOKLET; ILLUS; COL; 6 X 8;,BOOKLET,6X8,RELIGIOUS HOLIDAY,PRINTED ON PARCHMENT-LIKE PAPER; RED LION; DRAWING OF HOTEL; TIED WITH TWINE AND SEALING WAX; MOST OF BOOKLET CONSISTS OF INFORMATION AND PRAISE ABOUT THE HOTEL;,1898-432,,,,1898-12-25T00:00:00Z,1898,Battery Park Hotel,,,,complete,16,28
14523,,Usms,breakfast,GOVT,SS ST PAUL,Unknown,CARD;ILLUS;COL;4X6.25;,CARD,4X6.25,DAILY,FLAG;,1901-1304,,,,1901-05-15T00:00:00Z,1901,Usms,,,,complete,2,23
29808,,Southern Pacific,,,,,21.5x14cm folded; 21.5x28cm open,FOLDER,21.5X14;21.5X28,Unknown,,1946-0037,wotm,,,1946-01-01T00:00:00Z,1946,Southern Pacific,,Dollars,$,complete,4,78
23754,,Holland Society,dinner,PATR,HOTEL BRUNSWICK [NY?],NEW YORK,FOLDER; ILLUS; 8.75X12;,FOLDER,8.75X12,[SOC?],DUTCH; TOASTS; WINDMILL AND MILKMAID; SAILINGSHIP AND SEAL; TWO COPIES;,1889-004,,,,1889-01-08T00:00:00Z,1889,Holland Society,,,,complete,4,55
33905,Spilker's Restaurant and Grill Room,Spilker's Restaurant And Grill Room,,,,,28x17.5cm folded; 28x35cm open,FOLDER,28X17.5;28X35,Unknown,,1914-0606,wotm,,,1914-06-09T00:00:00Z,1914,Spilker's Restaurant and Grill Room,,Dollars,$,complete,4,383
35176,Adams' Restaurant,Adam's Restaurant,,,,,,,,Unknown,Portol᠂anquet,1913-0404,wotm,,,1913-04-25T00:00:00Z,1913,Adam's Restaurant,,Dollars,$,complete,5,416
28580,,Amy's,,,,,22x9cm folded; 22x36cm open,FOLDER,22X9;22X36,Unknown,,1985-0016,wotm,,,1985-01-01T00:00:00Z,1985,Amy's,,Dollars,$,complete,3,60
28250,,S.S. Nieuw Amsterdam,,,,,29x21cm folded; 29x42cm open,FOLDER,29X21;29X42,Unknown,,1965-0062,wotm,,,1965-07-07T00:00:00Z,1965,S.S. Nieuw Amsterdam,,,,complete,4,34
25261,,Ismalia Temple,luncheon,POL,"CATARACT HOUSE,NIAGARA FALLS,NY",NIAGARA FALLS,BROADSIDE; ILLUS; COL; 4.5 X 6.5;,BROADSIDE,4.5X6.5,COMPLIMENTARY/TESTIMONIAL,,1899-476,,,,1899-06-16T00:00:00Z,1899,Ismalia Temple,,,,complete,2,20
27147,,Seaboard Railway,dinner,RAILROAD,,,7 1/2 x 5 in.,,7.5X5,Unknown,"Features : ""Low Priced Meal Service.""",Soete 130,,,,,,Seaboard Railway,,,,complete,1,6
27163,,Western Pacific,breakfast,RAILROAD,The Feather River Route,Unknown,9 x 6 1/2 in. fold. ; ill.,FOLDER,9X6.5,Unknown,General Passenger Agent : J. L Scott. Superintendent Dining Cars : W. P. Stiles.,Soete 176,,,,1938-04-13T00:00:00Z,1938,Western Pacific,,Dollars,$,complete,4,78
33877,Wiehl & Widman,Wiehl & Widman,,,,,43x23cm,,43X23,Unknown,fragile,1914-0578,wotm,,,1914-06-08T00:00:00Z,1914,Wiehl & Widman,,Dollars,$,complete,2,227
26299,,Astor House,dinner,COMMERCIAL,NEW YORK,NEW YORK,FOLDER; ILLUS; 7 X 10;,FOLDER,7X10,DINNER,PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU;,1900-061,,,,1900-01-06T00:00:00Z,1900,Astor House,,Dollars,$,complete,4,479
24382,,?,banquet,SOC,COPENHAGEN,COPENHAGEN,BROADSIDE; 3.75 X 5.75;,BROADSIDE,3.75X5.75,Unknown,MENU IN DANISH;,1898-028,,,,1898-01-14T00:00:00Z,1898,?,,,,complete,2,13
22110,,Springfield Caledonians,15nth burns anniversary,SOC,HOTEL WORTHY,Unknown,BOOKLET; ILLUS; 4.25 X 6.5;,BOOKLET,4.25X6.5,ANNIVERSARY,COMPLETE PROGRAM LISTED;COMMITTEE MEMBERS INCLUDED;,1898-057,,,,1898-01-25T00:00:00Z,1898,Springfield Caledonians,,,,complete,8,19
29494,,Casina Delle Rose & Lucciola,,,,,27x19.5cm folded; 27x39cm open,FOLDER,27X19.5;27X39,Unknown,,1955-0041,wotm,,,1955-01-01T00:00:00Z,1955,Casina Delle Rose & Lucciola,,Italian Lire,L,complete,6,188
30534,,Hotel St. Regis,,,,,13x9cm folded; 13x16.5cm open,FOLDER,13X9;13X16.5,Unknown,National Association of Book Publishers,1937-0008,wotm,,,1937-01-20T00:00:00Z,1937,Hotel St. Regis,,,,complete,2,8
34398,Copley Plaza,Copley Plaza,,,,,20.5x12.5cm folded; 20.5x25cm open,FOLDER,20.5X12.5;20.5X25,Unknown,Massachusetts Bankers Association,1913-0021,wotm,,,1913-01-08T00:00:00Z,1913,Copley Plaza,,,,complete,5,17
15818,,,,,,,,,,Unknown,,,,,,1900-08-16T00:00:00Z,1900,Nippon Yusen Kaisha,,,,complete,2,23
29745,,University Of Richmond,,,,,20.5x13.5cm folded; 20.5x27.5cm open,FOLDER,20.5X13.5;20.5X27.5,Unknown,In honor of fifty years of distinguished service of Frederic Williams Boatwright,1945-0005,wotm,,,1945-01-01T00:00:00Z,1945,University Of Richmond,,,,complete,11,12
