LoanAmount,City,State,Zip,NAICSCode,BusinessType,NonProfit,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,Lender 1,Lender 2,CD
57600.0,Honolulu,HI,96817,444130.0,Corporation,,Asian,Male Owned,Non-Veteran,5.0,04/29/2020,Hawaii National Bank.,Hawaii National Bank,,HI-01
18600.0,Honolulu,HI,96817,621112.0,Corporation,,Unanswered,Unanswered,Unanswered,3.0,04/28/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-01
123300.0,Kaneohe,HI,96744,238220.0,Corporation,,Unanswered,Unanswered,Unanswered,8.0,04/14/2020,Central Pacific Bank,Central Pacific Bank,,HI-02
68600.0,Kihei,HI,96753,238220.0,Subchapter S Corporation,,Unanswered,Unanswered,Unanswered,5.0,04/05/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-02
14995.0,Kailua Kona,HI,96740,713940.0,Self-Employed Individuals,,Unanswered,Unanswered,Unanswered,1.0,05/14/2020,"Kabbage, Inc.",Kabbage,Inc.,HI-02
109100.0,Kaunakakai,HI,96748,444190.0,Corporation,,White,Male Owned,Non-Veteran,12.0,04/13/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-02
140400.0,Waimanalo,HI,96795,236115.0,Subchapter S Corporation,,Unanswered,Unanswered,Unanswered,13.0,04/13/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-02
6700.0,Kailua Kona,HI,96740,424940.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,2.0,04/10/2020,Central Pacific Bank,Central Pacific Bank,,HI-02
67455.0,Waimea,HI,96743,531210.0,Corporation,,Unanswered,Unanswered,Unanswered,5.0,04/13/2020,Bank of Hawaii,Bank of Hawaii,,HI-02
20800.0,Honolulu,HI,96815,531210.0,Sole Proprietorship,,Unanswered,Male Owned,Non-Veteran,1.0,05/19/2020,Hawaii National Bank.,Hawaii National Bank,,HI-01
8800.0,Kalaheo,HI,96746,541430.0,Self-Employed Individuals,,Unanswered,Unanswered,Unanswered,0.0,05/06/2020,Central Pacific Bank,Central Pacific Bank,,HI-02
39200.0,Kailua Kona,HI,96734,541214.0,Limited Liability Company(LLC),,Asian,Male Owned,Non-Veteran,3.0,04/29/2020,Hawaii National Bank.,Hawaii National Bank,,HI-02
4100.0,Honolulu,HI,96814,621399.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,0.0,05/08/2020,Central Pacific Bank,Central Pacific Bank,,HI-01
109800.0,Honolulu,HI,96821,722515.0,Limited Liability Company(LLC),,Unanswered,Male Owned,Unanswered,14.0,04/03/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-01
51750.0,Kailua Kona,HI,96734,236220.0,Corporation,,Unanswered,Unanswered,Unanswered,,04/16/2020,Central Pacific Bank,Central Pacific Bank,,HI-02
20900.0,Kailua Kona,HI,96734,812112.0,Corporation,,Unanswered,Male Owned,Non-Veteran,0.0,05/13/2020,Central Pacific Bank,Central Pacific Bank,,HI-02
24700.0,Honolulu,HI,96814,621210.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,1.0,04/05/2020,Central Pacific Bank,Central Pacific Bank,,HI-01
11000.0,Honolulu,HI,96813,531210.0,Sole Proprietorship,,Unanswered,Unanswered,Unanswered,1.0,05/14/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-01
128440.0,Kahului,HI,96732,624410.0,Non-Profit Childcare Center,Y,Unanswered,Unanswered,Unanswered,17.0,04/05/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-02
16822.0,Aiea,HI,96701,448310.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,6.0,04/27/2020,Bank of Hawaii,Bank of Hawaii,,HI-01
22200.0,Honolulu,HI,96814,611519.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,4.0,04/08/2020,Central Pacific Bank,Central Pacific Bank,,HI-01
40000.0,Honolulu,HI,96813,611110.0,Corporation,,Unanswered,Unanswered,Unanswered,,04/15/2020,Central Pacific Bank,Central Pacific Bank,,HI-01
6312.5,Honolulu,HI,96825,484210.0,Sole Proprietorship,,Unanswered,Unanswered,Unanswered,1.0,05/03/2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,HI-01
35700.0,Honolulu,HI,96816,611610.0,Non-Profit Organization,Y,Unanswered,Unanswered,Unanswered,0.0,05/14/2020,Central Pacific Bank,Central Pacific Bank,,HI-01
20000.0,Honolulu,HI,96816,812990.0,Subchapter S Corporation,,Unanswered,Unanswered,Unanswered,,05/20/2020,Celtic Bank Corporation,Celtic Bank Corporation,,HI-01
34600.0,Honolulu,HI,96822,311813.0,Limited Liability Company(LLC),,Asian,Female Owned,Non-Veteran,18.0,04/07/2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,HI-01
127070.0,Kahului,HI,96732,424930.0,Corporation,,Unanswered,Unanswered,Unanswered,,04/12/2020,Central Pacific Bank,Central Pacific Bank,,HI-02
5000.0,Honolulu,HI,96814,423390.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,2.0,04/08/2020,Central Pacific Bank,Central Pacific Bank,,HI-01
5600.0,Hilo,HI,96720,448150.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,1.0,05/08/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-02
13585.0,Kailua Kona,HI,96740,711510.0,Sole Proprietorship,,Unanswered,Unanswered,Unanswered,1.0,2020-04-30,WebBank,WebBank,,HI-02
14400.0,Hilo,HI,96720,611610.0,Corporation,,Unanswered,Unanswered,Unanswered,12.0,04/09/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-02
52940.0,Honolulu,HI,96814,621111.0,Subchapter S Corporation,,Unanswered,Unanswered,Unanswered,7.0,04/16/2020,Bank of Hawaii,Bank of Hawaii,,HI-01
1400.0,Wailuku,HI,96793,711310.0,Sole Proprietorship,,White,Male Owned,Non-Veteran,1.0,05/08/2020,Hawaii National Bank.,Hawaii National Bank,,HI-02
4700.0,Honolulu,HI,96813,722310.0,Sole Proprietorship,,Unanswered,Male Owned,Non-Veteran,1.0,04/16/2020,"Readycap Lending, LLC",Readycap Lending,LLC,HI-01
8125.0,Wailuku,HI,96793,541990.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,1.0,05/13/2020,Bank of Hawaii,Bank of Hawaii,,HI-02
71400.0,Aiea,HI,96701,621111.0,Limited Liability Company(LLC),,Unanswered,Male Owned,Unanswered,5.0,04/05/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-01
28537.0,Hilo,HI,96720,441310.0,Limited Liability Company(LLC),,Unanswered,Male Owned,Non-Veteran,1.0,2020-04-30,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,HI-02
3700.0,Mililani,HI,96789,611710.0,Independent Contractors,,Unanswered,Unanswered,Unanswered,1.0,05/06/2020,"American Savings Bank, FSB",American Savings Bank,FSB,HI-01
11592.0,Haleiwa,HI,96712,561520.0,Limited Liability Company(LLC),,Unanswered,Unanswered,Unanswered,7.0,05/11/2020,Bank of Hawaii,Bank of Hawaii,,HI-02
