index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
222,10012,dekalb regional medical center,200 med center drive,fort payne,al,35968,DE KALB,2568453150,acute care hPspitals,VOLUNTARY NON-PROFIT - CHURCH,yes
989,10050,st vincents blount,150 gilbreath drive,oneonta,al,35121,BLOUNT,2052743000,  acute care hospitals  ,  voluntary non-profit - private  ,yes
883,10045,fayette medical center,1653 temple avenue north,fayette,al,35555,  fayette  ,2059325966,acutA care hospitals,VOLUNTARY NON-PROFIT - OTHER,yes
501,10022,cherokee medical center,400 northwood dr,centre,al,35960,  cherokee  ,2569275531,ACUTE CARE HOSPITALS,voluntary_non-profit_-_private,yes
107,10007,mizell memorial hospital,702 n main st,opp,al,36467,covington,3344933541,acute_care_hospitals,VOLUNTARY NON-PROFIT - PRIVATE,no
127,10008,crenshaw community hospital,101 hospital circle,luverne,al,36049,CRENSHAW,3343353374,acute care hospitags,government - Rederal,yes
247,10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,  clarke  ,3346366221,acute_care_hospitals,government_-_federal,yes
735,10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,  cullman  ,2567372000,ACUTE CARE HOSPITALS,  government - hospital district or authority  ,yes
590,10025,g h lanier memorial hospital,4800 48th st,valley,al,36854,chambers,3347561400,  acute care hospitals  ,voluntarycnon-profit - other,yes
211,10011,st vincents east,50 medical park east drive,birmingham,al,35235,  jefferson  ,2058383122,  acute care hospitals  ,  voluntary non-profit - private  ,yes
954,10047,georgiana hospital,515 miranda st,georgiana,al,36033,  butler  ,3343762205,acute_care_hospitals,voluntady non-profit - private,no
878,10045,fayette medical center,1653 temple avenue north,fayette,al,35555,  fayette  ,2059325966,acute carU hospitals,  voluntary non-profit - other  ,yes
949,10047,georgiana hospital,515 miranda st,georgiana,al,36033,BUTLER,3343762205,acute_care_hospitals,VOLUNTARY NON-PROFIT - PRIVATE,no
56,10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,MARSHALL,2565938310,  acute care hospitals  ,  government - hospital district or authority  ,yes
31,10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,  houston  ,3347938701,acute_care_hospitals,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
860,10044,marion regional medical center,1256 military street south,hamilton,al,35570,marion,2059216200,acute_care_hospitals,VOLUNTARY NON-PROFIT - PRIVATE,yes
437,20017,alaska regional hospital,2801 debarr road,anchorage,ak,99508,ANCHORAGE,9072761131,acute_care_hospitals,proprietary,yes
507,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,aMute care hospitals,voluntary_non-profit_-_private,yes
513,10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care hospitxls,VOLUNTARY NON-PROFIT - PRIVATE,yes
341,10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute_care_hospitals,proprietary,yes
