,id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
0,12579,,trustees of the missouri botanical garden,banquuet,PROF;,"SOUTHERN HOTEL,ST. LOUIS,MO.",BROADSIDE; ILLUS; 5.5 X 8.75;,  ANNUAL  , WINES LISTED FOR EACH COURSE; ,1900-2627,,,1900-03-31,Trustees Of The Missouri Botanical Garden,,N/A,,complete,2.0,22.0
1,25121,,HOLLAND HOUSE,LUNCHEON,COMMERCIAL.,,CARD;6X8.75;,  DAILY;  ," ENGLISH ON ONE SIDE,FRENCH ON ONE SIDE; ",1900-517,,,1900-01-25,Holland House,,Dollars,$,complete,2.0 pages,546.0
2,21960,,[battery park hotel],CHRISTMAS DINNER,COMMERCIAL.,"ASHVILLE, NC",BOOKLET; ILLUS; COL; 6 X 8;,RELIGIOUS HOLIDAY, PRINTED ON PARCHMENT-LIKE PAPER; RED LION; DRAWING OF HOTEL; TIED WITH TWINE AND SEALING WAX; MOST OF BOOKLET CONSISTS OF INFORMATION AND PRAISE ABOUT THE HOTEL; ,1898-432,,,1898-12-25,Battery Park Hotel,,,,complete,16.0,28.0
3,14523,,[USMS],BREAKFAST,GOVT;,SS ST PAUL,card;illus;col;4x6.25;,DAILY;,FLAG;,1901-1304,,,1901-05-15,Usms,,unknown,,complete,2.0,23.0
4,29808,,[southern pacific],,,,21.5x14cm folded; 21.5x28cm open,,,1946-0037_wotm,,,1946-01-01,Southern Pacific,,Dollars,$,complete,4.0,78.0
5,23754,,[HOLLAND SOCIETY],FOURTH ANNUSL DINNER,PATR;,HOTEL BRUNSWICK [NY?],FOLDER; ILLUS; 8.75X12;,  [SOC?]  ,DUTCH; TOASTS; WINDMILL AND MILKMAID; SAILINGSHIP AND SEAL; TWO COPIES;,1889-004,,,1889.01.08,Holland Society,,n/a,,complete,4.0 pages,55.0
6,33905,Spilker's Restaurant and Grill Room,Spilker's Restaurant and Grill Room,,,,28x17.5cm folded; 28x35cm open,,,1914-0606_wotm,,,1914.06.09,Spilker's Restaurant and Grill Room,,Dollars,$,complete,4.0,383.0
7,35176,Adams' Restaurant,[Adams' Restaurant],,,,,,Portol᠂anquet,1913-0404_wotm,,,1913.04.25,Adams' Restaurant,,Dollars,$,complete,5.0 pages,416.0
8,28580,,Amy's,,,,22x9cm folded; 22x36cm open,,,1985-0016_wotm,,,01-01-1985,Amy's,,Dolars,$,complete,3.0,60.0
9,28250,,[S.S. Nieuw Amsterdam],,,,29x21cm folded; 29x42cm open,,,1965-0062_wotm,,,07/07/1965,S.S. Nieuw Amsterdam,,n/a,,complete,4.0,34.0
10,25261,,[ismalia temple],LUNCHEON TENDERED IMPERIAL COUNCIL,POL;,"CATARACT HOUSE,NIAGARA FALLS,NY",BROADSIDE; ILLUS; COL; 4.5 X 6.5;,COMPLIMENTARY/TESTIMONIAL,,1899-476,,,1899-06-16,Ismalia Temple,,null,,complete,2.0,20.0
11,27147,,[Seaboard Railway],lunch and dinner,RAILROAD,,7 1/2 x 5 in.,," Features : ""Low Priced Meal Service."" ",Soete 130,,,,Seaboard Railway,,,,complete,1.0 pages,6.0
12,27163,,[Western Pacific],breakfast,RAILROAD,The Feather River Route,9 x 6 1/2 in. fold. ; ill.,,General Passenger Agent : J. L Scott. Superintendent Dining Cars : W. P. Stiles.,Soete 176,,,1938.04.13,Western Pacific,,Dollars,$,complete,4.0,78.0
13,33877,Wiehl & Widman,wiehl & widman,,,,43x23cm,,fragile,1914-0578_wotm,,,08-06-1914,Wiehl & Widman,,Dollars,$,complete,2.0,227.0
14,26299,,[ASTOR HOUSE],DINNER,COMMERCIAL.,NEW YORK,folder; illus; 7 x 10;,DINNER, PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU; ,1900-061,,,01/06/1900,Astor House,,Dollers,$,complete,4.0 pages,479.0
15,24382,,?,PRIVATE BANQUET,SOCIAL,COPENHAGEN,broadside; 3.75 x 5.75;,?,MENU IN DANISH;,1898-028,,,1898.01.14,?,,,,complete,2.0,13.0
16,22110,,SPRINGFIELD CALEDONIANS,15NTH BURNS ANNIVERSARY,SOCIAL,HOTEL WORTHY,booklet; illus; 4.25 x 6.5;,  ANNIVERSARYERSARY  ,COMPLETE PROGRAM LISTED;COMMITTEE MEMBERS INCLUDED;,1898-057,,,1898.01.25,Springfield Caledonians,,null,,complete,8.0,19.0
17,29494,,[Casina Delle Rose & Lucciola],,,,27x19.5cm folded; 27x39cm open,,,1955-0041_wotm,,,1955-01-01,Casina Delle Rose & Lucciola,,Italian Lire,L,complete,6.0,188.0
18,30534,,[Hotel St. Regis],,,,13x9cm folded; 13x16.5cm open,,National Association of Book Publishers,1937-0008_wotm,,,01/20/1937,Hotel St. Regis,,,,complete,2.0,8.0
19,34398,Copley Plaza,Copley Plaza,,,,20.5x12.5cm folded; 20.5x25cm open,,Massachusetts Bankers Association,1913-0021_wotm,,,1913.01.08,Copley Plaza,,null,,complete,5.0 pages,17.0
20,15818,,,,,,,,,,,,1900-08-16,Nippon Yusen Kaisha,,,,complete,2.0 pages,23.0
21,29745,,University Of Richmond,,,,20.5x13.5cm folded; 20.5x27.5cm open,, In honor of fifty years of distinguished service of Frederic Williams Boatwright ,1945-0005_wotm,,,01-01-1945,University Of Richmond,,null,,complete,11.0,12.0
22,32912,The New Mills Hotel,The New Mills Hotel,,,,16x12cm folded; 16x24cm open,,,1917-0652_wotm,,,1917-11-23,The New Mills Hotel,,Dollars,$,complete,4.0 pages,67.0
23,34038,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,22x11cm,,,1914-0741_wotm,,,1914.07.12,[Restaurant name and/or location not given],,Dollars,$,complete,1.0,47.0
24,33189,Louis Sherry,Louis Sherry,,,,26.5x15.5cm folded; 26.5x31cm open,,,1917-0939_wotm,,,12/15/1917,Louis Sherry,,Dollars,$,complete,5.0,201.0
25,14250,,SUMMIT HOUSE,DINNER,COMMERCIAL,"MOUNT WASHINGTON, NH",card; 4.5x7;,DAILY;,,1901-2194,,,1901.08.23,Summit House,,,,complete,2.0 pages,43.0
26,32522,The Mouquin Restaurant and Wine Co.,[The Mouquin Restaurant and Wine Co.],,,,35.5x19.5cm folded; 35.5x39cm open,,breakfast,1918-0119_wotm,,,1918.01.20,The Mouquin Restaurant and Wine Co.,,Doller,$,complete,3.0 pages,172.0
27,24151,,[DETROIT BOARD OF COMMERCE],SECOND ANNUAL DINNER,COMMERCIAL,"DETROIT, MI",BOOKLET; ILLUS; COL; 6.75X10.25;,ANNIVERSARY;,"MENU IN FRENCH; LISTS MANHATTAN COCKTAILS AND WINES SERVED WITH INDIVIDUAL COURSES; INCLUDES PHOTOGRAPH OF GUEST OF HONOR, HON. WILLIAM H. TAFT, SECRETARY OF WAR; PHOTOGRAPH OF MR. TAFT INCLUDED; MUSIC PROGRAMME; TOASTS; OFFICERS AND COMMITTEES LISTED; SE",1906-192,,,19-02-1906,Detroit Board Of Commerce,,,,complete,14.0,27.0
28,33790,Hotel Belvedere,Hotel Belvedere,,,,18x12.5 cm folded; 18x25cm open,,Traffic Club of Baltimore,1914-0247_wotm,,,1914.02.17,Hotel Belvedere,,N/A,,complete,4.0 pages,19.0
29,32971,[Restaurant name and/or location not given],[[Restaurant name and/or location not given]],,,,24x15cm,,,1917-0711_wotm,,,28-11-1917,[Restaurant name and/or location not given],,Dolars,$,complete,1.0,22.0
30,22365,,[THE PORTLAND],THANKSGIVING DINNER,COM,"PORTLAND, OREGON",BOOKLET; ILL; 5.25X6.75,SECULAR HOLIDAY,FASTENED AT LEFT BY RIBBON,1891-121,,,1891.11.01,The Portland,,,,complete,8.0 pages,55.0
31,27130,,Southern Pacific,breakfast,RAILROAD.,"The Beaver, Southern Pacific",8 1/2 x 5 1/2 in. fold. ; ill. col.,,"Photographic illustration : Mile-High Lake Tahoe. Manager : Harry A. Butler Includes ""Select"" and a la carte menu options. Insert : ""Economy Breakfast.""",Soete 101,,,1941-11-01,Southern Pacific,,Dollars,$,complete,4.0,92.0
