LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
20900.0,honululu,HI,96814,999990.0,INDEPENDENT CONTRACTORS,UNKNOWN,,UNANSWERED,1.0,04/28/2020,CENTRAL PACIFIC BANK,HI-01
3109.0,__Honlulu__,HI,96818,485310.0,SELF-EMPLOYED INDIVIDUALS,UNKNOWN,,UNANSWERED,1.0,05/08/2020,"KABBAGE, INC.",HI-01
8440.0,__HONOLULU__,HI,96816,485320.0,SELF-EMPLOYED INDIVIDUALS,UNANSWERED,UNANSWERED,UNANSWERED,0.0,05/13/2020,CENTRAL PACIFIC BANK,HI-01
39200.0,__kaillua__,HI,96734,541214.0,LIMITED  LIABILITY COMPANY(LLC),ASIAN,MALE OWNED,NON-VETERAN,3.0,04/29/2020,HAWAII NATIONAL BANK.,HI-02
17800.0,__EWA_BEACH__,HI,96706,531320.0,CORPORATION,UNKNOWN,UNANSWERED,UNANSWERED,0.0,05/13/2020,CENTRAL PACIFIC BANK,HI-01
7805.0,__kahulii__,HI,96732,311991.0,SOLE PROPRIETORSHIP,UNANSWERED,UNANSWERED,UNANSWERED,,07/29/2020,"FUNDBOX, INC.",HI-02
33300.0,--mililani--,HI,96789,562910.0,LIMITED  LIABILITY COMPANY(LLC),UNANSWERED,UNANSWERED,UNANSWERED,2.0,05/02/2020,FIRST HAWAIIAN BANK,HI-01
40000.0,--honolulu--,HI,96813,611110.0,CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,,04/15/2020,CENTRAL PACIFIC BANK,HI-01
86300.0,--PUUNENE--,HI,96784,238310.0,CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,0.0,04/29/2020,CENTRAL PACIFIC BANK,HI-02
52320.0,--honolulu--,HI,96815,561510.0,CORPORATION,UNKNOWN,,UNANSWERED,,04/13/2020,BANK OF HAWAII,HI-01
3621.0,__lahana__,HI,96761,812113.0,INDEPENDENT CONTRACTORS,UNANSWERED,UNANSWERED,UNANSWERED,1.0,08/05/2020,"KABBAGE, INC.",HI-02
40200.0,honnolulu,HI,96814,722515.0,LIMITED  LIABILITY COMPANY(LLC),UNKNOWN,,UNANSWERED,3.0,04/16/2020,CENTRAL PACIFIC BANK,HI-01
38900.0,kailu,HI,96740,487210.0,CORPORATION,UNANSWERED,UNANSWERED,UNANSWERED,4.0,04/27/2020,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-02
33500.0,__Hillo__,HI,96720,451140.0,SOLE PROPRIETORSHIP,UNANSWERED,UNANSWERED,UNANSWERED,3.0,04/13/2020,FIRST HAWAIIAN BANK,HI-02
8400.0,__wailuk__,HI,96793,812112.0,SOLE PROPRIETORSHIP,UNANSWERED,UNANSWERED,UNANSWERED,1.0,04/29/2020,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-02
47400.0,__honlulu__,HI,96813,493190.0,LIMITED  LIABILITY COMPANY(LLC),ASIAN,MALE OWNED;,UNANSWERED,4.0,04/14/2020,"AMERICAN SAVINGS BANK, FSB",HI-01
6400.0,honlulu,HI,96822,236220.0,LIMITED  LIABILITY COMPANY(LLC),UNKNOWN,,UNANSWERED,,04/15/2020,CENTRAL PACIFIC BANK,HI-01
5000.0,LIHUE,HI,96766,812112.0,SOLE PROPRIETORSHIP,UNANSWERED,UNANSWERED,UNANSWERED,1.0,05/01/2020,GATHER FCU,HI-02
4700.0,__Honololu__,HI,96813,722310.0,SOLE PROPRIETORSHIP,UNANSWERED,MALE OWNED,NON-VETERAN,1.0,04/16/2020,"READYCAP LENDING, LLC",HI-01
7700.0,honululu,HI,96816,485310.0,INDEPENDENT CONTRACTORS,UNKNOWN,,UNANSWERED,1.0,04/29/2020,"AMERICAN SAVINGS BANK, FSB(FIRST STATE BANK)",HI-01
