LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
3700,MILILANI,HI,96789,611710.0,Independent Contractors,Unanswered,Unanswered,Unanswered,1.0,05/06/2020,"American Savings Bank, FSB(First State Bank)",HI-01
9400,HONOLULUnolulu,HI,96813,621399.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,04/16/2020,Central Pacific Bank,HI-01
26700,KAPOLEI,HI,96707,524210.0,Corporation,Unanswered,Unanswered,Unanswered,1.0,04/07/2020,"American Savings Bank, FSB(First State Bank)",HI-02
2000,KURTISTOWN,HI,96760,541511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,04/28/2020,Central Pacific Bank,HI-02
20800,HONOLULU,HI,96814,531210.0,Independent Contractors,Unknown,,Unanswered,1.0,05/04/2020,"American Savings Bank, FSB(First State Bank)",HI-01
49297,Makawao,HI,96768,236115.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,06/16/2020,Celtic Bank Corporation,HI-02
3310,Kailua Kona,HI,96740,721199.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,1.0,05/21/2020,FIRST HAWAIIAN BANK,HI-02
9027,HONOLULU,HI,96816,541921.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,2020-05-18,Bank of Hawaii,HI-01
81500,PAAUILO,HI,96776,445291.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,16.0,04/07/2020,"American Savings Bank, FSB(First State Bank)",HI-02
69890,Kapaa,HI,96746,236118.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,5.0,04/14/2020,FIRST HAWAIIAN BANK,HI-02
4700,HONOLULU,HI,96826,423420.0,Sole Proprietorship,Unknown,,Unanswered,1.0,04/10/2020,Central Pacific Bank,HI-01
2945,Honolulu,HI,96822,711320.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,1.0,05/12/2020,FIRST HAWAIIAN BANK,HI-01
3109,HONOLULU,HI,96818,485310.0,Self-Employed Individuals,Unknown,,Unanswered,1.0,05/08/2020,"Kabbage, Inc.",HI-01
27500,LAHAINA,HI,96761,453220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,10.0,04/04/2020,Central Pacific Bank,HI-02
44700,HONOLULU,HI,96826,448310.0,Limited  Liability Company(LLC),Unknown,,Unanswered,3.0,04/15/2020,FIRST HAWAIIAN BANK,HI-01
5800,Haleiwa,HI,96712,531210.0,Sole Proprietorship,Unanswered,Male Owned,Unanswered,0.0,05/01/2020,Central Pacific Bank,HI-02
2450,HONOLULU,HI,96813,722513.0,Sole Proprietorship,Unknown,,Unanswered,,06/16/2020,Bank of Hawaii,HI-01
2677.5,Kihei,HI,96753,621399.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,1.0,06/16/2020,Celtic Bank Corporation,HI-02
45200,HONOLULU,HI,96814,339114.0,Limited  Liability Company(LLC),Unknown,,Unanswered,2.0,04/08/2020,Central Pacific Bank,HI-01
15300,Honolulu,HI,96822,531210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,1.0,05/16/2020,FIRST HAWAIIAN BANK,HI-01
