id,name,beef_type,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
325594,"PEIXE ESPADA GRELHADO, MAITRE D'HOTEL",False,,1,1,1939,1939,0.0,0.0
333801,FRESH FRUIT COCKTAIL EIRE STYLE,False,,1,1,1941,1941,0.0,0.0
136097,VELOUTE D'ASPERGES,False,,1,1,0,0,,
13571,"FILLET OF BEOUF, AUX CHAMPIGNONS",False,,2,2,1900,1900,0.0,0.0
168751,"HEARTS OF LETTUCE, FRENCH DRESSING",False,,20,21,1913,1964,0.3,0.6
497706,GREEN TURTLE EN TASSE,False,,1,1,1913,1913,,
509907,"1934 BRAUNEBERGER MOSEL, MAAS, NATHAN & CO",False,,1,1,1938,1938,0.0,0.0
453654,"ROQUEFORT, DOMESTIC",False,,2,1,0,0,0.0,0.0
434561,"SCOTCH, KING WILLIAM IV",False,,2,2,1914,1914,0.2,0.2
245089,SAUVIGNON BLANC *BARON BRIARE * 1984 * FRANCE,False,,1,1,1986,1986,2.75,10.95
273957,ARTICHAUTS A LA RUSSE,False,,1,1,1961,1961,0.0,0.0
100866,"VEAL CUTLET BROILED, FRIED OR BREADED",False,,1,1,1900,1900,0.0,0.0
349921,CANADA MUTTON CHOP,False,,33,33,1933,1933,0.65,1.7
236129,BEAN CURD WITH CHINESE MUSHROOMS,False,,1,1,1977,1977,3.75,3.75
309378,FILET OF CABRILLA BROILED LEMON ANCHOVY SAUCE,False,,1,1,1946,1946,3.0,3.0
30479,STEAK SIRLOIN WITH MUSHROOMS,False,,1,1,1901,1901,0.0,0.0
498687,SMOKED KENNEBECK SALMON,False,,1,1,1913,1913,0.4,0.4
323866,"ERNEST IRROY, EX QUALITY, CARTE D'OR 1928",False,,1,1,1939,1939,0.0,0.0
271938,ZITI WITH CALABRESE SAUCE,False,,1,1,1961,1961,0.0,0.0
405881,BROILED LIVE CODE,False,,1,1,1917,1917,0.65,0.65
26273,HOMINY FRITTERS CURRANT SAUCE,False,,1,1,1900,1900,0.0,0.0
243064,CAPPUCCINO DECAFFEINATO,False,,1,1,0,0,2.75,2.75
242872,"SAUMON DE GACHPE A LA FLECHE COMME JADIS, SAUCE CHORON",False,,1,1,1958,1958,0.0,0.0
345109,CELERY PHOSPHATE,False,,1,1,1938,1938,0.0,0.0
208138,CHILLED ALBERTA PEACHES WITH CREAM,False,,5,5,1969,1969,0.0,0.0
22632,"OYSTER STEW, PLAIN",False,,8,8,1900,1945,0.2,20.0
382332,CHICORY SALAD,False,,161,165,1899,1937,0.15,0.6
61532,"BEEF STEAK, FRIED ONIONS",True,,1,1,1901,1901,0.0,0.0
301764,CHICKEN AND HAM PIE 5/6,False,,1,1,1955,1955,0.0,0.0
105143,"SPANISH MACKEREL, BROILED, MAITRE D'HOTEL",False,,1,1,1901,1901,0.0,0.0
286273,OYSTER MORNAY (6),False,,2,2,1963,1963,0.0,0.0
243827,"BROILED SWORDFISH STEAK FLORIDA, FRENCH FRIED POTATOES",False,,1,1,1985,1985,2.75,2.75
312235,VINTNER'S SAUTERNE,False,,3,3,1943,1946,0.3,0.3
4224,TABLE CELERY,False,,237,251,1892,1969,0.05,35.0
236950,ASSORTED FRENCH CHEESE,False,,3,3,1958,1958,,
436847,POLAND WATER STILL,False,,1,1,1914,1914,0.4,0.4
288462,NEW YORK BONELESS SIRLOIN,False,,1,1,1963,1963,4.25,4.25
128307,"PAN ROAST, LITTLE NECKS",False,,1,1,1900,1900,0.5,0.5
51079,FRIED MAIDEN SOLE,False,,6,6,1900,1900,0.0,0.0
204376,ROASTED RIB EYE STEAK ON THE BONE (2 PERS) SHALLOT SAUCE,False,,1,1,0,0,58.0,58.0
317622,MCCALLUM'S PERFECT SCOTCH WHISKEY,False,,1,1,1949,1949,0.75,0.75
