LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,Lender,CD
57600,HONOLULU,HI,96817,444130.0,Corporation,Asian,Male Owned,Non-Veteran,5.0,04/29/2020,Hawaii National Bank.,HI-01
18600,HONOLULU,HI,96817,621112.0,Corporation,Unknown,,Unanswered,3.0,04/28/2020,"American Savings Bank, FSB(First State Bank)",HI-01
123300,KANEOHE,HI,96744,238220.0,Corporation,Unanswered,Unanswered,Unanswered,8.0,04/14/2020,Central Pacific Bank,HI-02
68600,KIHEI,HI,96753,238220.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,5.0,04/05/2020,"ASB, FSB",HI-02
14995,KAILUA KONA,HI,96740,713940.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,1.0,05/14/2020,"Kabbage, Inc.",HI-02
109100,KAUNAKAKAI,HI,96748,444190.0,Corporation,White,Male Owned,Non-Veteran,12.0,04/13/2020,"American Savings Bank, FSB",HI-02
140400,WAIMANALO,HI,96795,236115.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,13.0,04/13/2020,"American Savings Bank, FSB(First State Bank)",HI-02
6700,KAILUA KONA,HI,96740,424940.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,2.0,04/10/2020,Central Pacific Bank,HI-02
67455,WAIMEA,HI,96743,531210.0,Corporation,Unanswered,Unanswered,Unanswered,5.0,04/13/2020,Bank of Hawaii,HI-02
20800,HONOLULU,HI,96815,531210.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,1.0,05/19/2020,Hawaii National Bank.,HI-01
8800,KALAHEO,HI,96741,541430.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,0.0,05/06/2020,Central Pacific Bank,HI-02
39200,KAILUA KONA,HI,96734,541214.0,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,3.0,04/29/2020,Hawaii National Bank.,HI-02
4100,HONOLULU,HI,96814,621399.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,0.0,05/08/2020,Central Pacific Bank,HI-01
109800,HONOLULU,HI,96821,722515.0,Limited  Liability Company(LLC),Unanswered,Male Owned;,Unanswered,14.0,04/03/2020,"American Savings Bank, FSB",HI-01
51750,KAILUA KONA,HI,96734,236220.0,Corporation,Unanswered,Unanswered,Unanswered,,04/16/2020,Central Pacific Bank,HI-02
20900,KAILUA KONA,HI,96734,812112.0,Corporation,Unanswered,Male Owned,Non-Veteran,0.0,05/13/2020,Central Pacific Bank,HI-02
24700,HONOLULU,HI,96814,621210.0,Limited  Liability Company(LLC),Unknown,,Unanswered,1.0,04/05/2020,Central Pacific Bank,HI-01
11000,HONOLULU,HI,96813,531210.0,Sole Proprietorship,Unknown,,Unanswered,1.0,05/14/2020,"American Savings Bank, FSB(First State Bank)",HI-01
128440,KAHULUI,HI,96732,624410.0,Non-Profit Childcare Center,Unanswered,Unanswered,Unanswered,17.0,04/05/2020,"ASB, FSB",HI-02
16822,AIEA,HI,96701,448310.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,6.0,04/27/2020,Bank of Hawaii,HI-01
22200,HONOLULU,HI,96814,611519.0,Limited  Liability Company(LLC),Unknown,,Unanswered,4.0,04/08/2020,Central Pacific Bank,HI-01
40000,HONOLULU,HI,96813,611110.0,Corporation,Unanswered,Unanswered,Unanswered,,04/15/2020,Central Pacific Bank,HI-01
6312.5,HONOLULU,HI,96825,484210.0,Sole Proprietorship,Unknown,,Unanswered,1.0,05/03/2020,FIRST HAWAIIAN BANK,HI-01
35700,HONOLULU,HI,96816,611610.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,0.0,05/14/2020,Central Pacific Bank,HI-01
20000,HONOLULU,HI,96816,812990.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,05/20/2020,Celtic Bank Corporation,HI-01
34600,HONOLULU,HI,96822,311813.0,Limited  Liability Company(LLC),Asian,Female,Non-Veteran,18.0,04/07/2020,FIRST HAWAIIAN BANK,HI-01
127070,KAHULUI,HI,96732,424930.0,Corporation,Unanswered,Unanswered,Unanswered,,04/12/2020,Central Pacific Bank,HI-02
5000,HONOLULU,HI,96814,423390.0,Limited  Liability Company(LLC),Unknown,,Unanswered,2.0,04/08/2020,Central Pacific Bank,HI-01
5600,HILO,HI,96720,448150.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,1.0,05/08/2020,"American Savings Bank, FSB(First State Bank)",HI-02
13585,KAILUA KONA,HI,96740,711510.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,1.0,2020-04-30,WebBank,HI-02
14400,HILO,HI,96720,611610.0,Corporation,Unanswered,Unanswered,Unanswered,12.0,04/09/2020,"American Savings Bank, FSB(First State Bank)",HI-02
52940,HONOLULU,HI,96814,621111.0,Subchapter S Corporation,Unknown,,Unanswered,7.0,04/16/2020,Bank of Hawaii,HI-01
1400,WAILUKU,HI,96793,711310.0,Sole Proprietorship,White,Male Owned,Non-Veteran,1.0,05/08/2020,Hawaii National Bank.,HI-02
