pp_id,accuracy,precision,recall,f1
1,0,0.0,0.0,0.0
2,0,0.0,0.0,0.0
3,0,0.0,0.0,0.0
4,0,0.0,0.0,0.0
5,0,0.0,0.0,0.0
6,0,0.0,0.0,0.0
7,0,0.0,0.0,0.0
8,0,0.0,0.0,0.0
9,0,0.0,0.0,0.0
10,0,0.0,0.0,0.0
11,0,0.0,0.0,0.0
12,0,0.0,0.0,0.0
13,0,0.0,0.0,0.0
14,0,0.0,0.0,0.0
15,0,0.0,0.0,0.0
16,0,0.0,0.0,0.0
17,0,0.0,0.0,0.0
18,0,0.0,0.0,0.0
19,0,0.0,0.0,0.0
20,0,0.0,0.0,0.0
21,0,0.0,0.0,0.0
22,0,0.0,0.0,0.0
23,0,0.0,0.0,0.0
24,0,0.0,0.0,0.0
25,0,0.0,0.0,0.0
26,0,0.0,0.0,0.0
27,0,0.0,0.0,0.0
28,0,0.0,0.0,0.0
29,0,0.0,0.0,0.0
30,0,0.0,0.0,0.0
31,0,0.0,0.0,0.0
32,0,0.0,0.0,0.0
33,0,0.5,0.3333333333333333,0.4
34,0,0.0,0.0,0.0
35,0,0.0,0.0,0.0
36,0,0.0,0.0,0.0
37,0,0.0,0.0,0.0
38,0,0.0,0.0,0.0
39,0,0.0,0.0,0.0
40,0,1.0,0.3333333333333333,0.5
41,0,1.0,0.3333333333333333,0.5
42,0,0.0,0.0,0.0
43,0,1.0,0.25,0.4
44,0,0.0,0.0,0.0
45,0,1.0,0.2,0.33333333333333337
46,0,0.0,0.0,0.0
47,0,0.0,0.0,0.0
48,0,0.0,0.0,0.0
49,0,0.0,0.0,0.0
50,0,0.0,0.0,0.0
51,0,0.0,0.0,0.0
52,0,0.0,0.0,0.0
53,0,0.0,0.0,0.0
54,0,1.0,0.3333333333333333,0.5
55,0,1.0,0.25,0.4
56,0,0.0,0.0,0.0
57,0,1.0,0.2,0.33333333333333337
58,0,1.0,0.25,0.4
59,0,1.0,0.25,0.4
60,0,1.0,0.16666666666666666,0.2857142857142857
62,0,0.0,0.0,0.0
63,0,0.0,0.0,0.0
64,0,0.0,0.0,0.0
65,0,0.0,0.0,0.0
66,1,1.0,1.0,1.0
67,0,1.0,0.25,0.4
68,0,1.0,0.2,0.33333333333333337
69,0,1.0,0.2,0.33333333333333337
70,0,1.0,0.2,0.33333333333333337
71,0,0.5,0.2,0.28571428571428575
72,0,1.0,0.3333333333333333,0.5
73,0,1.0,0.6666666666666666,0.8
74,0,1.0,0.4,0.5714285714285715
75,0,1.0,0.25,0.4
76,0,1.0,0.2,0.33333333333333337
77,0,1.0,0.4,0.5714285714285715
78,0,1.0,0.6666666666666666,0.8
79,0,1.0,0.6666666666666666,0.8
80,0,1.0,0.25,0.4
81,0,1.0,0.5,0.6666666666666666
87,0,1.0,0.25,0.4
89,0,1.0,0.4,0.5714285714285715
92,1,1.0,1.0,1.0
93,0,1.0,0.25,0.4
94,0,1.0,0.25,0.4
98,0,1.0,0.25,0.4
99,0,1.0,0.3333333333333333,0.5
100,0,1.0,0.25,0.4
101,0,1.0,0.5,0.6666666666666666
102,0,1.0,0.5,0.6666666666666666
103,0,1.0,0.25,0.4
104,0,1.0,0.5,0.6666666666666666
105,0,1.0,0.5,0.6666666666666666
106,0,1.0,0.25,0.4
107,0,1.0,0.25,0.4
108,0,1.0,0.25,0.4
109,0,1.0,0.5,0.6666666666666666
110,0,1.0,0.25,0.4
111,0,1.0,0.25,0.4
112,0,0.0,0.0,0.0
113,0,1.0,0.2,0.33333333333333337
114,0,0.0,0.0,0.0
115,0,0.0,0.0,0.0
116,0,1.0,0.3333333333333333,0.5
117,0,1.0,0.2,0.33333333333333337
118,0,1.0,0.25,0.4
119,0,1.0,0.3333333333333333,0.5
120,0,1.0,0.2,0.33333333333333337
121,0,1.0,0.25,0.4
122,0,1.0,0.25,0.4
123,0,1.0,0.25,0.4
124,0,1.0,0.25,0.4
125,0,1.0,0.4,0.5714285714285715
126,0,1.0,0.25,0.4
127,0,0.5,0.3333333333333333,0.4
128,0,0.0,0.0,0.0
129,0,0.0,0.0,0.0
130,0,0.0,0.0,0.0
131,0,0.0,0.0,0.0
132,0,0.0,0.0,0.0
133,0,0.0,0.0,0.0
134,0,0.0,0.0,0.0
135,0,0.0,0.0,0.0
136,0,0.0,0.0,0.0
137,0,0.0,0.0,0.0
138,0,0.0,0.0,0.0
139,0,0.0,0.0,0.0
140,0,0.0,0.0,0.0
141,0,0.6666666666666666,0.4,0.5
142,0,0.0,0.0,0.0
143,0,0.5,0.25,0.3333333333333333
144,0,0.0,0.0,0.0
145,0,0.0,0.0,0.0
146,0,0.0,0.0,0.0
147,0,0.0,0.0,0.0
148,0,0.0,0.0,0.0
149,0,0.0,0.0,0.0
150,0,0.0,0.0,0.0
151,0,0.0,0.0,0.0
152,0,0.0,0.0,0.0
153,0,0.0,0.0,0.0
154,0,0.0,0.0,0.0
