,pp_id,gt_ops_length,pred_ops_length,gt_ops_set_length,pred_ops_set_length
total__llama3.1,76.7394366197183,7.492957746478873,0.7605633802816901,3.563380281690141,0.5633802816901409
hos__llama3.1,,10.178571428571429,0.5714285714285714,3.9642857142857144,0.4642857142857143
flights__llama3.1,,8.647058823529411,1.2941176470588236,3.8823529411764706,0.5882352941176471
ppp__llama3.1,,6.090909090909091,1.0454545454545454,3.5,0.9545454545454546
dish__llama3.1,,5.470588235294118,1.7647058823529411,3.764705882352941,1.0588235294117647
menu__llama3.1,,6.903225806451613,0.25806451612903225,2.870967741935484,0.22580645161290322
chi__llama3.1,,6.709677419354839,0.45161290322580644,3.4838709677419355,0.45161290322580644
total__mistral,76.7394366197183,7.492957746478873,0.2112676056338028,3.563380281690141,0.176056338028169
hos__mistral,,10.178571428571429,0.0,3.9642857142857144,0.0
flights__mistral,,8.647058823529411,0.7647058823529411,3.8823529411764706,0.47058823529411764
ppp__mistral,,6.090909090909091,0.45454545454545453,3.5,0.45454545454545453
dish__mistral,,5.470588235294118,0.11764705882352941,3.764705882352941,0.058823529411764705
menu__mistral,,6.903225806451613,0.03225806451612903,2.870967741935484,0.03225806451612903
chi__mistral,,6.709677419354839,0.1935483870967742,3.4838709677419355,0.1935483870967742
total__gemma2,76.7394366197183,7.492957746478873,0.8802816901408451,3.563380281690141,0.6549295774647887
hos__gemma2,,10.178571428571429,0.75,3.9642857142857144,0.5714285714285714
flights__gemma2,,8.647058823529411,1.7058823529411764,3.8823529411764706,0.9411764705882353
ppp__gemma2,,6.090909090909091,1.3181818181818181,3.5,1.1818181818181819
dish__gemma2,,5.470588235294118,2.0,3.764705882352941,1.2941176470588236
menu__gemma2,,6.903225806451613,0.0,2.870967741935484,0.0
chi__gemma2,,6.709677419354839,0.5161290322580645,3.4838709677419355,0.5161290322580645
total__gemma2base,76.7394366197183,7.492957746478873,0.6338028169014085,3.563380281690141,0.4225352112676056
hos__gemma2base,,10.178571428571429,0.6785714285714286,3.9642857142857144,0.39285714285714285
flights__gemma2base,,8.647058823529411,1.5294117647058822,3.8823529411764706,0.8235294117647058
ppp__gemma2base,,6.090909090909091,0.7272727272727273,3.5,0.5454545454545454
dish__gemma2base,,5.470588235294118,1.3529411764705883,3.764705882352941,1.0
menu__gemma2base,,6.903225806451613,0.0,2.870967741935484,0.0
chi__gemma2base,,6.709677419354839,0.25806451612903225,3.4838709677419355,0.22580645161290322
