,pp_id,ratio
0,1,0.3
1,2,1.0
2,3,0.26
3,4,0.21
4,5,0.32
5,6,0.32
6,7,0.22
7,8,0.95
8,9,1.0
9,12,0.935
10,13,0.635
11,14,0.935
12,15,0.6
13,16,0.585
14,17,0.63
15,18,0.56
16,31,1.0
17,32,1.0
18,33,0.8
19,34,0.8
20,36,0.25
21,37,0.7727272727272727
22,38,0.35
23,39,0.9
24,40,0.95
25,41,0.45
26,42,0.45
27,49,0.3333333333333333
28,52,0.5333333333333333
29,62,1.0
30,63,1.0
31,64,1.0
32,65,0.95
33,66,1.0
34,67,0.55
35,68,0.775
36,69,0.775
37,70,0.725
38,71,0.725
39,72,1.0
40,73,1.0
41,74,0.5
42,75,0.775
43,76,0.975
44,77,0.975
45,78,1.0
46,79,1.0
47,80,0.7
48,81,0.7
49,87,0.9666666666666667
50,89,0.9875
51,92,1.0
52,93,0.8266666666666667
53,94,0.98
54,98,0.73
55,99,0.5900000000000001
56,100,0.5
57,101,0.85
58,102,0.61
59,103,0.67
60,104,0.7999999999999999
61,105,0.7866666666666666
62,106,0.7733333333333333
63,107,0.6733333333333333
64,108,0.7133333333333333
65,109,0.7399999999999999
66,110,0.775
