pp_id,accuracy,precision,recall,f1
1,0,1.0,0.5,0.6666666666666666
2,1,1.0,1.0,1.0
3,0,1.0,0.25,0.4
4,0,1.0,0.3333333333333333,0.5
5,0,1.0,0.3333333333333333,0.5
6,0,0.0,0.0,0.0
7,0,0.0,0.0,0.0
8,0,0.0,0.0,0.0
9,1,1.0,1.0,1.0
10,0,1.0,0.5,0.6666666666666666
11,0,1.0,0.5,0.6666666666666666
12,0,1.0,0.75,0.8571428571428571
13,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
14,0,0.5,0.3333333333333333,0.4
15,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
16,0,1.0,0.6666666666666666,0.8
17,0,1.0,0.6666666666666666,0.8
18,0,1.0,0.5,0.6666666666666666
19,0,1.0,0.6,0.7499999999999999
20,0,1.0,0.25,0.4
21,0,1.0,0.3333333333333333,0.5
22,0,1.0,0.5,0.6666666666666666
23,0,1.0,0.4,0.5714285714285715
24,0,1.0,0.3333333333333333,0.5
25,0,1.0,0.25,0.4
26,0,1.0,0.5,0.6666666666666666
27,0,1.0,0.6666666666666666,0.8
28,0,1.0,0.4,0.5714285714285715
29,0,1.0,0.5,0.6666666666666666
30,0,0.6666666666666666,1.0,0.8
31,0,0.0,0.0,0.0
32,0,0.0,0.0,0.0
33,0,1.0,0.3333333333333333,0.5
34,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
35,0,1.0,0.3333333333333333,0.5
36,0,0.5,0.6666666666666666,0.5714285714285715
37,0,1.0,0.6666666666666666,0.8
38,0,0.0,0.0,0.0
39,0,1.0,0.75,0.8571428571428571
40,0,1.0,0.6666666666666666,0.8
41,0,1.0,0.6666666666666666,0.8
42,0,1.0,0.25,0.4
43,0,1.0,0.75,0.8571428571428571
44,0,0.6,1.0,0.7499999999999999
45,0,1.0,0.8,0.888888888888889
46,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
47,0,1.0,0.5,0.6666666666666666
48,0,1.0,0.4,0.5714285714285715
49,1,1.0,1.0,1.0
50,0,1.0,0.6666666666666666,0.8
51,0,0.6,0.75,0.6666666666666665
52,0,1.0,0.5,0.6666666666666666
53,0,0.6,0.75,0.6666666666666665
54,0,1.0,0.3333333333333333,0.5
55,0,1.0,0.25,0.4
56,0,1.0,0.6,0.7499999999999999
57,0,0.75,0.6,0.6666666666666665
58,0,1.0,0.5,0.6666666666666666
59,0,0.6666666666666666,0.5,0.5714285714285715
60,0,1.0,0.3333333333333333,0.5
62,1,1.0,1.0,1.0
63,1,1.0,1.0,1.0
64,1,1.0,1.0,1.0
65,1,1.0,1.0,1.0
66,1,1.0,1.0,1.0
67,0,0.6666666666666666,0.5,0.5714285714285715
68,0,1.0,0.8,0.888888888888889
69,1,1.0,1.0,1.0
70,0,1.0,0.6,0.7499999999999999
71,0,1.0,0.6,0.7499999999999999
