,pp_id,purpose,answer_gt,answer_preds,purposes,flag,difference
0,1,What is the highest (or maximum) page count recorded in the menu table?,22.0,22.0,What is the highest (or maximum) page count recorded in the menu table?,1,0.0
1,2,What is the average page numbers for the menus?,3.0,3.0,What is the average page numbers for the menus?,1,0.0
2,3,Determine the number of distinct event types in the dataset.,9.0,28.0,Determine the number of distinct event types in the dataset.,1,2.111111111111111
3,4,"List number of rows where the menu event is specifically marked as ""DINNER"".",20.0,10.0,"List number of rows where the menu event is specifically marked as ""DINNER"".",1,0.5
4,5,"List number of rows where the menu event is marked as ""LUNCHEON""",3.0,2.0,"List number of rows where the menu event is marked as ""LUNCHEON""",1,0.3333333333333333
5,6,Identify the number of unique venues present in the dataset.,10.0,13.0,Identify the number of unique venues present in the dataset.,1,0.3
6,7,Find number of menus that are for Daily used occasion.,6.0,0.0,Find number of menus that are for Daily used occasion.,1,1.0
7,8,"Determine the number of unique occasions in the dataset, replacing any missing values with UNKNOWN",11.0,14.0,"Determine the number of unique occasions in the dataset, replacing any missing values with UNKNOWN",1,0.2727272727272727
8,9,Evaluate whether the menu page design needs redesign by identifying the highest dish count-to-page count ratio.,273.0,273.0,Evaluate whether the menu page design needs redesign by identifying the highest dish count-to-page count ratio.,1,0.0
9,12,"Identify how many locations offer menus with more than 8 pages, replacing any missing or unexist locations with ""UNKNOWN"".",6.0,6.0,"Identify how many locations offer menus with more than 8 pages, replacing any missing or unexist locations with ""UNKNOWN"".",1,0.0
16,31,Count how many types of risks are recorded in the dataset.,4.0,5.0,Count how many types of risks are recorded in the dataset.,1,0.25
17,32,What percentages of businesses are inspected as 'out of business'?,50.0,20.0,What percentages of businesses are inspected as 'out of business'?,1,0.6
26,42,Determine how many grocery stores -a facility type are classified as high risk (Risk 1).,3.0,3.0,Determine how many grocery stores -a facility type are classified as high risk (Risk 1).,1,0.0
27,49,"Determine the number of school restaurants that are the safest in terms of standards and quality, as indicated by the lowest risk level and inspection results.",0.0,0.0,"Determine the number of school restaurants that are the safest in terms of standards and quality, as indicated by the lowest risk level and inspection results.",1,
29,62,Calculate the average loan amount across all PPP loans.,37030.4,37030.4,Calculate the average loan amount across all PPP loans.,1,0.0
30,63,What's the highest LoanAmount?,140400.0,140400.0,What's the highest LoanAmount?,1,0.0
31,64,What's the lowest LoanAmount?,2000.0,2000.0,What's the lowest LoanAmount?,1,0.0
33,66,Examine if a correlation exists between jobs reported and the loan amount received.,0.8622894021454822,0.8622894021454822,Examine if a correlation exists between jobs reported and the loan amount received.,1,0.0
34,67,Determine how many PPP loans were disbursed in the city of Honolulu.,10.0,10.0,Determine how many PPP loans were disbursed in the city of Honolulu.,1,0.0
45,78,Determine the zip codes that received the highest amount of PPP loans and the corresponding dollar amounts.,96707.0,96707.0,Determine the zip codes that received the highest amount of PPP loans and the corresponding dollar amounts.,1,0.0
46,79,Determine the zip codes that received the lowest amount of PPP loans and the corresponding dollar amounts.,96813.0,96813.0,Determine the zip codes that received the lowest amount of PPP loans and the corresponding dollar amounts.,1,0.0
51,92,Calculate the average number of times each dish has appeared on the menu.,6.62,6.62,Calculate the average number of times each dish has appeared on the menu.,1,0.0
