,difference,pp_id,data,model
mean,0.27164502164502163,35.54545454545455,Total,dirty
mean,0.2833333333333333,38.5,Menu,dirty
mean,0.0,92.0,Dish,dirty
mean,0.2833333333333333,38.5,CFI,dirty
mean,0.014285714285714287,68.42857142857143,PPP,dirty
mean,0.2555796055796056,35.54545454545455,Total,mistral
mean,0.2833333333333333,38.5,Menu,mistral
mean,0.0,92.0,Dish,mistral
mean,0.2833333333333333,38.5,CFI,mistral
mean,0.0,68.42857142857143,PPP,mistral
mean,0.2664021164021164,35.54545454545455,Total,gemma2
mean,0.3333333333333333,38.5,Menu,gemma2
mean,0.0,92.0,Dish,gemma2
mean,0.3333333333333333,38.5,CFI,gemma2
mean,0.08571428571428572,68.42857142857143,PPP,gemma2
mean,0.11041366041366041,35.54545454545455,Total,llama3.1
mean,0.13333333333333333,38.5,Menu,llama3.1
mean,0.0,92.0,Dish,llama3.1
mean,0.13333333333333333,38.5,CFI,llama3.1
mean,0.0,68.42857142857143,PPP,llama3.1
