,pp_id,gt_ops_length,pred_ops_length,gt_ops_set_length,pred_ops_set_length
total__llama3.1,76.7394366197183,7.492957746478873,4.323943661971831,3.563380281690141,1.943661971830986
hos__llama3.1,,10.178571428571429,4.714285714285714,3.9642857142857144,1.7857142857142858
flights__llama3.1,,8.647058823529411,3.588235294117647,3.8823529411764706,1.5294117647058822
ppp__llama3.1,,6.090909090909091,4.181818181818182,3.5,2.1363636363636362
dish__llama3.1,,5.470588235294118,3.8823529411764706,3.764705882352941,2.2941176470588234
menu__llama3.1,,6.903225806451613,4.580645161290323,2.870967741935484,2.064516129032258
chi__llama3.1,,6.709677419354839,4.193548387096774,3.4838709677419355,1.8064516129032258
total__mistral,76.7394366197183,7.492957746478873,3.4295774647887325,3.563380281690141,1.8380281690140845
hos__mistral,,10.178571428571429,4.321428571428571,3.9642857142857144,1.9642857142857142
flights__mistral,,8.647058823529411,3.2941176470588234,3.8823529411764706,1.6470588235294117
ppp__mistral,,6.090909090909091,4.545454545454546,3.5,2.272727272727273
dish__mistral,,5.470588235294118,3.823529411764706,3.764705882352941,2.235294117647059
menu__mistral,,6.903225806451613,1.7096774193548387,2.870967741935484,1.2258064516129032
chi__mistral,,6.709677419354839,3.193548387096774,3.4838709677419355,1.8064516129032258
total__gemma2,76.7394366197183,7.492957746478873,4.640845070422535,3.563380281690141,2.1971830985915495
hos__gemma2,,10.178571428571429,6.5,3.9642857142857144,2.5357142857142856
flights__gemma2,,8.647058823529411,3.588235294117647,3.8823529411764706,1.4705882352941178
ppp__gemma2,,6.090909090909091,5.318181818181818,3.5,2.5
dish__gemma2,,5.470588235294118,5.470588235294118,3.764705882352941,3.1176470588235294
menu__gemma2,,6.903225806451613,3.129032258064516,2.870967741935484,1.935483870967742
chi__gemma2,,6.709677419354839,3.870967741935484,3.4838709677419355,1.7419354838709677
total__gemma2base,76.7394366197183,7.492957746478873,5.035211267605634,3.563380281690141,2.3028169014084505
hos__gemma2base,,10.178571428571429,5.785714285714286,3.9642857142857144,3.0
flights__gemma2base,,8.647058823529411,3.2941176470588234,3.8823529411764706,1.8235294117647058
ppp__gemma2base,,6.090909090909091,5.636363636363637,3.5,2.3636363636363638
dish__gemma2base,,5.470588235294118,4.764705882352941,3.764705882352941,2.411764705882353
menu__gemma2base,,6.903225806451613,3.2580645161290325,2.870967741935484,1.5483870967741935
chi__gemma2base,,6.709677419354839,6.354838709677419,3.4838709677419355,2.4516129032258065
