,pp_id,ratio
0,1,0.3
1,2,1.0
2,3,0.26
3,4,0.21
4,5,0.32
5,6,0.32
6,7,0.22
7,8,0.95
8,9,1.5
9,12,1.435
10,13,1.06
11,14,1.37
12,15,1.0699999999999998
13,16,1.04
14,17,1.1
15,18,1.0
16,31,1.0
17,32,1.0
18,33,0.8
19,34,0.8
20,36,0.5
21,37,1.0909090909090908
22,38,0.7
23,39,1.4
24,40,1.4
25,41,0.9
26,42,0.9
27,49,1.0
28,52,1.1333333333333335
29,62,1.0
30,63,1.0
31,64,1.0
32,65,1.45
33,66,1.5
34,67,0.55
35,68,1.05
36,69,1.05
37,70,0.95
38,71,0.95
39,72,1.5
40,73,1.5
41,74,0.5
42,75,1.05
43,76,1.45
44,77,1.45
45,78,1.5
46,79,1.5
47,80,0.8999999999999999
48,81,0.8999999999999999
49,87,1.9666666666666668
50,89,2.45
51,92,1.0
52,93,1.4799999999999998
53,94,1.9400000000000002
54,98,0.99
55,99,0.72
56,100,0.5
57,101,1.22
58,102,0.72
59,103,0.8400000000000001
60,104,1.4133333333333333
61,105,1.373333333333333
62,106,1.38
63,107,1.08
64,108,1.2
65,109,1.22
66,110,1.675
