,Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City State Zip,Inspection Date,Inspection Type,Results
0,1989551,CAFE 222 LLC,CAFE 222 LLC,2496207,RESTUARANT,Risk 1   (High),222 N CANAL ST,"Chicago,IL,60606",2017-02-23T00:00:00Z,License,PSAS
1,1989406,ABUNDANT RESTAURANT,ABUNDANT RESTAURANT,2334464,Mobile Food Dispenser,Risk 3 (Low),1509 SIBLEY BLVD,"CALUMET CITY,IL,60409",2017-02-21T00:00:00Z,License,PASS
2,1560022,BRITISH AIRWAYS,BRITISH AIRWAYS,0,RESTURANT,Risk 1 (High),11601 W TOUHY AVE,",IL,60666",2015-07-08T00:00:00Z,Canvass Re-inspection,PASS
3,397237,SUN FRESH MARKET & DELI,SUN FRESH MARKET & DELI,2021825,Grocery Store,Risk 1 (High),3640 N CENTRAL AVE,"CCHICAGO,IL,60634",2010-11-23T00:00:00Z,Complaint,FIAL
4,2070140,KATANA (刀),KATANA,2528611,Restaurant,Risk 1 (High),339 N DEARBORN ST,"CHICAGOCHICAGO,IL,60654",2017-07-20T00:00:00Z,License,PASS
5,1966010,BAMBU DESSERTS AND DRINKS,,2458787,,,5010 N BROADWAY,",IL,60640",2016-10-05T00:00:00Z,License,__NOT_READY__
6,1234521,"Remedy Chicago, Inc.",,2179135,MOBILE FOOD DISPENSER,Risk 3 (Low),970 Criss CIR,"ELK GROVE VILLAGE,IL,60007",2012-08-09T00:00:00Z,License,PSAS
7,1610095,EBERHART ELEMENTARY SCHOOL,EBERHART ELEMENTARY SCHOOL,23041,School,Risk 1 (High),3400 W 65th PL,"chicago,IL,60629",2016-01-25T00:00:00Z,Canvass,PASS
8,1188609,LUTZ CONTINENTAL CAFE & PASTRY SHOP,LUTZ CONTINENTAL CAFE & PASTRY SHOP,1356917,Bakery,Risk 2,2454-2458 W MONTROSE AVE,"CCHICAGO,IL,60618",2013-05-06T00:00:00Z,Canvass Re-inspection,PASS
9,1076261,PAPA T'S ITALIANO,,1681039,Mobile Food Dispenser,Risk 3 (Low),2843 W 63RD ST,"INACTIVE,IL,60629",2012-04-27T00:00:00Z,Canvass,OUT OF BUSINESS
