,index,ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService
0,755,10036,andalusia regional hospital,849 south three notch street,ANDALUSIA,al,36420,covington,3342228466,,PROPRIETARY,no
1,769,10038,stringfellow memorial hospital,301 east 18th st,ANNISTON,al,36201,calhoun,2562358900,,PROPRIETARY,yes
2,24,10001,southeast alabama medical center,1108 ross clark circle,DOTHAP,al,36302,houston,3347938701,,GOVERNMENT - HOSPITAL MISTRICT OR AUTHORITY,yes
3,48,10005,marshall medical center south,2505 u s highway 431 north,BOAZ,al,35957,marshall,2565938310,,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
4,454,10019,helen keller memorial hospital,1300 south montgomery avenue,SHEFFIELD,al,35660,jefferson,2563864556,,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
5,460,10019,helen keller memorial hospital,1300 south montgomery avenue,SHEFFIELD,al,35660,jefferson,2563864556,,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
6,714,10034,community hospital inc,805 friendship road,TALLASSEE,al,36078,elmore,3342836541,,VOLUNTARY NON-PROFIT - PRIVATE,no
7,733,10035,cullman regional medical center,1912 alabama highway 157,CULLMAN,al,35058,cullman,2567372000,,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
8,433,20017,alaska regional hospital,2801 debarr road,ANCHORAGE,ak,99508,anchorage,9072761131,,PROPRIETARY,yes
9,775,10039,huntsville hospital,101 sivley rd,HUNTSVILLE,al,35801,madison,2562651000,,GOVERNMENT - HOSPITAL DXSTRICT OR AUTHORITY,yes
10,257,10015,southwest alabama medical center,33700 highway 43,THOMJSVILLE,al,36784,clarke,3346366221,,GOVERNMENT_-_FEDERAL,yes
11,673,10033,university of alabama hospital,619 south 19th street,BIRMINGHAM,al,35233,jefferson,2059344011,,GOVERNMENT_-_STATE,yes
12,701,10034,community hospital inc,805 friendship road,TALLASSEE,al,36078,elmore,3342836541,,VOLUNTARY NON-PROFIT - PRIVITE,no
13,551,10024,jackson hospital & clinic inc,1725 pine street,MONTGOMERY,al,36106,montgomery,3342938000,,VOLUNTARY NON-PROFIT - PRIVATE,yes
14,458,10019,helen keller memorial hospital,1300 south montgomery avenue,SHEFFIELD,al,35660,jefferson,2563864556,,GOVERNMENT - HOSPITAL DISTRICT OR AUTHORITY,yes
15,203,10011,st vincents east,50 medical park east drive,BIRMINGHAM,al,35235,jefferson,2058383122,,VOLUNTARY NON-PROFIT - PRIVATE,yes
16,644,10032,wedowee hospital,209 north main street,WEDOWEE,al,36278,randolph,2563572111,,GOVERNMENT - LOCAL,no
17,98,10007,mizell memorial hospital,702 n main st,OPP,al,36467,covington,3344933541,,VOLUNTARY NON-PROFIT - PRIVATE,no
18,293,10016,shelby baptist medical center,1000 first street north,ALABASTER,al,35007,shelby,2056208100,,VOLUNTARY_NON-PROFIT_-_CHURCH,yes
19,114,10007,mizell memorial hospital,702 n main st,OIP,al,36467,covington,3344933541,,VOLUNTARY NON-PROFIT - PRIVATE,no
