,Column,id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
0,0,12579,,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,BANQUET,PROF;.?,"SOUTHERN HOTEL,ST. LOUIS,MO.",BROADSIDE; ILLUS; 5.5 X 8.75;,ANNUAL,WINES LISTED FOR EACH COURSE;,1900-2627,,,1900-03-31T00:00:00Z,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,,,,COMPLETE,,
1,1,25121,,HOLLAND HOUSE,LUNCHEON,COMMERCIAL.?,,CARD;6X8.75;,DAILY;,"ENGLISH ON ONE SIDE,FRENCH ON ONE SIDE;",1900-517,,,,HOLLAND HOUSE,,DOLLARS,$,COMPLETE,2.0,546.0
2,2,21960,,[BATTERY PARK HOTEL],CHRISTMAS DINNER,COMMERCIAL,"ASHVILLE, NC",BOOKLET; ILLUS; COL; 6 X 8;,RELIGIOUS HOLIDAY,PRINTED ON PARCHMENT-LIKE PAPER; RED LION; DRAWING OF HOTEL; TIED WITH TWINE AND SEALING WAX; MOST OF BOOKLET CONSISTS OF INFORMATION AND PRAISE ABOUT THE HOTEL;,1898-432,,,1898-12-25T00:00:00Z,BATTERY PARK HOTEL,,,,COMPLETE,,
3,3,14523,,[USMS],BREAKFAST,GOVT;.?,SS ST PAUL,CARD;ILLUS;COL;4X6.25;,DAILY;,FLAG;,1901-1304,,,1901-05-15T00:00:00Z,USMS,,NONE,,COMPLETE,,
4,4,29808,,[SOUTHERN PACIFIC],,,,21.5X14CM FOLDED; 21.5X28CM OPEN,,,1946-0037_WOTM,,,1946-01-01T00:00:00Z,SOUTHERN PACIFIC,,DOLLARS,$,COMPLETE,4.0,
5,5,23754,,HOLLAND SOCIETY,FOURTH ANNUSL DINNER,PATR;.?,HOTEL BRUNSWICK [NY?],FOLDER; ILLUS; 8.75X12;,[SOC?],DUTCH; TOASTS; WINDMILL AND MILKMAID; SAILINGSHIP AND SEAL; TWO COPIES;,1889-004,,,1889-01-08T00:00:00Z,HOLLAND SOCIETY,,N/A,,COMPLETE,,55.0
6,6,33905,SPILKER'S RESTAURANT AND GRILL ROOM,[SPILKER'S RESTAURANT AND GRILL ROOM],,,,28X17.5CM FOLDED; 28X35CM OPEN,,,1914-0606_WOTM,,,1914-06-09T00:00:00Z,SPILKER'S RESTAURANT AND GRILL ROOM,,DOLLARS,$,COMPLETE,4.0,
7,7,35176,ADAMS' RESTAURANT,[ADAMS' RESTAURANT],,,,,,Portol᠂anquet,1913-0404_WOTM,,,,ADAMS' RESTAURANT,,DOLARS,$,COMPLETE,,
8,8,28580,,AMY'S,,,,22X9CM FOLDED; 22X36CM OPEN,,,1985-0016_WOTM,,,1985-01-01T00:00:00Z,AMY'S,,DOLARS,$,COMPLETE,,60.0
9,9,28250,,[S.S. NIEUW AMSTERDAM],,,,29X21CM FOLDED; 29X42CM OPEN,,,1965-0062_WOTM,,,1965-07-07T00:00:00Z,S.S. NIEUW AMSTERDAM,,,,COMPLETE,,34.0
