,difference,pp_id,data,model
mean,1.1587518629246571,72.93023255813954,Total,dirty
mean,0.5022383526059997,,Menu,dirty
mean,0.0,,Dish,dirty
mean,0.440952380952381,,CFI,dirty
mean,0.42857142857142855,,PPP,dirty
mean,2.551053113553114,,Hospital,dirty
mean,0.1875,,Flights,dirty
mean,0.9763564374075587,72.93023255813954,Total,mistral
mean,0.42584946371711085,,Menu,mistral
mean,0.0,,Dish,mistral
mean,0.4385714285714286,,CFI,mistral
mean,0.42857142857142855,,PPP,mistral
mean,2.0908183921341816,,Hospital,mistral
mean,0.2395334928229665,,Flights,mistral
mean,0.16173537729818138,72.93023255813954,Total,gemma2
mean,0.2495642701525054,,Menu,gemma2
mean,0.0,,Dish,gemma2
mean,0.16666666666666666,,CFI,gemma2
mean,0.0125,,PPP,gemma2
mean,0.12902930402930404,,Hospital,gemma2
mean,0.2395334928229665,,Flights,gemma2
mean,0.17716215730931842,72.93023255813954,Total,llama3.1
mean,0.29363478297301826,,Menu,llama3.1
mean,0.0,,Dish,llama3.1
mean,0.19166666666666665,,CFI,llama3.1
mean,0.05000387344674786,,PPP,llama3.1
mean,0.11510989010989012,,Hospital,llama3.1
mean,0.2395334928229665,,Flights,llama3.1
