column name         | description
id                  | unique identifier assigned to each menu record
name                | Name of the restaurant or establishment that issued the menu.
sponsor             | organization or individual responsible for sponsoring the menu event. 
event               | type of the event for which the menu was created
venue               | location or type of venue where the menu was used. 
place               | Geographical location or city associated with the menu.
physical_description| Details about the menu’s physical attributes (e.g., size, format, material).
occasion            | Specific event or occasion for which the menu was created (e.g., wedding, holiday, special dinner).
notes               | Additional remarks or annotations related to the menu.
call_number         | Library or archival reference number assigned to the menu for cataloging purposes.
keywords            | Relevant keywords associated with the menu for indexing and searchability.
language            | Primary language in which the menu is written.
date                | Date when the menu was issued or used.
location            | Specific location where the menu was used or archived.
location_type       | Type of location where the menu is associated (e.g., restaurant, hotel, cruise ship).
currency            | Currency in which the menu prices are listed.
currency_symbol     | Symbol representing the currency used in the menu 
status              | Current condition or archival status of the menu
page_count          | Total number of pages in the menu.
dish_count          | Total number of dishes listed on the menu.
