ID,Purposes
111,Calculate the average delay in departure times across all flights.
112,Calculate the average flight duration based on scheduled times.
113,Determine the source airline carrier with the best on-time departure performance.
114,Count the number of source airline carriers recorded.
115,Identify the most frequent flight number in the dataset.
116,Determine the number of flights arriving in the evening (after 6 PM).
117,Group flights by source airline carrier and count the number of on-time arrivals.
118,Classify flights based on whether the scheduled departure time is later than the actual.
119,"Count how many scheduled arrival times fall within the morning period (e.g.,6:00 AM - 11:59 AM)."
120,"Identify which airline carrier source name handles the most ""delayed"" flights."
121,Detect flights where the actual departure time is earlier than scheduled.
122,"Identify flights with unrealistic durations (e.g., arrival time before departure time)."
123,Analyze the trend of delayed departures by hour of the day.
124,Identify the hour with the highest number of on-time arrivals.
125,Track the monthly performance of airline carrier source names in terms of on-time departures.
126,Count how many flights with the scheduled and actual arrival time difference.
