ID,Purposes
67,Determine how many PPP loans were disbursed in the city of Honolulu.
68,Identify the top 10 business types that received the most PPP loans.
69,Identify the types of businesses that received the highest amount of PPP loans and the corresponding dollar amounts.
70,Identify the types of businesses that received the lowest amount of PPP loans and the corresponding dollar amounts.
71,Check if multiple PPP loans were made to distinct companies sharing the same Zip code.
72,"For a given zip code, determine how many loans were provided."
73,"For a given zip code, calculate the total amount of all loans provided."
74,Which gender type received the most amount of PPP loans and dollar amount? 
75,Which gender type districts received the least  amount of PPP loans and dollar amount? 
76,Identify the cities that received the highest amount of PPP loans and the corresponding dollar amounts.
77,Identify the cities that received the lowest amount of PPP loans and the corresponding dollar amounts.
78,Determine the zip codes that received the highest amount of PPP loans and the corresponding dollar amounts.
79,Determine the zip codes that received the lowest amount of PPP loans and the corresponding dollar amounts.
80,Determine which races received the highest amount of PPP loans and the corresponding dollar amounts.
81,Determine which races received the lowest amount of PPP loans and the corresponding dollar amounts.
87,Calculate the ratio of total Loan Amount to Jobs Reported in each city (total Loan Amount in the city divided by total Jobs Reported in the city).
89,"Identify geography that have the highest loan amounts. Geography defined by the fields City, State, and Zip Code."
