,pp_id,gt_ops_length,pred_ops_length,gt_ops_set_length,pred_ops_set_length
total__llama3.1,76.7394366197183,7.408450704225352,4.309859154929577,3.563380281690141,1.852112676056338
hos__llama3.1,,10.178571428571429,5.214285714285714,3.9642857142857144,1.6428571428571428
flights__llama3.1,,8.647058823529411,2.823529411764706,3.8823529411764706,1.4705882352941178
ppp__llama3.1,,6.090909090909091,3.909090909090909,3.5,2.0
dish__llama3.1,,4.764705882352941,3.6470588235294117,3.764705882352941,2.235294117647059
menu__llama3.1,,6.903225806451613,4.129032258064516,2.870967741935484,1.967741935483871
chi__llama3.1,,4.764705882352941,3.6470588235294117,3.764705882352941,2.235294117647059
total__mistral,76.7394366197183,7.408450704225352,3.1901408450704225,3.563380281690141,1.7183098591549295
hos__mistral,,10.178571428571429,4.321428571428571,3.9642857142857144,1.8571428571428572
flights__mistral,,8.647058823529411,2.5294117647058822,3.8823529411764706,1.3529411764705883
ppp__mistral,,6.090909090909091,4.681818181818182,3.5,2.4545454545454546
dish__mistral,,4.764705882352941,2.764705882352941,3.764705882352941,1.6470588235294117
menu__mistral,,6.903225806451613,1.8709677419354838,2.870967741935484,1.2903225806451613
chi__mistral,,4.764705882352941,2.764705882352941,3.764705882352941,1.6470588235294117
total__gemma2,76.7394366197183,7.408450704225352,4.992957746478873,3.563380281690141,2.183098591549296
hos__gemma2,,10.178571428571429,6.821428571428571,3.9642857142857144,2.4285714285714284
flights__gemma2,,8.647058823529411,3.588235294117647,3.8823529411764706,1.2941176470588236
ppp__gemma2,,6.090909090909091,5.409090909090909,3.5,2.272727272727273
dish__gemma2,,4.764705882352941,5.588235294117647,3.764705882352941,3.2941176470588234
menu__gemma2,,6.903225806451613,3.6774193548387095,2.870967741935484,2.0
chi__gemma2,,4.764705882352941,5.588235294117647,3.764705882352941,3.2941176470588234
