pred_ops_length,pred_ops_set_length,Dataset,Model
6.090909091,3.5,ppp,Ground Truth
4.181818182,2.136363636,ppp,llama3.1
4.545454545,2.272727273,ppp,mistral
5.318181818,2.5,ppp,gemma2
6.709677419,3.483870968,chi,Ground Truth
4.193548387,1.806451613,chi,llama3.1
3.193548387,1.806451613,chi,mistral
3.870967742,1.741935484,chi,gemma2
5.470588235,3.764705882,dish,Ground Truth
3.882352941,2.294117647,dish,llama3.1
3.823529412,2.235294118,dish,mistral
5.470588235,3.117647059,dish,gemma2
6.903225806,2.870967742,menu,Ground Truth
4.580645161,2.064516129,menu,llama3.1
1.709677419,1.225806452,menu,mistral
3.129032258,1.935483871,menu,gemma2
8.647058824,3.882352941,flights,Ground Truth
3.588235294,1.529411765,flights,llama3.1
3.294117647,1.647058824,flights,mistral
3.588235294,1.470588235,flights,gemma2
10.17857143,3.964285714,hos,Ground Truth
4.714285714,1.785714286,hos,llama3.1
4.321428571,1.964285714,hos,mistral
6.5,2.535714286,hos,gemma2
