,index,accuracy,precision,recall,f1
0,total__llama3.1,0.035211267605633804,0.8720657276995304,0.4875586854460094,0.6025933378046052
1,hos__llama3.1,0.0,1.0,0.505952380952381,0.6647959183673471
2,flights__llama3.1,0.0,0.9705882352941176,0.45098039215686275,0.604108309990663
3,ppp__llama3.1,0.0,0.6893939393939393,0.4303030303030303,0.5087662337662336
4,dish__llama3.1,0.058823529411764705,0.9558823529411765,0.4362745098039215,0.5696078431372548
5,menu__llama3.1,0.06451612903225806,0.7311827956989246,0.5177419354838709,0.5805171530977983
6,chi__llama3.1,0.06451612903225806,0.8790322580645161,0.5043010752688172,0.621889400921659
7,total__gemma2,0.07746478873239436,0.8759389671361502,0.5514084507042254,0.6456069751844399
8,hos__gemma2,0.03571428571428571,0.9523809523809523,0.6113095238095239,0.7323129251700681
9,flights__gemma2,0.0,0.9411764705882353,0.3431372549019608,0.49075630252100844
10,ppp__gemma2,0.18181818181818182,0.8598484848484849,0.6734848484848485,0.7285353535353534
11,dish__gemma2,0.0,0.6745098039215686,0.5833333333333333,0.5999066293183941
12,menu__gemma2,0.16129032258064516,0.8172043010752688,0.5865591397849461,0.656989247311828
13,chi__gemma2,0.0967741935483871,0.9354838709677419,0.4844086021505376,0.6119047619047618
14,total__mistral,0.04929577464788732,0.7656103286384975,0.4096244131455399,0.5065392354124748
15,hos__mistral,0.0,0.9226190476190476,0.45357142857142857,0.5914115646258502
16,flights__mistral,0.0,0.8529411764705882,0.35784313725490197,0.4927170868347339
17,ppp__mistral,0.18181818181818182,0.8469696969696969,0.5863636363636363,0.6603896103896104
18,dish__mistral,0.058823529411764705,0.7598039215686274,0.4313725490196078,0.5172268907563025
19,menu__mistral,0.06451612903225806,0.48924731182795694,0.25268817204301075,0.31536098310291855
20,chi__mistral,0.03225806451612903,0.7956989247311828,0.4161290322580644,0.5095238095238096
21,total__gemma2base,0.1056338028169014,0.8853286384976525,0.5698356807511736,0.6639727252403308
22,hos__gemma2base,0.14285714285714285,0.988095238095238,0.744047619047619,0.8391723356009072
23,flights__gemma2base,0.0,0.9411764705882353,0.4186274509803921,0.5542016806722688
24,ppp__gemma2base,0.3181818181818182,0.9431818181818182,0.6818181818181818,0.7660533910533911
25,dish__gemma2base,0.058823529411764705,0.8088235294117647,0.5049019607843137,0.5889355742296919
26,menu__gemma2base,0.06451612903225806,0.8225806451612904,0.46451612903225803,0.5661290322580647
27,chi__gemma2base,0.06451612903225806,0.8080645161290323,0.5451612903225806,0.6177675371223759
